"Taxon" "MaxMa" "MinMa"
"Coelophysis" "228" "208.5"
"Coelophysis" "237" "201.3"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "201.3"
"Coelophysis" "228" "208.5"
"Coelophysis" "228" "208.5"
"Dilophosaurus" "199.3" "182.7"
"Ceratosaurus" "157.3" "145"
"Ceratosaurus" "157.3" "145"
"Ceratosaurus" "157.3" "152.1"
"Ceratosaurus" "157.3" "152.1"
"Abelisaurus" "83.5" "70.6"
"Elaphrosaurus" "155.7" "150.8"
"Elaphrosaurus" "155.7" "150.8"
"Torvosaurus" "155.7" "145"
"Torvosaurus" "157.3" "145"
"Torvosaurus" "157.3" "145"
"Torvosaurus" "157.3" "145"
"Torvosaurus" "157.3" "145"
"Megalosaurus" "170.3" "168.3"
"Megalosaurus" "170.3" "168.3"
"Baryonyx" "136.4" "125.45"
"Baryonyx" "140.2" "136.4"
"Allosaurus" "155.7" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "145"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "152.1"
"Allosaurus" "157.3" "145"
"Allosaurus" "155.7" "145"
