"Taxon" "MaxMa" "MinMa"
"Cryptobranchus_alleganiensis" "0.126" "0.0117"
"Cryptobranchus_alleganiensis" "0.126" "0.0117"
"Cryptobranchus_alleganiensis" "2.588" "0.0117"
"Proteus_anguinus" "0" "0"
"Necturus_maculosus" "0" "0"
"Necturus_krausei" "61.7" "56.8"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Paranecturus_garbanii" "70.6" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "72.1" "66"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.6" "72.1"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.6" "72.1"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.6" "72.1"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
"Opisthotriton_kayi" "83.5" "70.6"
