"Taxon" "MaxMa" "MinMa"
"Hypsilophodon" "136.4" "122.46"
"Hypsilophodon" "130" "125.45"
"Hypsilophodon" "130" "125.45"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.6" "72.1"
"Stegoceras" "83.5" "70.6"
"Stegoceras" "83.5" "70.6"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Asiaceratops" "99.6" "93.5"
"Bagaceratops" "83.5" "70.6"
"Chaoyangsaurus" "150.8" "132.9"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.6" "72.1"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
"Centrosaurus" "83.5" "70.6"
