"Taxon" "MaxMa" "MinMa"
"Scutellosaurus" "199.3" "182.7"
"Scutellosaurus" "199.3" "182.7"
"Scutellosaurus" "199.3" "182.7"
"Scelidosaurus" "199.3" "190.8"
"Scelidosaurus" "199.3" "190.8"
"Huayangosaurus" "170.3" "163.5"
"Tuojiangosaurus" "163.5" "157.3"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "155.7" "145"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "155.7" "150.8"
"Dacentrurus" "150.8" "145"
"Dacentrurus" "163.5" "145"
"Dacentrurus" "150.8" "145"
"Dacentrurus" "155.7" "145"
"Dacentrurus" "157.3" "145"
"Kentrosaurus" "163.5" "157.3"
"Hesperosaurus" "157.3" "152.1"
"Hesperosaurus" "157.3" "152.1"
"Hesperosaurus" "161.2" "150.8"
"Hesperosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "152.1" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "163.5" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "152.1"
"Stegosaurus" "155.7" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Stegosaurus" "157.3" "145"
"Euoplocephalus" "83.5" "70.6"
"Euoplocephalus" "83.5" "70.6"
"Euoplocephalus" "83.5" "70.6"
"Euoplocephalus" "83.5" "70.6"
"Euoplocephalus" "83.5" "70.6"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "113" "100.5"
"Sauropelta" "125" "100.5"
"Sauropelta" "125" "100.5"
