"Taxon" "MaxMa" "MinMa"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "265.1" "259.9"
"Pristerodon" "265.1" "259.9"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "265.1" "259.9"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "259.9" "254.17"
"Pristerodon" "265.1" "254.17"
"Oudenodon" "259.9" "254.17"
"Oudenodon" "259.9" "254.17"
"Oudenodon" "259.9" "252.17"
"Oudenodon" "259.9" "252.17"
"Oudenodon" "265.1" "259.9"
"Oudenodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "254.17"
"Aulacephalodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "252.17"
"Pelanomodon" "259.9" "254.17"
"Pelanomodon" "259.9" "252.17"
"Geikia_locusticeps" "259.9" "254.17"
"Geikia_locusticeps" "259.9" "254.17"
"Geikia_elginensis" "254.17" "252.17"
