"Taxon" "MaxMa" "MinMa"
"Heterodontosaurus" "199.3" "190.8"
"Heterodontosaurus" "201.3" "190.8"
"Heterodontosaurus" "201.3" "190.8"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "72.1" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "72.1" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "70.6" "66"
"Thescelosaurus" "72.1" "66"
"Orodromeus" "83.6" "72.1"
"Orodromeus" "83.6" "72.1"
"Orodromeus" "83.5" "70.6"
"Orodromeus" "72.1" "66"
"Orodromeus" "83.5" "70.6"
"Orodromeus" "83.6" "72.1"
"Orodromeus" "83.5" "70.6"
"Parksosaurus" "70.6" "66"
"Parksosaurus" "70.6" "66"
"Hypsilophodon" "136.4" "122.46"
"Hypsilophodon" "130" "125.45"
"Hypsilophodon" "130" "125.45"
"Tenontosaurus_dossi" "122.46" "112.03"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "113" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "100.5"
"Tenontosaurus_tilletti" "125" "113"
"Tenontosaurus_tilletti" "125" "100.5"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "155.7" "150.8"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "157.3" "152.1"
"Dryosaurus" "157.3" "152.1"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "157.3" "152.1"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "157.3" "145"
"Dryosaurus" "157.3" "152.1"
"Camptosaurus" "155.7" "145"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "155.7" "145"
"Camptosaurus" "155.7" "145"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "157.3" "145"
"Camptosaurus" "157.3" "152.1"
"Camptosaurus" "161.2" "150.8"
"Iguanodon" "145" "100.5"
"Iguanodon" "145" "140.2"
"Iguanodon" "145" "100.5"
"Iguanodon" "150.8" "140.2"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "113" "100.5"
"Hadrosauridae" "125.45" "99.6"
"Hadrosauridae" "113" "100.5"
"Hadrosauridae" "145" "100.5"
"Hadrosauridae" "100.5" "86.3"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "89.3"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "66"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "93.9"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "125" "100.5"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "105.3" "93.9"
"Hadrosauridae" "125" "100.5"
"Hadrosauridae" "113" "100.5"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "145" "100.5"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "105.3" "93.5"
"Hadrosauridae" "100.5" "83.6"
"Hadrosauridae" "125" "100.5"
"Hadrosauridae" "100.5" "66"
