"Taxon" "MaxMa" "MinMa"
"Omeisaurus" "174.1" "163.5"
"Omeisaurus" "163.5" "157.3"
"Omeisaurus" "163.5" "157.3"
"Jobaria_tiguidensis" "174.1" "145"
"Jobaria_tiguidensis" "174.1" "145"
"Losillasaurus_giganteus_type" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "152.1"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "157.3" "145"
"Camarasaurus" "155.7" "145"
"Camarasaurus" "155.7" "145"
"Brachiosaurus_altithorax" "157.3" "145"
"Limaysaurus_tessonei" "99.6" "93.5"
"Limaysaurus_tessonei" "99.6" "93.5"
"Limaysaurus_tessonei" "99.6" "93.5"
"Limaysaurus_tessonei" "99.6" "93.5"
"Limaysaurus_tessonei" "99.6" "89.8"
"Nigersaurus_taqueti" "125" "100.5"
"Dicraeosaurus_hansemanni" "163.5" "157.3"
"Amargasaurus_cazaui" "129.4" "122.46"
"Apatosaurus_louisae_type" "157.3" "145"
"Apatosaurus_louisae_type" "157.3" "145"
"Apatosaurus_louisae_type" "150.8" "145"
"Apatosaurus_louisae_type" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "155.7" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "155.7" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "155.7" "145"
"Diplodocus_sp_CM_11161" "155.7" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "145"
"Diplodocus_sp_CM_11161" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "155.7" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "155.7" "145"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "155.7" "145"
"CMC_VP14128" "155.7" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "152.1"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "145"
"CMC_VP14128" "157.3" "152.1"
