Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
0	-1309.33	-1246.39	-62.9357	1.205231	1.663492	0.367052	0.896648	2.10966	0.0448415	0.104117	0.88647	2.36664	0.152096	0.229641	0.872288	0.253391	0.868686	0.284071	0.233273	0.200657	0.306557	1.28783	0.0464895	0.170081	0.224856	0.0674093	0.45059	0.25742	1.33677	0.757519	0.253572	1.52501	0.606636	0.456781	1.30809	0.450343	0.235721	0.507608	0.165009	0.475642	0.232228	0.244384	0.176	0.530803	1.02714	2.26606	21.23608
10	-976.315	-904.436	-71.8794	0.2613938	1.705287	0.11566	0.919149	0.738765	0.0827838	0.224174	0.359219	4.09514	0.114003	0.240774	0.672076	0.390112	0.398706	0.262616	0.227536	0.327302	0.246882	0.859218	0.0865107	0.611643	0.362391	0.105864	1.89483	1.08646	0.440285	1.85823	0.463303	1.15622	0.791025	0.548165	1.35603	0.767236	0.142237	0.489751	0.571005	1.22915	2.47479	0.338059	0.00268584	0.0750329	0.524905	3.39738	27.0473
20	-960.284	-892.442	-67.8415	0.3000706	1.316597	0.226933	0.441901	0.239894	0.0657476	0.266765	0.195562	2.57193	0.216577	0.30704	0.308036	0.44103	0.4675	0.145518	0.0846075	0.0966763	0.168721	0.323379	0.0796417	0.509892	0.50724	0.0994293	2.13982	1.06782	0.363541	0.511088	0.563533	0.783401	1.45138	1.57154	1.21264	0.978256	0.117234	0.696396	1.86183	0.890625	2.49693	0.255266	0.00530104	0.10455	0.595921	3.29423	24.72532
30	-946.869	-884.166	-62.7034	0.2830839	1.611431	0.22202	0.0991692	0.198726	0.069503	0.261078	0.163068	0.914974	0.0347793	0.241014	0.459239	0.389257	0.224887	0.0942841	0.0307035	0.0966072	0.682413	0.17202	0.144569	0.437995	1.01035	0.842364	2.10821	1.16368	0.629221	0.565606	0.201454	0.347902	1.20892	1.25214	1.87565	0.59883	0.324087	0.434948	1.20857	0.969492	1.71804	0.230891	0.00402367	0.0914182	0.56627	3.33829	21.62666
40	-955.708	-891.841	-63.8666	0.3004162	1.691057	0.170888	0.0589755	0.383816	0.0465559	0.265177	0.182445	0.926948	0.028319	0.140377	0.34657	0.169564	0.133567	0.251538	0.0276624	0.124556	0.662231	0.221657	0.145382	0.60193	0.240282	2.63828	2.86784	0.394161	0.533527	1.13065	0.290755	0.151973	0.742728	1.36526	1.44808	0.877101	0.142722	0.43737	0.397949	1.10018	1.53914	1.14564	0.00532913	0.104819	0.596501	3.29335	22.3318
50	-945.263	-892.287	-52.9765	0.3202896	1.805593	0.133119	0.257031	0.315826	0.0729806	0.374705	0.312516	0.701	0.0524623	0.141475	0.306667	0.118938	0.130341	0.229415	0.103385	0.172503	0.467338	0.86824	0.0771805	0.511134	0.321847	1.06488	1.84878	0.513498	0.283637	0.455266	0.160998	0.339659	0.514123	1.09195	0.836209	0.71991	0.146935	0.566229	0.26414	0.580605	0.397773	0.750463	0.00708478	0.120343	0.628355	3.24422	16.20317
60	-902.712	-866.799	-35.9128	0.5154147	3.265562	0.180825	0.0709353	0.418592	0.0272441	0.363391	0.0914268	0.131385	0.0801686	0.0356869	0.409875	0.0354901	0.0756469	0.0849889	0.0350535	0.0467996	0.136626	0.406421	0.219139	0.304109	0.117683	0.753687	1.32465	0.37301	0.376688	0.466617	0.192322	0.0600531	0.375708	0.193875	0.698002	0.175528	0.275795	0.131006	0.335375	0.400267	0.277986	0.616204	0.0362791	0.26186	0.831168	2.87069	10.29825
70	-872.477	-851.233	-21.2436	0.6289289	5.729244	0.146094	0.0535116	0.1865	0.0391657	0.392959	0.03152	0.0426573	0.0728808	0.0674176	0.177424	0.0748623	0.0076406	0.156717	0.0128117	0.0252643	0.12975	0.139196	0.227161	0.22137	0.124856	0.878502	0.437469	0.130469	0.154207	0.344224	0.482542	0.259138	0.179253	0.23964	0.26172	0.20416	0.185025	0.141945	0.162471	0.171686	0.145521	0.126282	0.0591242	0.327975	0.895389	2.71751	6.834012
80	-837.989	-832.402	-5.58695	1.226962	10.56797	0.069017	0.0390918	0.0150015	0.0145964	0.107348	0.0276389	0.110795	0.0404477	0.0611208	0.117322	0.0666528	0.0113794	0.0433442	0.0168283	0.0191797	0.0662218	0.0921195	0.212851	0.132842	0.153426	0.176785	0.359126	0.119274	0.238393	0.323115	0.155176	0.0376472	0.100094	0.199492	0.370935	0.0719013	0.0547617	0.0926562	0.0897635	0.208599	0.0763012	0.127573	0.179905	0.535753	1.02936	2.25498	4.218817
90	-818.545	-820.989	2.44407	1.77594	9.755323	0.0454074	0.0432402	0.0153512	0.0379764	0.146189	0.00755956	0.144314	0.0386269	0.0414516	0.0632109	0.0406106	0.038995	0.0712572	0.00995049	0.031452	0.0280805	0.104617	0.08282	0.106441	0.139006	0.238172	0.19548	0.08199	0.102418	0.160487	0.0806411	0.0548675	0.0979453	0.154625	0.225777	0.062928	0.0866249	0.0623815	0.0329525	0.186136	0.0905866	0.25335	0.264978	0.628856	1.06322	2.04295	3.403918
