Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
0	-566.62	-533.532	-33.0884	0.9768866	3.152935	0.152901	0.399513	0.413293	0.189041	0.183302	0.107886	0.198001	0.372682	0.174654	0.364291	0.125726	0.797402	0.160239	0.00412858	0.176181	0.170444	0.310092	0.184027	0.0862063	0.0692568	0.203512	1.80577	0.0801696	0.0173752	1.28079	0.439083	0.868901	0.478377	0.803699	0.132319	0.469693	0.996062	2.40193	10.61695
10	-332.654	-303.774	-28.8798	0.8857337	2.533419	0.174984	0.702758	0.69559	0.302193	0.0898592	0.163018	0.0908545	0.0308733	0.272066	0.0502408	0.051099	0.385366	0.100634	0.00128115	0.234239	0.73874	0.701009	0.305774	0.0634473	0.0692757	0.699856	0.303311	0.121049	0.0325391	0.929723	0.40181	0.314761	0.49603	0.610268	0.113629	0.439491	0.978147	2.46873	9.132648
20	-329.551	-294.344	-35.2069	0.5631655	1.820643	0.30391	0.320185	1.84747	0.179729	0.255581	0.137579	0.0457369	0.0889026	0.213544	0.0334649	0.028146	0.0817744	0.177228	0.00157776	0.117228	0.907568	0.347505	0.748373	0.0698974	0.0207021	0.740125	2.47448	0.0595462	0.030332	0.337285	0.340354	0.163155	0.467234	0.637676	0.0456112	0.291167	0.861297	2.80193	11.17628
30	-335.48	-309.117	-26.3632	0.3790513	3.120846	0.395344	0.278833	0.643757	0.205551	0.248026	0.26609	0.29591	0.183087	0.307677	0.139159	0.0212596	0.0616501	0.64362	0.00171392	0.0526426	0.582312	0.0641381	0.345943	0.0697576	0.00893279	0.604847	0.953946	0.0250805	0.140425	0.165028	0.140827	0.0196211	0.348151	1.45642	0.0138119	0.165942	0.707579	3.11267	8.669746
40	-319.645	-298.769	-20.8758	0.9456763	4.277027	0.223661	0.339353	0.256798	0.353062	0.25765	0.111603	0.144593	0.444018	0.216875	0.181514	0.0103126	0.0723229	0.274835	0.0031004	0.0486631	0.769257	0.164419	0.440154	0.0360527	0.0458156	0.601998	0.362213	0.0171156	0.143474	0.0562344	0.158162	0.0789673	0.41552	0.765704	0.125991	0.459792	0.990381	2.42384	6.993449
50	-320.875	-294.664	-26.211	1.037681	5.033061	0.360244	0.165768	0.462927	0.36015	0.0993558	0.101727	0.0804574	0.151623	0.126833	0.317753	0.0207489	0.192126	0.317394	0.00297873	0.113964	1.19296	0.0678762	0.299894	0.0585425	0.0937357	0.670595	0.455027	0.0071002	0.131884	0.043014	0.320834	0.0482394	0.404894	1.22386	0.14441	0.487792	1.00597	2.36182	7.892501
60	-305.547	-287.412	-18.135	1.457123	4.699022	0.700302	0.078534	0.537835	0.302746	0.126243	0.0602448	0.0618038	0.344957	0.0715877	0.131167	0.0196944	0.0329518	0.129712	0.0013837	0.0336585	0.318151	0.0202363	0.204937	0.0394988	0.0417201	1.00401	0.0816802	0.0277567	0.160577	0.0852921	0.534289	0.030306	0.154957	0.899815	0.218622	0.58126	1.0478	2.15232	6.23605
70	-294.817	-282.393	-12.4233	0.9012929	4.84521	0.564975	0.0664443	0.432637	0.0641635	0.100923	0.10447	0.10011	0.202761	0.0266133	0.158676	0.067483	0.024165	0.145351	0.00475256	0.130668	0.0646843	0.024169	0.289611	0.0498105	0.0880697	0.692274	0.152359	0.0113934	0.154829	0.101807	0.356355	0.0192637	0.136192	0.826086	0.116863	0.444931	0.981504	2.4567	5.161098
80	-291.779	-283.697	-8.08247	2.558595	6.471355	0.186342	0.0428688	0.690468	0.0233496	0.142863	0.0459834	0.026871	0.0833625	0.0328046	0.0335086	0.070732	0.0184722	0.172649	0.00661741	0.0654863	0.0815395	0.113941	0.155632	0.113059	0.22001	0.379351	0.140773	0.0117495	0.277138	0.0618192	0.402824	0.00942276	0.0707021	0.503594	0.351942	0.703734	1.07926	1.86506	4.183934
90	-266.901	-268.917	2.01537	1.376811	13.42329	0.348319	0.0143232	0.312282	0.0120521	0.0531942	0.0386192	0.0224651	0.033833	0.124646	0.0677392	0.0657194	0.00398314	0.0647417	0.00787461	0.0387858	0.0775915	0.122652	0.18542	0.0938392	0.0697692	0.211401	0.105171	0.0443327	0.0711909	0.0390087	0.168798	0.00842008	0.0310561	0.388297	0.20565	0.566679	1.04229	2.18539	2.825526
100	-261.566	-265.799	4.23307	3.550893	13.17852	0.280167	0.00418274	0.154657	0.00853564	0.051308	0.0109428	0.0282371	0.0331461	0.0660576	0.101668	0.00749437	0.00069867	0.0133867	0.00420216	0.0779221	0.0199863	0.269295	0.115205	0.0242027	0.126459	0.245237	0.0604409	0.0223691	0.0621535	0.035033	0.252947	0.0013311	0.0591676	0.371536	0.427849	0.758091	1.08415	1.72991	2.507969
110	-251.463	-264.525	13.0623	2.398495	13.7295	0.130472	0.00310532	0.210395	0.106663	0.0759258	0.00442329	0.0219065	0.0631155	0.0873958	0.0554068	0.00862015	0.000416574	0.00784306	0.00159728	0.0667696	0.0126895	0.119161	0.0436678	0.00455801	0.0949416	0.25364	0.0600013	0.0207452	0.0700458	0.0110666	0.119194	0.00253261	0.0357653	0.234599	0.336617	0.691645	1.07738	1.89436	1.926662
120	-251.3	-265.553	14.2523	1.54985	13.90888	0.141286	0.00363735	0.320438	0.0978375	0.040162	0.0156845	0.0194868	0.0318046	0.121588	0.0506553	0.0144668	0.0009016	0.00667136	0.000571289	0.0691417	0.011063	0.0633144	0.0569533	0.00230664	0.0537989	0.285531	0.0243306	0.0127582	0.0434065	0.0102803	0.0831664	0.0176911	0.0397031	0.263124	0.232922	0.596649	1.05322	2.11721	1.90176
130	-255.625	-269.572	13.9475	1.274962	14.73193	0.148757	0.00169685	0.137896	0.0964903	0.0340641	0.0122644	0.0427505	0.0126418	0.1839	0.0519101	0.0161812	0.0031047	0.00361946	0.00195119	0.0444317	0.0273704	0.0662202	0.0445868	0.0131751	0.0581034	0.315111	0.0245285	0.00748735	0.159254	0.0110422	0.0426608	0.0244823	0.0565486	0.294621	0.188375	0.546243	1.03393	2.23145	1.936852
140	-241.754	-260.619	18.8645	2.25232	14.7891	0.134084	0.000800676	0.153917	0.0726072	0.0236975	0.00962224	0.00595042	0.0090266	0.0286696	0.0490853	0.00962253	0.00519155	0.0162525	0.000561826	0.0412224	0.0318224	0.083783	0.0419645	0.0127966	0.0207901	0.108394	0.102604	0.0318474	0.0723421	0.00836255	0.0376129	0.00630438	0.0598151	0.358878	0.321642	0.679416	1.07519	1.92375	1.537629
150	-243.743	-262.68	18.9368	4.252295	19.20961	0.103221	0.000733611	0.0918977	0.0612147	0.0358358	0.0113216	0.00512763	0.0195447	0.0049294	0.0823125	0.0116133	0.00498774	0.0196089	0.000314196	0.0302656	0.0772834	0.125618	0.0686855	0.0155573	0.0271153	0.124535	0.052766	0.0404659	0.104889	0.00756474	0.0200248	0.00496907	0.0937378	0.178551	0.467707	0.783505	1.08428	1.6645	1.424692
