Iteration	Posterior	Likelihood	Prior	alpha_data_bin	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	rates_data_bin[1]	rates_data_bin[2]	rates_data_bin[3]	rates_data_bin[4]	tree_length
0	-3885.28	-3884.54	-0.740875	1.613752	11.60351	0.00802109	0.0909637	0.00269246	0.0633651	0.0514334	0.133449	0.0145683	0.178771	0.0657671	0.0633868	0.074635	0.0101775	0.00654507	0.124937	0.0397777	0.14497	0.349717	0.0137901	0.0135555	0.0616595	0.102905	0.207634	0.00252336	0.114259	0.0447816	0.104557	0.102985	0.0962421	0.127718	0.0347329	0.319928	0.0357788	0.233171	0.000963303	0.0113418	0.210989	0.025533	0.0454312	0.0297039	0.251934	6.24669e-05	0.0328787	0.0929004	0.0418783	0.129255	0.292602	0.00175129	0.242372	0.606457	1.05646	2.09471	4.206623
10	-2002.91	-2004.06	1.14875	0.9733102	10.28285	0.0408644	0.0524188	0.0116265	0.131219	0.0737127	0.0637667	0.0152525	0.106366	0.0507904	0.0562221	0.0902254	0.0212013	0.0125313	0.0485299	0.137816	0.0508044	0.0970518	0.0146841	0.0106243	0.032167	0.08253	0.0519825	0.00767928	0.250233	0.0754224	0.128938	0.215073	0.125735	0.157735	0.016432	0.339421	0.0447484	0.179903	0.00188002	0.0343168	0.0943578	0.0173416	0.0322915	0.141748	0.21202	0.000118333	0.0374859	0.0422307	0.081175	0.48877	0.12009	0.00128436	0.131598	0.46858	0.995433	2.40439	4.098817
20	-1965.44	-1974.27	8.83121	1.583957	14.6711	0.101833	0.0102139	0.020234	0.119412	0.0621618	0.0927782	0.0225649	0.0619781	0.0301843	0.0394238	0.0696868	0.0637125	0.022845	0.0383439	0.110485	0.020322	0.0836763	0.0194456	0.0120054	0.0260842	0.100228	0.115569	0.0162514	0.165287	0.0861416	0.0773551	0.138897	0.0942883	0.0607034	0.035499	0.122567	0.0393772	0.196469	0.00470642	0.0443751	0.0990996	0.017054	0.0924854	0.13441	0.184497	0.00265247	0.043979	0.0634736	0.013847	0.367614	0.040106	0.00196902	0.238005	0.60196	1.05499	2.10504	3.386294
30	-1945.9	-1957.49	11.5919	1.065747	13.69935	0.0973548	0.0122449	0.0332236	0.0998363	0.0790447	0.0518227	0.0229352	0.0316226	0.00947302	0.0210418	0.0537488	0.10819	0.0416867	0.0629003	0.118915	0.00950427	0.0736002	0.0336442	0.0252095	0.0225743	0.04853	0.04863	0.133174	0.0822307	0.0872522	0.0408081	0.207299	0.111424	0.0757319	0.0432098	0.179626	0.0987538	0.104526	0.00812111	0.0220503	0.0731176	0.0174878	0.0450146	0.0916786	0.237362	0.0183378	0.0903319	0.0348913	0.00858302	0.287989	0.030905	0.00623527	0.149883	0.495659	1.01009	2.34436	3.241874
40	-1956.86	-1959.93	3.07308	1.745819	14.14811	0.0833012	0.023209	0.0877009	0.121268	0.0599222	0.0467642	0.00460425	0.0796468	0.0122931	0.0811011	0.0861974	0.198816	0.0347115	0.0213404	0.0829999	0.0127472	0.0506967	0.061687	0.0373144	0.0194657	0.0425723	0.0649527	0.136683	0.156661	0.112657	0.0319619	0.356998	0.113672	0.0903823	0.052994	0.0659407	0.0738727	0.0722662	0.0262658	0.00921464	0.119804	0.0201568	0.106183	0.068694	0.214029	0.00178065	0.134915	0.0832809	0.00439119	0.38357	0.0410877	0.00305497	0.260923	0.624942	1.0621	2.05203	3.793828
50	-1939.33	-1944.29	4.95384	1.111473	16.64206	0.055111	0.00796858	0.0638514	0.122408	0.0341824	0.0360112	0.00193572	0.0968852	0.0309588	0.0520624	0.0437359	0.115103	0.0168533	0.0861692	0.141259	0.0153953	0.0254531	0.0299384	0.0336633	0.00162899	0.0709706	0.0717406	0.111891	0.169208	0.115014	0.0494627	0.206259	0.135794	0.0243847	0.0340331	0.087127	0.0775074	0.140091	0.0400949	0.00416804	0.140305	0.0215701	0.142049	0.0600938	0.285505	0.00380595	0.0708059	0.060759	0.0145011	0.385193	0.0369972	0.009031	0.158644	0.507872	1.01627	2.31722	3.578935
60	-1941.3	-1949.71	8.40629	0.9398848	11.30461	0.0802618	0.0137536	0.0924883	0.185064	0.0189431	0.0661128	0.00638841	0.0951791	0.0689373	0.0183875	0.0446845	0.0815495	0.0271042	0.0543617	0.149471	0.01036	0.0187313	0.0790798	0.0333137	0.0020613	0.0627963	0.0414688	0.168544	0.104265	0.0993432	0.0718346	0.208814	0.138779	0.0576203	0.0168189	0.0592852	0.0833325	0.0865149	0.038002	0.00378304	0.0792683	0.0137104	0.0726331	0.037339	0.186926	0.00688211	0.164642	0.0686642	0.0426334	0.317233	0.0843345	0.00339122	0.124809	0.457906	0.989278	2.42801	3.465092
70	-1935.16	-1951.81	16.6482	0.7963649	13.90594	0.0305754	0.0126364	0.0337795	0.0808952	0.0565046	0.0248255	0.00221742	0.0835966	0.011839	0.0106805	0.0135779	0.0717052	0.00634204	0.0364065	0.124947	0.00900813	0.0155425	0.100551	0.0603748	0.00194415	0.0609864	0.0391523	0.0960412	0.0422844	0.142175	0.0760315	0.205829	0.136349	0.120976	0.01687	0.034366	0.0911687	0.0922918	0.0790716	0.00716022	0.0565714	0.0473768	0.126346	0.030021	0.0798648	0.00764674	0.144367	0.0749557	0.0580766	0.203395	0.0280585	0.0117079	0.094785	0.405666	0.955943	2.54361	2.897092
80	-1931.49	-1942.5	11.0113	0.9803154	11.30754	0.0243642	0.0236637	0.0561388	0.0789514	0.0530389	0.0636569	0.000280433	0.135538	0.0215783	0.0346512	0.0257414	0.0774875	0.0147561	0.0273209	0.0706275	0.00567229	0.0307253	0.0639549	0.0334302	0.00277687	0.0624958	0.0503408	0.165111	0.0509262	0.0889115	0.107364	0.258077	0.178041	0.0701619	0.0167055	0.0288497	0.113625	0.141851	0.0321246	0.00162863	0.0630649	0.0436728	0.0925808	0.0378132	0.183304	0.00470928	0.206465	0.0325527	0.0164708	0.300339	0.0261748	0.0135519	0.13301	0.470754	0.99666	2.39958	3.231266
90	-1930.11	-1949.96	19.8466	1.644322	19.63963	0.0404308	0.0315756	0.0440464	0.0676282	0.0319565	0.110943	0.000733772	0.0396557	0.0138365	0.0318158	0.00933319	0.136329	0.00747731	0.0736854	0.0930403	0.00266473	0.0224115	0.0654147	0.0155627	0.00313833	0.0985991	0.0613405	0.114614	0.0979038	0.0902874	0.0327026	0.175264	0.135654	0.0664533	0.0169983	0.0268507	0.0630487	0.061	0.0250624	0.00460391	0.068795	0.0283206	0.0329253	0.00649203	0.055628	0.0169263	0.141969	0.0330443	0.0222589	0.219444	0.0607325	0.0144715	0.246781	0.61094	1.05788	2.0844	2.61307
