"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 4.795 32.908 128.471 15.97 0.5 -586.298227320125 0.849441338299215 0.485292330132491 0.765576247342859 0.604345636420745 0.62528451999874 0.650083017147837 0.381 0.427905645721761 0.622 1
"tree_2" 4.795 29.88 128.471 15.97 0.5 -523.149113660063 0.876356654607515 0.534471218206158 0.765576247342859 0.349569601992509 0.372694513008699 0.405696425018985 0.634 0.551694534156412 0.374 1
"tree_3" 4.795 34.419 128.471 15.97 0.625 -617.810218978102 0.836010346574697 0.463987913652343 0.394516208018546 0.722241602964138 0.733286927861753 0.744134682990394 0.301 0.366133845713585 0.703 1
"tree_4" 4.795 35.14 128.471 15.97 0.75 -632.846715328467 0.829601514653203 0.454467842914058 0.0915803080790727 0.771726972355509 0.777567722086867 0.781510926086412 0.236 0.336658354114713 0.778 1
"tree_5" 4.795 31.843 128.471 15.97 0.5 -564.087591240876 0.858907920818482 0.501523097698081 0.765576247342859 0.514203502660121 0.539361156373101 0.571283035801522 0.468 0.471444339969748 0.542 1
"tree_6" 4.795 32.625 128.471 15.97 0.5 -580.396246089677 0.851956871494476 0.489501915708812 0.765576247342859 0.580729318635544 0.603090227970132 0.630105130701843 0.426 0.439475082784841 0.581 1
"tree_7" 4.795 33.576 128.471 15.97 0.625 -600.229405630865 0.843503613301215 0.475637360019061 0.394516208018546 0.658454166296492 0.675381198919141 0.694310743988863 0.346 0.400596868484526 0.665 1
"tree_8" 4.795 37.885 128.471 15.97 0.75 -690.093847758081 0.805201731540164 0.421538867625709 0.0915803080790727 0.909027225832088 0.900349538702039 0.884603112949056 0.105 0.224438902743142 0.9 1
"tree_9" 4.795 37.885 128.471 15.97 0.75 -690.093847758081 0.805201731540164 0.421538867625709 0.0915803080790727 0.909027225832088 0.900349538702039 0.884603112949056 0.105 0.224438902743142 0.9 1
"tree_10" 4.795 37.885 128.471 15.97 0.75 -690.093847758081 0.805201731540164 0.421538867625709 0.0915803080790727 0.909027225832088 0.900349538702039 0.884603112949056 0.105 0.224438902743142 0.9 1
"tree_11" 4.795 35.14 128.471 15.97 0.75 -632.846715328467 0.829601514653203 0.454467842914058 0.0915803080790727 0.771726972355509 0.777567722086867 0.781510926086412 0.236 0.336658354114713 0.778 1
"tree_12" 4.795 30.662 128.471 15.97 0.625 -539.457768508863 0.869405605283509 0.520840127845542 0.394516208018546 0.413584623762365 0.439145024192486 0.473904636020572 0.584 0.519725276971506 0.419 1
"tree_13" 4.795 35.14 128.471 15.97 0.75 -632.846715328467 0.829601514653203 0.454467842914058 0.0915803080790727 0.771726972355509 0.777567722086867 0.781510926086412 0.236 0.336658354114713 0.778 1
"tree_14" 4.795 31.831 128.471 15.97 0.5 -563.837330552659 0.859014586537009 0.501712167383997 0.765576247342859 0.513174720534857 0.538360710879074 0.570341392218659 0.47 0.471934916806345 0.532 1
"tree_15" 4.795 36.152 128.471 15.97 0.625 -653.952033368092 0.820606039057431 0.441745961495906 0.394516208018546 0.832013144247834 0.831149319316781 0.82627711327977 0.194 0.295286374228363 0.812 1
"tree_16" 4.795 30.662 128.471 15.97 0.625 -539.457768508863 0.869405605283509 0.520840127845542 0.394516208018546 0.413584623762365 0.439145024192486 0.473904636020572 0.584 0.519725276971506 0.419 1
"tree_17" 4.795 28.929 128.471 15.97 0.625 -503.315954118874 0.884809912800775 0.552041204327837 0.394516208018546 0.277269915063066 0.294912766124249 0.321917605195179 0.723 0.590572748456727 0.278 1
"tree_18" 4.795 38.897 128.471 15.97 0.625 -711.199165797706 0.796206255944392 0.410571509370903 0.394516208018546 0.939715940185097 0.929043586036206 0.909785639771217 0.062 0.183066922856792 0.94 1
"tree_19" 4.795 40.63 128.471 15.97 0.75 -747.340980187696 0.780801948427125 0.39305931577652 0.0915803080790727 0.972887254087018 0.962371940750019 0.941324573693396 0.044 0.112219451371571 0.967 1
