"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.647058823529412 -436.703927492447 0.929203748888557 0.477064323469313 0.000108138014669018 0.0437426203376659 0.000363284428018548 1.17151623451856e-10 1 1 71.0596 0 1
"tree_2" 0.588235294117647 -520.475075528701 0.908072669437962 0.41265524784269 0.00183430206457389 0.046055934097133 0.00108894674047665 9.7965883238863e-08 1 1 82.1509 0 1
"tree_3" 0.470588235294118 -677.265105740181 0.868522744874123 0.329414371212099 0.0873953348874183 0.0506490534328927 0.0053388697996782 0.000110127435562507 1 1 102.9099 0 1
"tree_4" 0.588235294117647 -436.703927492447 0.929203748888557 0.477064323469313 0.00183430206457389 0.0437426203376659 0.000363284428018548 1.17151623451856e-10 1 1 71.0596 0 1
"tree_5" 0.529411764705882 -503.639728096677 0.91231934711284 0.424164090193051 0.0166502153150861 0.0455833051197104 0.00088854087068481 3.20249458674519e-08 1 1 79.9219 0 1
"tree_6" 0.470588235294118 -585.442598187311 0.891684761247742 0.373543016949377 0.0873953348874183 0.0479168260976801 0.00223493912269686 3.35101696398911e-06 1 1 90.7526 0 1
"tree_7" 0.588235294117647 -507.786253776435 0.911273395545542 0.421270297710104 0.00183430206457389 0.0456993495741978 0.000934859118847298 4.25656216598664e-08 1 1 80.4709 0 1
"tree_8" 0.529411764705882 -534.923716012085 0.904428033102367 0.403264659384111 0.0166502153150861 0.0464646913595749 0.00128890154782222 2.37532539574843e-07 1 1 84.0639 0 1
"tree_9" 0.588235294117647 -517.225075528701 0.908892474464207 0.414828084962665 0.00183430206457389 0.0459643895291529 0.00104764597469666 7.95418126801359e-08 1 1 81.7206 0 1
"tree_10" 0.529411764705882 -567.09667673716 0.896312477744951 0.383815877070228 0.0166502153150861 0.0473853384756818 0.00184216148032298 1.37889828240378e-06 1 1 88.3236 0 1
"tree_11" 0.588235294117647 -469.740181268882 0.92087042984418 0.449401858057948 0.00183430206457389 0.0446434562471741 0.000575419119876393 2.42886663222423e-09 1 1 75.4336 0 1
"tree_12" 0.529411764705882 -489.198640483384 0.915962078254324 0.434560228894025 0.0166502153150861 0.045181005836093 0.00074156104023124 1.13067911384531e-08 1 1 78.0099 0 1
"tree_13" 0.352941176470588 -737.438821752266 0.85334406338657 0.305744478786835 0.58464548156744 0.0525058776892029 0.00877759700279536 0.000576952874925562 1 1 110.8769 0 1
"tree_14" 0.647058823529412 -534.060422960725 0.904645796789329 0.403813716801509 0.000108138014669018 0.0464401869661546 0.00127617401934829 2.25693012001086e-07 1 1 83.9496 0 1
"tree_15" 0.470588235294118 -548.873867069486 0.90090913957814 0.394594865145168 0.0873953348874183 0.0468621042034119 0.00150927180690262 5.26827421576914e-07 1 1 85.9109 0 1
"tree_16" 0.529411764705882 -482.907099697885 0.917549104949332 0.439250604779409 0.0166502153150861 0.0450066320871344 0.000684054956131991 7.00032933323466e-09 1 1 77.1769 0 1
"tree_17" 0.588235294117647 -448.894259818731 0.926128765592347 0.466469254309681 0.00183430206457389 0.0440733050080367 0.000432450817963908 3.83893985131159e-10 1 1 72.6736 0 1
"tree_18" 0.647058823529412 -521.371601208459 0.907846522896909 0.412059861722921 0.000108138014669018 0.0460812127940688 0.00110056953203721 1.03697984124175e-07 1 1 82.2696 0 1
"tree_19" 0.588235294117647 -522.234894259819 0.907628759209946 0.411488166984083 0.00183430206457389 0.0461055649859262 0.0011118565598651 1.09507488301456e-07 1 1 82.3839 0 1
"tree_20" 0.647058823529412 -408.67749244713 0.936273352678674 0.50334897823127 0.000108138014669018 0.0429899424450699 0.000237911323150513 5.35308238125886e-12 1 1 67.3489 0 1
"tree_21" 0.588235294117647 -481.938066465257 0.917793541353858 0.439982037311515 0.00183430206457389 0.044979822965322 0.000675530074130333 6.49246846924361e-09 1 1 77.0486 0 1
"tree_22" 0.588235294117647 -460.301359516616 0.923251350925515 0.456972469767699 0.00183430206457389 0.0443845658386991 0.000506554030516964 1.08248347301646e-09 1 1 74.1839 0 1
"tree_23" 0.588235294117647 -608.184290030212 0.88594822177755 0.361547551501862 0.00183430206457389 0.048582273082871 0.00281287066668403 9.11894824865724e-06 1 1 93.7636 0 1
"tree_24" 0.588235294117647 -521.371601208459 0.907846522896909 0.412059861722921 0.00183430206457389 0.0460812127940688 0.00110056953203721 1.03697984124175e-07 1 1 82.2696 0 1
"tree_25" 0.529411764705882 -480.283987915408 0.91821077886431 0.441236190218353 0.0166502153150861 0.0449340911848221 0.000661178690799994 5.70395607211996e-09 1 1 76.8296 0 1
"tree_26" 0.529411764705882 -608.184290030212 0.88594822177755 0.361547551501862 0.0166502153150861 0.048582273082871 0.00281287066668403 9.11894824865724e-06 1 1 93.7636 0 1
"tree_27" 0.529411764705882 -609.047583081571 0.885730458090588 0.361107353274839 0.0166502153150861 0.0486076788231404 0.00283697060763015 9.4532447752608e-06 1 1 93.8779 0 1
"tree_28" 0.588235294117647 -486.575528700906 0.916623752169302 0.43650354224556 0.00183430206457389 0.0451082387917811 0.00071712506703027 9.27661310025528e-09 1 1 77.6626 0 1
"tree_29" 0.529411764705882 -477.791540785499 0.918839492921156 0.443139571971618 0.0166502153150861 0.0448652509834085 0.000640023282767455 4.68242199784048e-09 1 1 76.4996 0 1
"tree_30" 0.588235294117647 -522.234894259819 0.907628759209946 0.411488166984083 0.00183430206457389 0.0461055649859262 0.0011118565598651 1.09507488301456e-07 1 1 82.3839 0 1
"tree_31" 0.588235294117647 -548.010574018127 0.901126903265103 0.395120552562689 0.00183430206457389 0.0468374317714819 0.00149480416550159 5.02276133618891e-07 1 1 85.7966 0 1
"tree_32" 0.647058823529412 -521.371601208459 0.907846522896909 0.412059861722921 0.000108138014669018 0.0460812127940688 0.00110056953203721 1.03697984124175e-07 1 1 82.2696 0 1
"tree_33" 0.411764705882353 -724.742447129909 0.856546694688262 0.310451216574981 0.280931117742744 0.0521096641728967 0.00793696956275447 0.000420173996191304 1 1 109.1959 0 1
"tree_34" 0.588235294117647 -488.335347432024 0.916179841941286 0.435197880239705 0.00183430206457389 0.0451570470338848 0.000733445205423202 1.0597094950571e-08 1 1 77.8956 0 1
"tree_35" 0.529411764705882 -616.235649546828 0.883917284854526 0.357483317445186 0.0166502153150861 0.048819628139966 0.00304415514422204 1.26897077914213e-05 1 1 94.8296 0 1
"tree_36" 0.647058823529412 -501.02416918429 0.912979115833706 0.426009982959601 0.000108138014669018 0.0455102281583112 0.000860297253798528 2.66775658932623e-08 1 1 79.5756 0 1
"tree_37" 0.529411764705882 -529.422960725076 0.905815585973885 0.406788935340959 0.0166502153150861 0.0463087310483842 0.00120953759523357 1.70835967216502e-07 1 1 83.3356 0 1
"tree_38" 0.588235294117647 -455.299093655589 0.924513160985664 0.461088986093883 0.00183430206457389 0.0442478536800721 0.000472879612747836 6.9284194114538e-10 1 1 73.5216 0 1
"tree_39" 0.529411764705882 -620.480362537764 0.882846565763776 0.355377203024166 0.0166502153150861 0.0489451353632969 0.00317210172842562 1.50335301355925e-05 1 1 95.3916 0 1
"tree_40" 0.529411764705882 -581.046827794562 0.892793584220725 0.375954024926085 0.0166502153150861 0.0477890463959376 0.00213518616337845 2.72753459546668e-06 1 1 90.1706 0 1
"tree_41" 0.411764705882353 -635.784743202417 0.87898607093533 0.347985329184883 0.280931117742744 0.0493997953733143 0.00366974675699742 2.69970335912012e-05 1 1 97.4179 0 1
"tree_42" 0.705882352941177 -521.371601208459 0.907846522896909 0.412059861722921 3.03350466556918e-06 0.0460812127940688 0.00110056953203721 1.03697984124175e-07 1 1 82.2696 0 1
"tree_43" 0.529411764705882 -562.459214501511 0.897482266929507 0.386502731742021 0.0166502153150861 0.0472517402914528 0.0017523015513177 1.08802760376607e-06 1 1 87.7096 0 1
"tree_44" 0.647058823529412 -521.371601208459 0.907846522896909 0.412059861722921 0.000108138014669018 0.0460812127940688 0.00110056953203721 1.03697984124175e-07 1 1 82.2696 0 1
"tree_45" 0.411764705882353 -730.648791540786 0.855056832892948 0.308243747152837 0.280931117742744 0.0522936859851716 0.00831975117949777 0.000487917200354219 1 1 109.9779 0 1
"tree_46" 0.411764705882353 -683.171450151058 0.867032883078809 0.32693006879033 0.280931117742744 0.0508289627375157 0.00561898914224492 0.000131978423967912 1 1 103.6919 0 1
"tree_47" 0.470588235294118 -695.860271903323 0.863832156971229 0.321717649582099 0.0873953348874183 0.0512171893222053 0.00626030106700457 0.000191895447571947 1 1 105.3719 0 1
"tree_48" 0.529411764705882 -602.277945619335 0.887438083572864 0.364588262624003 0.0166502153150861 0.04840874070352 0.00265237067496622 7.10101545859806e-06 1 1 92.9816 0 1
"tree_49" 0.647058823529412 -535.812688821752 0.904203791755425 0.402700827734327 0.000108138014669018 0.0464899355126571 0.00130211514589569 2.50316130616446e-07 1 1 84.1816 0 1
"tree_50" 0.588235294117647 -488.335347432024 0.916179841941286 0.435197880239705 0.00183430206457389 0.0451570470338848 0.000733445205423202 1.0597094950571e-08 1 1 77.8956 0 1
"tree_51" 0.705882352941177 -488.327794561934 0.916181747135398 0.435203467249334 3.03350466556918e-06 0.0451568374656877 0.000733374521328713 1.05910725255721e-08 1 1 77.8946 0 1
"tree_52" 0.705882352941177 -502.776435045317 0.912537110799802 0.424771575639413 3.03350466556918e-06 0.0455591748675166 0.000879136592250825 3.01593139739845e-08 1 1 79.8076 0 1
