"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 7.164 34.013 47.264 7.246 0.6 -374.776661083194 0.331125993303014 0.213036192044218 0.918697333635469 0.563526122893371 0.53198978788102 0.616418982694721 0.446 0.450576354177293 0.56 1
"tree_2" 7.164 38.059 47.264 7.246 0.8 -431.253489670575 0.230021490329352 0.190388607162563 0.371183530898137 0.789456676617829 0.759834361443844 0.789171371915877 0.222 0.312999421945663 0.79 1
"tree_3" 7.164 35.314 47.264 7.246 0.8 -392.936906756002 0.298615622969664 0.205187744237413 0.371183530898137 0.643263206793386 0.60802461316878 0.680665307977415 0.378 0.406338195790404 0.629 1
"tree_4" 7.164 33.613 47.264 7.246 0.7 -369.193188163037 0.341121495327103 0.215571356320471 0.717827039533489 0.538313587081039 0.508645150706831 0.595051046220474 0.48 0.464177632697474 0.521 1
"tree_5" 7.164 25.327 47.264 7.246 0.7 -253.531546621999 0.54817831975611 0.286097840249536 0.717827039533489 0.110482357787184 0.126913946126017 0.110287482265964 0.876 0.745928117243021 0.125 1
"tree_6" 7.164 36.146 47.264 7.246 0.8 -404.550530429927 0.277824978759558 0.200464781718586 0.371183530898137 0.691375132431571 0.655905000424066 0.717399535557838 0.303 0.378047536468428 0.706 1
"tree_7" 7.164 38.059 47.264 7.246 0.8 -431.253489670575 0.230021490329352 0.190388607162563 0.371183530898137 0.789456676617829 0.759834361443844 0.789171371915877 0.222 0.312999421945663 0.79 1
"tree_8" 7.164 36.326 47.264 7.246 0.9 -407.063093243998 0.273327002848718 0.199471452953807 0.0755036700965387 0.701399596720156 0.666108255537592 0.724898369534677 0.291 0.371926961134347 0.714 1
"tree_9" 7.164 28.793 47.264 7.246 0.7 -301.912339475154 0.461567294717377 0.251658389191817 0.717827039533489 0.250870696003615 0.254382965523547 0.299263742660292 0.741 0.628073038865653 0.262 1
"tree_10" 7.164 25.208 47.264 7.246 0.8 -251.870463428252 0.551151981608276 0.287448429070136 0.371183530898137 0.106947483594463 0.123502790316376 0.105313617063907 0.88 0.749974497602775 0.124 1
"tree_11" 7.164 26.721 47.264 7.246 0.7 -272.989949748744 0.513343995202159 0.271172486059653 0.717827039533489 0.158203142001034 0.171626598608931 0.177288241273542 0.829 0.69852766160019 0.172 1
"tree_12" 7.164 30.767 47.264 7.246 0.8 -329.466778336125 0.412239492228497 0.23551207462541 0.371183530898137 0.360453038643662 0.350035050650538 0.425288833707424 0.623 0.560950729368561 0.382 1
"tree_13" 7.164 26.109 47.264 7.246 0.7 -264.447236180905 0.528637113299016 0.277528821479183 0.717827039533489 0.135802032050195 0.150909706440795 0.145988164131549 0.853 0.719337617736067 0.15 1
"tree_14" 7.164 29.355 47.264 7.246 0.6 -309.757118927973 0.447523614373532 0.246840401975813 0.918697333635469 0.280211739021577 0.280064420581336 0.334904882192287 0.721 0.608963242544799 0.281 1
"tree_15" 7.164 32.5 47.264 7.246 0.8 -353.657174762702 0.368933979709131 0.222953846153846 0.371183530898137 0.467664984939341 0.444599680997204 0.53195140848212 0.519 0.502023190179877 0.484 1
"tree_16" 7.164 32.5 47.264 7.246 0.7 -353.657174762702 0.368933979709131 0.222953846153846 0.717827039533489 0.467664984939341 0.444599680997204 0.53195140848212 0.519 0.502023190179877 0.484 1
"tree_17" 7.164 32.68 47.264 7.246 0.9 -356.169737576773 0.364436003798291 0.22172582619339 0.0755036700965387 0.479080041194336 0.454829608627692 0.54249469930122 0.514 0.495902614845796 0.487 1
