"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 174.3 162.6 243.9 19.2 0.65 6.71256454388984 0.361815754339119 0.118081180811808 0.922462393124818 0.626303480882439 0.613940054008953 0.658758150554674 0.36 0.462464589235127 0.644 1
"tree_2" 174.3 136 243.9 19.2 0.65 21.9736087205967 0.480195816644415 0.141176470588235 0.922462393124818 0.188236776158242 0.191958989330096 0.202350503051852 0.806 0.65084985835694 0.196 1
"tree_3" 174.3 149.9 243.9 19.2 0.8 13.9988525530694 0.418335558522474 0.128085390260173 0.16251836313281 0.399766007482572 0.393562641398639 0.44404378562993 0.582 0.552407932011331 0.419 1
"tree_4" 174.3 138.3 243.9 19.2 0.7 20.6540447504303 0.469959946595461 0.13882863340564 0.746410679624575 0.217668400423421 0.220126765974943 0.238507855015908 0.782 0.634560906515581 0.218 1
"tree_5" 174.3 125.4 243.9 19.2 0.7 28.0550774526678 0.527369826435247 0.15311004784689 0.746410679624575 0.0860959174000192 0.0923754813403462 0.0747249637664295 0.921 0.725920679886685 0.079 1
"tree_6" 174.3 163.8 243.9 19.2 0.75 6.02409638554217 0.356475300400534 0.117216117216117 0.447217744100736 0.64672996631125 0.634325869691371 0.676359953348053 0.339 0.453966005665722 0.661 1
"tree_7" 174.3 117.4 243.9 19.2 0.7 32.6448651749857 0.562972852692479 0.163543441226576 0.746410679624575 0.0419896915278196 0.0473172135104609 0.0251457793554657 0.968 0.78257790368272 0.032 1
"tree_8" 174.3 138.7 243.9 19.2 0.75 20.4245553643144 0.468179795282599 0.138428262436914 0.447217744100736 0.223045178449522 0.225260176064515 0.245035622948648 0.776 0.631728045325779 0.226 1
"tree_9" 174.3 125.9 243.9 19.2 0.75 27.7682157200229 0.52514463729417 0.152501985702939 0.447217744100736 0.0897143107867609 0.095987670138587 0.07912676144168 0.917 0.722379603399433 0.084 1
"tree_10" 174.3 126.9 243.9 19.2 0.75 27.1944922547332 0.520694259012016 0.151300236406619 0.447217744100736 0.0972881444465437 0.103519108550559 0.0884231571300841 0.907 0.715297450424929 0.094 1
"tree_11" 174.3 144.5 243.9 19.2 0.8 17.0969592656339 0.442367601246106 0.132871972318339 0.16251836313281 0.308932098022573 0.307010246631497 0.345587166761909 0.688 0.590651558073654 0.312 1
"tree_12" 174.3 157.1 243.9 19.2 0.75 9.86804360298336 0.386292834890966 0.122215149586251 0.447217744100736 0.528944257056106 0.518111315954913 0.571246119538779 0.458 0.501416430594901 0.544 1
"tree_13" 174.3 125.4 243.9 19.2 0.75 28.0550774526678 0.527369826435247 0.15311004784689 0.447217744100736 0.086095917400019 0.0923754813403462 0.0747249637664292 0.922 0.725920679886686 0.079 1
"tree_14" 174.3 125.9 243.9 19.2 0.8 27.7682157200229 0.52514463729417 0.152501985702939 0.16251836313281 0.0897143107867609 0.095987670138587 0.07912676144168 0.917 0.722379603399433 0.084 1
"tree_15" 174.3 151.1 243.9 19.2 0.75 13.3103843947217 0.412995104583889 0.127068166776969 0.447217744100736 0.420926188681774 0.413814789594042 0.465858982021536 0.567 0.543909348441926 0.435 1
"tree_16" 174.3 181.3 243.9 19.2 0.8 -4.01606425702812 0.278593680462839 0.105901820187534 0.16251836313281 0.879050052734105 0.875385273720494 0.865743046303784 0.126 0.330028328611898 0.874 1
"tree_17" 174.3 128.7 243.9 19.2 0.75 26.1617900172117 0.512683578104139 0.149184149184149 0.447217744100736 0.112084427185549 0.118131752262714 0.106819538586438 0.886 0.702549575070821 0.114 1
"tree_18" 174.3 131.5 243.9 19.2 0.75 24.5553643144005 0.500222518914108 0.146007604562738 0.447217744100736 0.138183199449528 0.14364754860535 0.139636285831605 0.853 0.68271954674221 0.147 1
