"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 128.944 596.7296 1713.6256 47.8 0.625 -362.781982876287 0.670475948982895 0.0801032829609927 0.990494132099022 0.00830336373407371 0.00757913596461327 0.00196219989023702 0.995 0.848458398116072 0.005 1
"tree_2" 128.944 496.3306 1713.6256 47.8 0.645833333333333 -284.919499937958 0.730745763542114 0.0963067761689487 0.970664464232085 0.000350566961569305 0.000227792949617213 1.0752198413969e-06 1 1 0 1
"tree_3" 128.944 502.0796 1713.6256 47.8 0.708333333333333 -289.378024568805 0.727294621958025 0.0952040274091997 0.686270569567282 0.000430769943834516 0.000288587230877625 1.94451554923714e-06 0.999 0.991889655674059 0.001 1
"tree_4" 128.944 461.0276 1713.6256 47.8 0.666666666666667 -257.540948008438 0.751938258122579 0.103681428183475 0.923628917064251 9.25260160529202e-05 4.78377082618833e-05 1.54727604728756e-08 1 1 0 1
"tree_5" 128.944 422.7396 1713.6256 47.8 0.6875 -227.847437647351 0.774922656969613 0.113071971492616 0.83195241787931 1.91418021300262e-05 7.00974885269365e-06 3.61590001583924e-11 1 1 0 1
"tree_6" 128.944 381.4106 1713.6256 47.8 0.666666666666667 -195.795539148778 0.799732577047681 0.125324256850753 0.923628917064251 2.99544040461078e-06 6.51169988831509e-07 4.88234947337928e-15 1 1 0 1
"tree_7" 128.944 385.6646 1713.6256 47.8 0.666666666666667 -199.094645737685 0.797178888354219 0.123941891477724 0.923628917064251 3.65252143352877e-06 8.44966070026958e-07 1.40728068337972e-14 1 1 0 1
"tree_8" 128.944 450.4886 1713.6256 47.8 0.729166666666667 -249.367632460603 0.758264850774295 0.106107013584805 0.499429123045747 6.07899708408538e-05 2.89047749325109e-05 3.46339799227006e-09 1 1 0 1
"tree_9" 128.944 360.9526 1713.6256 47.8 0.666666666666667 -179.929736940067 0.812013574530251 0.132427360268357 0.923628917064251 1.12691182125293e-06 1.75984104065432e-07 1.73190695420375e-17 1 1 0 1
"tree_10" 128.944 352.0546 1713.6256 47.8 0.729166666666667 -173.029066881747 0.817355070062556 0.135774394085463 0.499429123045747 7.27563778482368e-07 9.66648069910133e-08 1.08332388244435e-18 1 1 0 1
"tree_11" 128.944 308.1206 1713.6256 47.8 0.625 -138.956911527485 0.843728779291182 0.155134061143591 0.990494132099022 7.51476163707205e-08 3.71866362420334e-09 3.15000869438234e-26 1 1 0 1
"tree_12" 128.944 288.5276 1713.6256 47.8 0.666666666666667 -123.761943169128 0.855490514733355 0.165668726319423 0.923628917064251 2.57365113999929e-08 7.25235673108028e-10 1.0390203423807e-30 1 1 0 1
"tree_13" 128.944 291.3566 1713.6256 47.8 0.708333333333333 -125.955918848492 0.853792257724938 0.164060124260099 0.686270569567282 3.01108387658464e-08 9.25404927864033e-10 5.2154720388051e-30 1 1 0 1
"tree_14" 128.944 283.6766 1713.6256 47.8 0.6875 -119.999844893907 0.858402584280131 0.168501737541976 0.83195241787931 1.96281827447261e-08 4.74470826451623e-10 5.87062190473096e-32 1 1 0 1
"tree_15" 128.944 339.7046 1713.6256 47.8 0.729166666666667 -163.451265665715 0.824768811332951 0.14071048787682 0.499429123045747 3.91510839078557e-07 4.07522639149545e-08 1.60037887965984e-20 1 1 0 1
