"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.642857142857143 -47.2549511155678 0.866704366441814 0.438202247191011 9.62545904840064e-05 0.00327254023631686 0.000141572258577926 7.49091351850609e-11 1 1 293.7 0 1
"tree_2" 0.571428571428571 -74.9561293557282 0.822070525507937 0.36882074795816 0.00159099008498867 0.00399113805844051 0.000919353375106734 4.96075669013783e-07 1 1 348.95 0 1
"tree_3" 0.571428571428571 -68.9395838556029 0.831764753403078 0.381955779789286 0.00159099008498867 0.00382402899464837 0.000636322336105798 1.09162580639861e-07 1 1 336.95 0 1
"tree_4" 0.642857142857143 -60.767109551266 0.844932746293978 0.401372212692967 9.62545904840064e-05 0.0036070889176124 0.000373936427570939 1.02315274877529e-08 1 1 320.65 0 1
"tree_5" 0.571428571428571 -54.6001504136375 0.854869329886497 0.417382844170585 0.00159099008498867 0.00345076811575844 0.000243753179253892 1.29292315683035e-09 1 1 308.35 0 1
"tree_6" 0.428571428571429 -102.231135622963 0.778123359049966 0.319077724060989 0.077223832979709 0.00483359078872571 0.00395539010124165 8.04208793803123e-05 1 1 403.35 0 1
"tree_7" 0.571428571428571 -48.433191276009 0.864805913479016 0.434723864212126 0.00159099008498867 0.00330056029114655 0.000154872970577385 1.22084580133487e-10 1 1 296.05 0 1
"tree_8" 0.571428571428571 -65.0789671596891 0.83798521630246 0.390888382687927 0.00159099008498867 0.0037201314228415 0.000497378818247582 3.74466266120154e-08 1 1 329.25 0 1
"tree_9" 0.571428571428571 -50.2882928052143 0.861816859878014 0.429357798165138 0.00159099008498867 0.00334511437858488 0.000178019283117374 2.56807100392023e-10 1 1 299.75 0 1
"tree_10" 0.5 -105.941338681374 0.772145251847962 0.313329275715155 0.0143788594990631 0.00495967088842032 0.00471457549827271 0.000135463492854654 0.999 0.995414736350442 410.75 0.001 1
"tree_11" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_12" 0.571428571428571 -56.6056655803459 0.851637920588116 0.412037778133504 0.00159099008498867 0.00350092319255863 0.000280902714018734 2.60967014307694e-09 1 1 312.35 0 1
"tree_13" 0.571428571428571 -87.2900476309852 0.802197358322899 0.344532191139071 0.00159099008498867 0.00435429931538736 0.00184979082796191 6.7642303888425e-06 1 1 373.55 0 1
"tree_14" 0.5 -50.4387064427174 0.861574504180636 0.428928511914681 0.0143788594990631 0.00334875046044448 0.000180021315118801 2.72406792560247e-10 1 1 300.05 0 1
"tree_15" 0.571428571428571 -47.9819503634996 0.865532980571152 0.436049466373031 0.00159099008498867 0.00328980381658274 0.000149655998576537 1.01409593284847e-10 1 1 295.15 0 1
"tree_16" 0.642857142857143 -72.1484081223364 0.826594498525669 0.374836173001311 9.62545904840064e-05 0.00391235667275532 0.000776111202057999 2.50182992977264e-07 1 1 343.35 0 1
"tree_17" 0.642857142857143 -58.9120080220606 0.847921799894979 0.406057737813535 9.62545904840064e-05 0.00355941013867443 0.000329608128585462 5.6464279172935e-09 1 1 316.95 0 1
"tree_18" 0.571428571428571 -49.6866382552018 0.862786282667528 0.431083570591191 0.00159099008498867 0.00333060551656272 0.000170203425270676 2.02447695997592e-10 1 1 298.55 0 1
"tree_19" 0.428571428571429 -104.988718977187 0.773680171264693 0.314785373608903 0.077223832979709 0.00492702248273095 0.00450886993312745 0.000118859972143004 0.999 0.997522126822305 408.85 0.001 1
"tree_20" 0.5 -56.6056655803459 0.851637920588116 0.412037778133504 0.0143788594990631 0.00350092319255863 0.000280902714018734 2.60967014307694e-09 1 1 312.35 0 1
"tree_21" 0.571428571428571 -50.4387064427174 0.861574504180636 0.428928511914681 0.00159099008498867 0.00334875046044448 0.000180021315118801 2.72406792560247e-10 1 1 300.05 0 1
"tree_22" 0.5 -79.4184006016545 0.814880639819041 0.359647897163616 0.0143788594990631 0.00411926979002 0.00119368627139137 1.36919521157583e-06 1 1 357.85 0 1
"tree_23" 0.571428571428571 -58.9120080220606 0.847921799894979 0.406057737813535 0.00159099008498867 0.00355941013867443 0.000329608128585462 5.6464279172935e-09 1 1 316.95 0 1
"tree_24" 0.571428571428571 -81.7247430433693 0.811164519125904 0.355083459787557 0.00159099008498867 0.00418692763806749 0.00136109917454058 2.24010725970967e-06 1 1 362.45 0 1
"tree_25" 0.571428571428571 -64.6277262471797 0.838712283394595 0.391959798994975 0.00159099008498867 0.00370815431111215 0.000482996387749633 3.28643822051174e-08 1 1 328.35 0 1
"tree_26" 0.571428571428571 -56.4552519428428 0.851880276285495 0.412433904822945 0.00159099008498867 0.00349713897679317 0.000277955604020728 2.47831458602375e-09 1 1 312.05 0 1
"tree_27" 0.5 -77.5632990724492 0.817869693420043 0.363405336721728 0.0143788594990631 0.00406556106916714 0.00107214258678193 9.07129386891049e-07 1 1 354.15 0 1
"tree_28" 0.5 -87.2900476309852 0.802197358322899 0.344532191139071 0.0143788594990631 0.00435429931538736 0.00184979082796191 6.7642303888425e-06 1 1 373.55 0 1
"tree_29" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_30" 0.5 -46.1268488342943 0.868522034172153 0.441585177560473 0.0143788594990631 0.00324591319195584 0.000129780527393721 4.63576421403474e-11 1 1 291.45 0 1
"tree_31" 0.5 -81.2735021308598 0.811891586218039 0.355967362743742 0.0143788594990631 0.00417361254018105 0.00132685067276335 2.03777709931067e-06 1 1 361.55 0 1
"tree_32" 0.642857142857143 -43.5196791175733 0.872722866260048 0.449606986899563 9.62545904840064e-05 0.0031851193352969 0.000105745471566671 1.45738824867938e-11 1 1 286.25 0 1
"tree_33" 0.571428571428571 -30.0827275006267 0.894373308559195 0.49604933513201 0.00159099008498867 0.00288774906130686 3.34748877808075e-05 1.04443877965852e-14 1 1 259.45 0 1
"tree_34" 0.714285714285714 -55.0513913261469 0.854142262794361 0.416168148746968 2.76433864295894e-06 0.00346199638825319 0.000251717067506033 1.51823170399552e-09 1 1 309.25 0 1
"tree_35" 0.5 -46.1268488342943 0.868522034172153 0.441585177560473 0.0143788594990631 0.00324591319195584 0.000129780527393721 4.63576421403474e-11 1 1 291.45 0 1
"tree_36" 0.642857142857143 -49.0348458260216 0.863836490689502 0.432968881412952 9.62545904840064e-05 0.00331495144954613 0.000162074618377238 1.55902941197361e-10 1 1 297.25 0 1
"tree_37" 0.714285714285714 -56.3048383053397 0.852122631982874 0.412830793905373 2.76433864295894e-06 0.0034933584350661 0.000275035351171924 2.35318416103543e-09 1 1 311.75 0 1
"tree_38" 0.571428571428571 -70.7946853848082 0.828775699802076 0.3778071334214 0.00159099008498867 0.00387487291853807 0.000714212562740544 1.77440323606662e-07 1 1 340.65 0 1
"tree_39" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_40" 0.428571428571429 -96.0641764853347 0.788059942642485 0.329113924050633 0.077223832979709 0.00463033689618662 0.00292129330743919 3.12970207968979e-05 1 1 391.05 0 1
"tree_41" 0.428571428571429 -65.2293807971922 0.837742860605081 0.390532544378698 0.077223832979709 0.00372413149694728 0.000502254476268518 3.91015918751385e-08 1 1 329.55 0 1
"tree_42" 0.5 -68.9395838556029 0.831764753403078 0.381955779789286 0.0143788594990631 0.00382402899464837 0.000636322336105798 1.09162580639861e-07 1 1 336.95 0 1
"tree_43" 0.571428571428571 -81.7247430433693 0.811164519125904 0.355083459787557 0.00159099008498867 0.00418692763806749 0.00136109917454058 2.24010725970967e-06 1 1 362.45 0 1
"tree_44" 0.285714285714286 -198.445725745801 0.623096497960173 0.216211675766485 0.567523444801053 0.0092081897935034 0.10894673406993 0.100105389204738 0.906 0.790776030003713 595.25 0.094 1
"tree_45" 0.5 -81.2735021308599 0.811891586218039 0.355967362743742 0.0143788594990631 0.00417361254018105 0.00132685067276335 2.03777709931069e-06 1 1 361.55 0 1
"tree_46" 0.5 -48.8844321885184 0.86407884638688 0.433406297356457 0.0143788594990631 0.00331134838042306 0.000160247439910633 1.46702859912361e-10 1 1 296.95 0 1
"tree_47" 0.571428571428571 -58.9120080220606 0.847921799894979 0.406057737813535 0.00159099008498867 0.00355941013867443 0.000329608128585462 5.6464279172935e-09 1 1 316.95 0 1
"tree_48" 0.571428571428571 -50.4387064427174 0.861574504180636 0.428928511914681 0.00159099008498867 0.00334875046044448 0.000180021315118801 2.72406792560247e-10 1 1 300.05 0 1
"tree_49" 0.571428571428571 -40.9125094008523 0.876923698347942 0.457925636007828 0.00159099008498867 0.00312535204051067 8.5684789807594e-05 4.26544873410935e-12 1 1 281.05 0 1
"tree_50" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_51" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_52" 0.5 -64.6277262471797 0.838712283394595 0.391959798994975 0.0143788594990631 0.00370815431111215 0.000482996387749633 3.28643822051174e-08 1 1 328.35 0 1
"tree_53" 0.5 -60.9175231887691 0.844690390596599 0.400997040037389 0.0143788594990631 0.00361097977317809 0.000377746687466384 1.0726120696498e-08 1 1 320.95 0 1
"tree_54" 0.428571428571429 -136.776134369516 0.722462333885366 0.272525145579672 0.077223832979709 0.0061260596691463 0.0170708130011227 0.00364633544321728 0.99 0.927201834234866 472.25 0.01 1
"tree_55" 0.428571428571429 -128.002005515167 0.736599749565779 0.28301264431006 0.077223832979709 0.0057716442650422 0.0121851666770224 0.00167661225657787 0.991 0.946612009633607 454.75 0.00900000000000001 1
"tree_56" 0.642857142857143 -47.8315367259965 0.86577533626853 0.436493132101068 9.62545904840064e-05 0.00328622533669928 0.000147951327276257 9.52879434233669e-11 1 1 294.85 0 1
"tree_57" 0.642857142857143 -52.7450488844322 0.857858383487498 0.422451994091581 9.62545904840064e-05 0.00340495036936732 0.000213265002456218 6.57007716882751e-10 1 1 304.65 0 1
"tree_58" 0.642857142857143 -65.5302080721985 0.837258149210324 0.38982280781463 9.62545904840064e-05 0.00373214321963358 0.00051212979405934 4.26175240028963e-08 1 1 330.15 0 1
"tree_59" 0.5 -70.7946853848082 0.828775699802076 0.3778071334214 0.0143788594990631 0.00387487291853807 0.000714212562740544 1.77440323606662e-07 1 1 340.65 0 1
"tree_60" 0.571428571428571 -62.7726247179744 0.841701336995597 0.396426921299861 0.00159099008498867 0.00365927763894284 0.000427577693928576 1.89746367580282e-08 1 1 324.65 0 1
"tree_61" 0.5 -64.6277262471797 0.838712283394595 0.391959798994975 0.0143788594990631 0.00370815431111215 0.000482996387749633 3.28643822051174e-08 1 1 328.35 0 1
"tree_62" 0.5 -79.8696415141639 0.814153572726905 0.358745644599303 0.0143788594990631 0.00413242969876885 0.00122497478149918 1.51016099343776e-06 1 1 358.75 0 1
"tree_63" 0.5 -85.585359739283 0.804944056226522 0.347696879643388 0.0143788594990631 0.00430240795990459 0.00168633584743015 4.87935457975337e-06 1 1 370.15 0 1
"tree_64" 0.571428571428571 -58.4607671095513 0.848648866987115 0.407214048410062 0.00159099008498867 0.00354789848651158 0.000319541504715289 4.86922253089032e-09 1 1 316.05 0 1
"tree_65" 0.5 -41.8149912258711 0.875469564163671 0.455011490189146 0.0143788594990631 0.00314592549020518 9.22163381831792e-05 6.58183561328207e-12 1 1 282.85 0 1
"tree_66" 0.428571428571429 -87.4404612684883 0.80195500262552 0.34425571753377 0.077223832979709 0.00435890470858293 0.00186484015095171 6.95866133469034e-06 1 1 373.85 0 1
"tree_67" 0.5 -70.7946853848082 0.828775699802076 0.3778071334214 0.0143788594990631 0.00387487291853807 0.000714212562740544 1.77440323606662e-07 1 1 340.65 0 1
"tree_68" 0.642857142857143 -55.8535973928303 0.852849699075009 0.414026057584044 9.62545904840064e-05 0.00348203882335355 0.000266433681721388 2.01244232883446e-09 1 1 310.85 0 1
"tree_69" 0.571428571428571 -75.1065429932314 0.821828169810559 0.368503937007874 0.00159099008498867 0.00399539830229964 0.000927628827436585 5.14074971492828e-07 1 1 349.25 0 1
"tree_70" 0.571428571428571 -46.5780897468037 0.867794967080018 0.440225756798358 0.00159099008498867 0.00325654053500224 0.000134390353631536 5.62499199628234e-11 1 1 292.35 0 1
"tree_71" 0.5 -86.8388067184758 0.802924425415034 0.345364282839125 0.0143788594990631 0.00434050921557408 0.00180526228211462 6.21004312625257e-06 1 1 372.65 0 1
"tree_72" 0.5 -56.6056655803459 0.851637920588116 0.412037778133504 0.0143788594990631 0.00350092319255863 0.000280902714018734 2.60967014307694e-09 1 1 312.35 0 1
"tree_73" 0.571428571428571 -54.6001504136375 0.854869329886497 0.417382844170585 0.00159099008498867 0.00345076811575844 0.000243753179253892 1.29292315683035e-09 1 1 308.35 0 1
"tree_74" 0.642857142857143 -54.6001504136375 0.854869329886497 0.417382844170585 9.62545904840064e-05 0.00345076811575844 0.000243753179253892 1.29292315683035e-09 1 1 308.35 0 1
"tree_75" 0.5 -56.6056655803459 0.851637920588116 0.412037778133504 0.0143788594990631 0.00350092319255863 0.000280902714018734 2.60967014307694e-09 1 1 312.35 0 1
"tree_76" 0.642857142857143 -65.0789671596891 0.83798521630246 0.390888382687927 9.62545904840064e-05 0.0037201314228415 0.000497378818247582 3.74466266120154e-08 1 1 329.25 0 1
"tree_77" 0.5 -50.4387064427174 0.861574504180636 0.428928511914681 0.0143788594990631 0.00334875046044448 0.000180021315118801 2.72406792560247e-10 1 1 300.05 0 1
"tree_78" 0.571428571428571 -62.7726247179744 0.841701336995597 0.396426921299861 0.00159099008498867 0.00365927763894284 0.000427577693928576 1.89746367580282e-08 1 1 324.65 0 1
"tree_79" 0.642857142857143 -42.3163700175482 0.874661711839076 0.453408490399859 9.62545904840064e-05 0.00315740778395788 9.60291796409377e-05 8.34264433427015e-12 1 1 283.85 0 1
"tree_80" 0.642857142857143 -65.3045876159438 0.837621682756392 0.390354868061874 9.62545904840064e-05 0.00372613298020968 0.000504707751102972 3.99543485889404e-08 1 1 329.7 0 1
"tree_81" 0.642857142857143 -28.127350213086 0.897523932625116 0.503619643905302 9.62545904840064e-05 0.0028466272312832 2.7895270084873e-05 2.93288322804727e-15 1 1 255.55 0 1
