"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.64 -164.470567201538 0.785572164685475 0.289673821193172 9.4904848983629e-08 1.02231273386238e-05 6.19529536682746e-07 2.15658849005178e-18 1 1 591.7 0 1
"tree_2" 0.64 -159.688016805971 0.791031069843375 0.295008605851979 9.4904848983629e-08 9.66484992616132e-06 4.09810173938619e-07 2.29470164836897e-19 1 1 581 0 1
"tree_3" 0.68 -115.706431859831 0.841232590173971 0.355159552424368 2.04959665013515e-09 5.72590981415766e-06 5.28811286843978e-09 8.20597137221111e-32 1 1 482.6 0 1
"tree_4" 0.64 -141.697581906763 0.811565736442018 0.316967175219602 9.4904848983629e-08 7.81388906338884e-06 7.85605693069267e-08 1.34135627889615e-23 1 1 540.75 0 1
"tree_5" 0.64 -165.364501854914 0.784551808581195 0.288697995620684 9.4904848983629e-08 1.03308284082349e-05 6.68525282639175e-07 3.23128257040019e-18 1 1 593.7 0 1
"tree_6" 0.68 -132.579448442319 0.821973368705678 0.329393677332565 2.04959665013515e-09 7.01001728318302e-06 3.1901164694226e-08 3.73527738368583e-26 1 1 520.35 0 1
"tree_7" 0.56 -144.669914629241 0.808173052395286 0.313116550968213 4.6126211883454e-05 8.09441045477577e-06 1.04370692738829e-07 7.87221066606588e-23 1 1 547.4 0 1
"tree_8" 0.68 -110.923881464265 0.846691495331871 0.363212545030727 2.04959665013515e-09 5.4049138654041e-06 3.07187441535431e-09 1.11463283799348e-33 1 1 471.9 0 1
"tree_9" 0.64 -164.470567201538 0.785572164685475 0.289673821193172 9.4904848983629e-08 1.02231273386238e-05 6.19529536682746e-07 2.15658849005178e-18 1 1 591.7 0 1
"tree_10" 0.64 -125.986680373665 0.829498494974746 0.339003164556962 9.4904848983629e-08 6.47859701084171e-06 1.61422652934604e-08 3.30017522814703e-28 1 1 505.6 0 1
"tree_11" 0.68 -142.837348589818 0.810264782409061 0.315479477268544 2.04959665013515e-09 7.92034392226393e-06 8.76498385809773e-08 2.66554860119374e-23 1 1 543.3 0 1
"tree_12" 0.64 -126.880615027041 0.828478138870466 0.337667454688731 9.4904848983629e-08 6.54833233314504e-06 1.77312678752397e-08 6.4275765338121e-28 1 1 507.6 0 1
"tree_13" 0.68 -110.923881464265 0.846691495331871 0.363212545030727 2.04959665013515e-09 5.4049138654041e-06 3.07187441535431e-09 1.11463283799348e-33 1 1 471.9 0 1
"tree_14" 0.52 -180.427300764314 0.76735880822407 0.273190946764425 0.000533291523248303 1.23163660493832e-05 2.29063716817026e-06 1.58462571482467e-15 1 1 627.4 0 1
"tree_15" 0.64 -110.923881464265 0.846691495331871 0.363212545030727 9.4904848983629e-08 5.4049138654041e-06 3.07187441535431e-09 1.11463283799348e-33 1 1 471.9 0 1
"tree_16" 0.64 -142.837348589818 0.810264782409061 0.315479477268544 9.4904848983629e-08 7.92034392226393e-06 8.76498385809773e-08 2.66554860119374e-23 1 1 543.3 0 1
"tree_17" 0.68 -108.42086443481 0.849548492423856 0.367574522839374 2.04959665013515e-09 5.24383952192365e-06 2.29688250996211e-09 1.03842524570646e-34 1 1 466.3 0 1
"tree_18" 0.56 -165.364501854914 0.784551808581195 0.288697995620684 4.6126211883454e-05 1.03308284082349e-05 6.68525282639175e-07 3.23128257040019e-18 1 1 593.7 0 1
"tree_19" 0.52 -176.538685022125 0.77179735727769 0.277032487473735 0.000533291523248303 1.17715801175299e-05 1.68179832557527e-06 3.55704203053632e-16 1 1 618.7 0 1
"tree_20" 0.64 -116.600366513208 0.84021223406969 0.353693768056129 9.4904848983629e-08 5.78789378450406e-06 5.84299750743168e-09 1.77389826107356e-31 1 1 484.6 0 1
"tree_21" 0.64 -131.417333392929 0.823299831641243 0.331047802993723 9.4904848983629e-08 6.91341970083202e-06 2.83442873654853e-08 1.67343841518849e-26 1 1 517.75 0 1
"tree_22" 0.68 -126.880615027041 0.828478138870466 0.337667454688731 2.04959665013515e-09 6.54833233314504e-06 1.77312678752397e-08 6.4275765338121e-28 1 1 507.6 0 1
"tree_23" 0.6 -133.451034729361 0.820978521504005 0.328163890484396 2.6299184978967e-06 7.08330883353858e-06 3.48410087469121e-08 6.76515257412001e-26 1 1 522.3 0 1
