"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.430232558139535 -144.608651899697 0.769108660649871 0.0752947929871559 0.00386405940006648 3.47158054731352e-09 5.63159077399634e-07 1.10311204260334e-15 1 1 2090.45 0 1
"tree_2" 0.453488372093023 -134.147739904752 0.779786959575352 0.0786587041803053 0.000512587228899753 2.68863204411272e-09 2.00917122333652e-07 1.08438498346936e-17 1 1 2001.05 0 1
"tree_3" 0.465116279069767 -114.477949005979 0.799865505988925 0.0858725006137647 0.000163869267009551 1.65473252570833e-09 2.46590361456481e-08 2.71964340766363e-22 1 1 1832.95 0 1
"tree_4" 0.488372093023256 -150.155041480909 0.763447012226294 0.0736253712842342 1.28485097466274e-05 3.97249588346313e-09 9.51287654841151e-07 1.00956280337855e-14 1 1 2137.85 0 1
"tree_5" 0.441860465116279 -122.101309369186 0.792083725507996 0.0829250302934514 0.00146949069514046 1.99872587016779e-09 5.7062223346976e-08 2.29702436852733e-20 1 1 1898.1 0 1
"tree_6" 0.441860465116279 -126.471723944255 0.787622489883088 0.0813247565165724 0.00146949069514046 2.22634417487017e-09 9.09266175774703e-08 2.40125966369287e-19 1 1 1935.45 0 1
"tree_7" 0.453488372093023 -134.212096745884 0.779721265342589 0.0786370903277378 0.000512587228899753 2.69287749829814e-09 2.0223009597859e-07 1.11782097312267e-17 1 1 2001.6 0 1
"tree_8" 0.441860465116279 -152.395829676695 0.761159658485545 0.0729717199814557 0.00146949069514046 4.19421690175631e-09 1.17076156838253e-06 2.36664847462623e-14 1 1 2157 0 1
"tree_9" 0.453488372093023 -125.17873649969 0.788942346741327 0.0817917272916234 0.000512587228899753 2.15649790466771e-09 7.93073312876045e-08 1.21616904701858e-19 1 1 1924.4 0 1
"tree_10" 0.441860465116279 -124.535168088368 0.789599289068957 0.0820261608213039 0.00146949069514046 2.12253235392573e-09 7.40640818016938e-08 8.63081327417537e-20 1 1 1918.9 0 1
"tree_11" 0.430232558139535 -135.159897497104 0.778753768460079 0.0783201472856645 0.00386405940006648 2.75616192213837e-09 2.22534392120858e-07 1.74319520978484e-17 1 1 2009.7 0 1
"tree_12" 0.441860465116279 -122.879442084694 0.791289422511861 0.0826355164719779 0.00146949069514046 2.03752342570765e-09 6.2046530573396e-08 3.52359196201577e-20 1 1 1904.75 0 1
"tree_13" 0.453488372093023 -140.782345163291 0.773014481397782 0.0764913133276637 0.000512587228899753 3.16240772573011e-09 3.88790990751519e-07 2.18342696311021e-16 1 1 2057.75 0 1
"tree_14" 0.441860465116279 -150.8454148676 0.762742292274836 0.0734227405247813 0.00146949069514046 4.03956299806852e-09 1.01437696068656e-06 1.31591116194657e-14 1 1 2143.75 0 1
"tree_15" 0.465116279069767 -133.989773112882 0.779948209055771 0.0787118067710156 0.000163869267009551 2.67823897289296e-09 1.9772856261716e-07 1.00638616479432e-17 1 1 1999.7 0 1
"tree_16" 0.430232558139535 -125.319151425797 0.788799013869844 0.0817407561279601 0.00386405940006648 2.16397856144972e-09 8.04972771834042e-08 1.31015490107567e-19 1 1 1925.6 0 1
"tree_17" 0.453488372093023 -132.995167386293 0.780963483562109 0.0790478103656087 0.000512587228899753 2.61369325566096e-09 1.78728520493819e-07 6.26788564899838e-18 1 1 1991.2 0 1
"tree_18" 0.430232558139535 -130.350686277951 0.783662919308371 0.0799552981814487 0.00386405940006648 2.44935151007228e-09 1.36276612111443e-07 1.72701328626705e-18 1 1 1968.6 0 1
"tree_19" 0.430232558139535 -144.20495898714 0.769520742655385 0.0754192620987063 0.00386405940006648 3.43762268190621e-09 5.41755923931192e-07 9.3323667857464e-16 1 1 2087 0 1
"tree_20" 0.441860465116279 -134.016685973719 0.77992073692207 0.0787027545964109 0.00146949069514046 2.68000687772518e-09 1.98268384895822e-07 1.01927772756583e-17 1 1 1999.93 0 1
"tree_21" 0.418604651162791 -135.130644387498 0.778783629474972 0.0783298912637787 0.00932715970631733 2.75418723676553e-09 2.21879795839585e-07 1.7195910562951e-17 1 1 2009.45 0 1
