"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 63.8 162.8 208.4 29.3 0.875 -155.172413793103 0.254606365159129 0.17997542997543 0.143540193152384 0.804756434748358 0.764380650974612 0.799280431547166 0.21 0.30379746835443 0.837 1
"tree_2" 63.8 66.4 208.4 29.3 0.75 -4.07523510971781 0.7928531546622 0.441265060240964 0.508546830292607 0.0212078109098134 0.0295858885991013 0.00142998166333982 0.993 0.946035976015989 0.00900000000000001 1
"tree_3" 63.8 89.2 208.4 29.3 0.75 -39.8119122257052 0.665549972082635 0.32847533632287 0.508546830292607 0.0890982385337461 0.10994213652895 0.0745645918121704 0.912 0.794137241838774 0.088 1
"tree_4" 63.8 129.6 208.4 29.3 0.75 -103.134796238244 0.439977666108319 0.22608024691358 0.508546830292607 0.445933983038654 0.429124535689214 0.531330358886664 0.551 0.524983344437042 0.452 1
"tree_5" 63.8 89.2 208.4 29.3 0.75 -39.8119122257052 0.665549972082635 0.32847533632287 0.508546830292607 0.0890982385337461 0.10994213652895 0.0745645918121704 0.912 0.794137241838774 0.088 1
"tree_6" 63.8 66.4 208.4 29.3 0.75 -4.07523510971781 0.7928531546622 0.441265060240964 0.508546830292607 0.0212078109098134 0.0295858885991013 0.00142998166333982 0.993 0.946035976015989 0.00900000000000001 1
"tree_7" 63.8 54 208.4 29.3 0.625 15.3605015673982 0.862088218872138 0.542592592592592 0.823344314755274 0.00817685956817192 0.01048786184366 7.54109825267318e-06 1 1 0 1
"tree_8" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_9" 63.8 59.2 208.4 29.3 0.5 7.2100313479625 0.833054159687326 0.494932432432432 0.961960350563589 0.0123798364859111 0.0168654141272415 0.000109814455834664 0.999 0.99400399733511 0.001 1
"tree_10" 63.8 61.2 208.4 29.3 0.75 4.07523510971795 0.821887213847013 0.47875816993464 0.508546830292607 0.0144366676537964 0.0199107618788745 0.000249861848375989 0.996 0.980679546968688 0.004 1
"tree_11" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_12" 63.8 61.2 208.4 29.3 0.75 4.07523510971795 0.821887213847013 0.47875816993464 0.508546830292607 0.0144366676537964 0.0199107618788745 0.000249861848375989 0.996 0.980679546968688 0.004 1
"tree_13" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_14" 63.8 61.2 208.4 29.3 0.75 4.07523510971795 0.821887213847013 0.47875816993464 0.508546830292607 0.0144366676537964 0.0199107618788745 0.000249861848375989 0.996 0.980679546968688 0.004 1
"tree_15" 63.8 81.1 208.4 29.3 0.5 -27.1159874608149 0.710776102735902 0.361282367447596 0.961960350563589 0.0560295569036126 0.073458126298343 0.0287171037502125 0.954 0.848101265822785 0.046 1
"tree_16" 63.8 48.8 208.4 29.3 0.625 23.5109717868339 0.891122278056951 0.600409836065574 0.823344314755274 0.00528326006112432 0.00602154596209889 1.6804946085248e-07 1 1 0 1
"tree_17" 63.8 59.6 208.4 29.3 0.625 6.58307210031359 0.830820770519263 0.491610738255034 0.823344314755274 0.0127696010869357 0.0174464689327274 0.000130467571897845 0.996 0.991339107261826 0.004 1
"tree_18" 63.8 59.2 208.4 29.3 0.625 7.2100313479625 0.833054159687326 0.494932432432432 0.823344314755274 0.0123798364859111 0.0168654141272415 0.000109814455834664 0.999 0.99400399733511 0.001 1
"tree_19" 63.8 70.3 208.4 29.3 0.5 -10.1880877742946 0.77107761027359 0.41678520625889 0.961960350563589 0.027901259563412 0.0386869962495636 0.00396908354162413 0.977 0.920053297801466 0.024 1
"tree_20" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_21" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_22" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_23" 63.8 82.7 208.4 29.3 0.625 -29.6238244514106 0.701842546063651 0.354292623941959 0.823344314755274 0.0616499348956258 0.0799218470223093 0.0356637985109839 0.932 0.837441705529647 0.069 1
"tree_24" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_25" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_26" 63.8 82.7 208.4 29.3 0.5 -29.6238244514106 0.701842546063651 0.354292623941959 0.961960350563589 0.0616499348956258 0.0799218470223093 0.0356637985109839 0.932 0.837441705529647 0.069 1
"tree_27" 63.8 57.9 208.4 29.3 0.5 9.2476489028214 0.840312674483529 0.506044905008636 0.961960350563589 0.0111834171635264 0.0150703009071204 6.08832162768068e-05 1 1 0 1
"tree_28" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_29" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_30" 63.8 68.3 208.4 29.3 0.5 -7.05329153605001 0.782244556113903 0.428989751098097 0.961960350563589 0.024276568386572 0.0338102885528182 0.00241346608566263 0.99 0.933377748167888 0.01 1
"tree_31" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_32" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_33" 63.8 57.9 208.4 29.3 0.375 9.2476489028214 0.840312674483529 0.506044905008636 0.995598601071896 0.0111834171635264 0.0150703009071204 6.08832162768068e-05 1 1 0 1
"tree_34" 63.8 82.7 208.4 29.3 0.625 -29.6238244514106 0.701842546063651 0.354292623941959 0.823344314755274 0.0616499348956258 0.0799218470223093 0.0356637985109839 0.932 0.837441705529647 0.069 1
"tree_35" 63.8 57.9 208.4 29.3 0.5 9.2476489028214 0.840312674483529 0.506044905008636 0.961960350563589 0.0111834171635264 0.0150703009071204 6.08832162768068e-05 1 1 0 1
"tree_36" 63.8 70.3 208.4 29.3 0.375 -10.1880877742946 0.77107761027359 0.41678520625889 0.995598601071896 0.027901259563412 0.0386869962495636 0.00396908354162413 0.977 0.920053297801466 0.024 1
"tree_37" 63.8 68.3 208.4 29.3 0.5 -7.05329153605001 0.782244556113903 0.428989751098097 0.961960350563589 0.024276568386572 0.0338102885528182 0.00241346608566263 0.99 0.933377748167888 0.01 1
"tree_38" 63.8 82.7 208.4 29.3 0.625 -29.6238244514106 0.701842546063651 0.354292623941959 0.823344314755274 0.0616499348956258 0.0799218470223093 0.0356637985109839 0.932 0.837441705529647 0.069 1
"tree_39" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_40" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_41" 63.8 58.3 208.4 29.3 0.5 8.6206896551725 0.838079285315466 0.502572898799314 0.961960350563589 0.0115403598565158 0.0156076628541854 7.33659866969266e-05 1 1 0.001 1
"tree_42" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_43" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_44" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
"tree_45" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_46" 63.8 47.5 208.4 29.3 0.5 25.5485893416928 0.898380792853155 0.616842105263158 0.961960350563589 0.00472040399500505 0.00515811834226618 5.04600622955005e-08 1 1 0 1
"tree_47" 63.8 59.9 208.4 29.3 0.625 6.11285266457685 0.829145728643216 0.48914858096828 0.823344314755274 0.0130688497716812 0.0178913243898613 0.000148071016528243 0.996 0.989340439706862 0.004 1
