"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.5 -148.0810914191 0.871870576786978 0.404481677545356 0.00162436002179291 0.00186451482241132 0.000367911703549674 2.17820412656268e-11 1 1 389.14 0 1
"tree_2" 0.555555555555556 -147.124824684432 0.872699929228592 0.406046847590548 0.000158791080130419 0.00185677758626974 0.000356289205365752 1.72132847070273e-11 1 1 387.64 0 1
"tree_3" 0.5 -155.41246971822 0.86551220806794 0.392871405750799 0.00162436002179291 0.00192481417065303 0.000468106025770413 1.20868436205757e-10 1 1 400.64 0 1
"tree_4" 0.555555555555556 -139.793446385312 0.879058297947629 0.41846121125113 0.000158791080130419 0.00179842169195246 0.000277025186859007 2.56364881998378e-12 1 1 376.14 0 1
"tree_5" 0.5 -168.927706234859 0.853790693559802 0.373127252038688 0.00162436002179291 0.00204063800150706 0.000713356969131435 1.95341008812984e-09 1 1 421.84 0 1
"tree_6" 0.611111111111111 -157.325003187556 0.863853503184713 0.389951441878902 9.94145926353992e-06 0.00194083313343669 0.000497725233250138 1.84315925937803e-10 1 1 403.64 0 1
"tree_7" 0.5 -143.937268902206 0.875464437367304 0.411352707505749 0.00162436002179291 0.00183119713665119 0.000319755447342175 7.68972198448917e-12 1 1 382.64 0 1
"tree_8" 0.611111111111111 -138.773428534999 0.879942940552017 0.420248838575319 9.94145926353992e-06 0.00179043615783927 0.000267280136083533 1.9382442658365e-12 1 1 374.54 0 1
"tree_9" 0.5 -184.992987377279 0.839857572540693 0.352093772369363 0.00162436002179291 0.00218652267324371 0.00113733907070655 3.15607718957844e-08 1 1 447.04 0 1
"tree_10" 0.611111111111111 -146.10480683412 0.873584571832979 0.407729768935861 9.94145926353992e-06 0.00184855671595738 0.000344234444303213 1.33484501315858e-11 1 1 386.04 0 1
"tree_11" 0.555555555555556 -130.485783501211 0.887130661712668 0.435359849532555 0.000158791080130419 0.00172673975636779 0.000198270423058401 1.72525418734217e-13 1 1 361.54 0 1
"tree_12" 0.444444444444444 -339.206936121382 0.706110668789809 0.228466920196243 0.0111324907925895 0.00414810400241055 0.0282689876658157 0.00783353779543741 0.994 0.880904337746452 688.94 0.00600000000000001 1
"tree_13" 0.388888888888889 -198.380721662629 0.828246638358103 0.336296043073242 0.0526016844612092 0.00231524522947742 0.00163584191714818 2.25367058399805e-07 1 1 468.04 0 1
"tree_14" 0.555555555555556 -152.288665051638 0.868221426043878 0.397735887198666 0.000158791080130419 0.00189890802222567 0.000422921851526619 5.93655497680754e-11 1 1 395.74 0 1
"tree_15" 0.5 -148.0810914191 0.871870576786978 0.404481677545356 0.00162436002179291 0.00186451482241132 0.000367911703549674 2.17820412656268e-11 1 1 389.14 0 1
"tree_16" 0.5 -348.387096774194 0.698148885350318 0.223789347968266 0.00162436002179291 0.00430376260266818 0.0325148623921996 0.0108857179022993 0.993 0.870258835785096 703.34 0.00700000000000001 1
"tree_17" 0.444444444444444 -155.539971949509 0.865401627742392 0.392675381698433 0.0111324907925895 0.0019258783528171 0.000470033332645407 1.24355262432995e-10 1 1 400.84 0 1
"tree_18" 0.555555555555556 -164.656381486676 0.857495134465676 0.379149202678614 0.000158791080130419 0.00200336722411603 0.000626320212027671 8.50787058785301e-10 1 1 415.14 0 1
"tree_19" 0.388888888888889 -155.539971949509 0.865401627742392 0.392675381698433 0.0526016844612092 0.0019258783528171 0.000470033332645407 1.24355262432995e-10 1 1 400.84 0 1
"tree_20" 0.5 -147.252326915721 0.872589348903043 0.405837458745875 0.00162436002179291 0.00185780752856951 0.000357820756530967 1.7765075672446e-11 1 1 387.84 0 1
"tree_21" 0.555555555555556 -141.132219813847 0.87789720452937 0.416137901861252 0.000158791080130419 0.00180895186666322 0.000290268770849023 3.67969099594083e-12 1 1 378.24 0 1
"tree_22" 0.5 -161.596327935739 0.860149062278839 0.383584344689769 0.00162436002179291 0.00197704692140812 0.000569612529059162 4.56766655120861e-10 1 1 410.34 0 1
"tree_23" 0.444444444444444 -195.065663649114 0.831121726822364 0.340074323740385 0.0111324907925895 0.00228274729999193 0.00149803083724822 1.42207891459191e-07 1 1 462.84 0 1
"tree_24" 0.5 -155.41246971822 0.86551220806794 0.392871405750799 0.00162436002179291 0.00192481417065303 0.000468106025770413 1.20868436205757e-10 1 1 400.64 0 1
"tree_25" 0.444444444444444 -143.108504398827 0.876183209483369 0.412755021765354 0.0111324907925895 0.001824598919276 0.000310792083657944 6.20220337302318e-12 1 1 381.34 0 1
"tree_26" 0.611111111111111 -175.685324493179 0.847929936305732 0.363981130330219 9.94145926353992e-06 0.00210089058008314 0.000871723898497145 6.70282813155995e-09 1 1 432.44 0 1
"tree_27" 0.444444444444444 -201.568277444855 0.825482130219391 0.332741417216303 0.0111324907925895 0.00234688773364964 0.00177818127223734 3.45612455309444e-07 1 1 473.04 0 1
"tree_28" 0.5 -154.583705214841 0.866230980184006 0.394150348074323 0.00162436002179291 0.00191790999876174 0.000455739992639147 1.00358467457282e-10 1 1 399.34 0 1
"tree_29" 0.666666666666667 -135.522121637129 0.882762738853503 0.426050238198354 3.71932530267214e-07 0.00176519705295879 0.000238123318849698 7.74729076156308e-13 1 1 369.44 0 1
