"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 44.05 114.3 255.7 71 0.666666666666667 -159.477866061294 0.765565782349756 0.621172353455818 0.445880081920522 0.0113991906966887 0.0141542709009305 0.0165366110151829 0.959 0.702814001372684 0.046 1
"tree_2" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_3" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_4" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_5" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_6" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_7" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_8" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_9" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_10" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_11" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_12" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_13" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_14" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_15" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_16" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_17" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_18" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_19" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_20" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_21" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_22" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_23" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_24" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_25" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_26" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_27" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_28" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_29" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_30" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_31" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_32" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_33" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_34" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_35" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_36" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_37" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_38" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_39" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_40" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_41" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_42" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_43" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_44" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_45" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_46" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_47" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_48" 44.05 142.3 255.7 71 0.5 -223.041997729852 0.613968597726042 0.498945888966971 0.804959191379011 0.0814548704133856 0.0948834402206777 0.166004287717314 0.908 0.510638297872341 0.1 1
"tree_49" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_50" 44.05 187.7 255.7 71 0.666666666666667 -326.106696935301 0.36816459122902 0.378263185935003 0.445880081920522 0.513500609454864 0.50644795857106 0.570121900403854 0.637 0.199039121482499 0.41 1
"tree_51" 44.05 182.5 255.7 71 0.5 -314.301929625425 0.39631835408771 0.389041095890411 0.804959191379011 0.448342798578815 0.444854094225305 0.528875808394527 0.686 0.234728894989705 0.323 1
