"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 105.9 78.4999999999999 123.7 14.4 0.833333333333333 25.8734655335223 0.413540713632205 0.18343949044586 0.34631811625869 0.253882917888945 0.258490888068865 0.312505235610649 0.766 0.527421236872812 0.246 1
"tree_2" 105.9 81.8 123.7 14.4 0.666666666666667 22.7573182247404 0.383348581884721 0.176039119804401 0.878961509167897 0.319286882164772 0.311286924016904 0.386552505785746 0.68 0.488914819136523 0.323 1
"tree_3" 105.9 111.6 123.7 14.4 0.833333333333333 -5.38243626062316 0.110704483074108 0.129032258064516 0.34631811625869 0.897919080859551 0.878428472568758 0.858830442350472 0.122 0.141190198366394 0.883 1
"tree_4" 105.9 104.4 123.7 14.4 0.75 1.41643059490091 0.176578225068618 0.137931034482758 0.667186762457796 0.802200361237595 0.754847916749913 0.788992609883472 0.176 0.225204200700116 0.824 1
"tree_5" 105.9 100.3 123.7 14.4 0.833333333333333 5.28800755429658 0.214089661482159 0.143569292123629 0.34631811625869 0.729129669521395 0.673855914888479 0.737061995059867 0.323 0.273045507584597 0.685 1
"tree_6" 105.9 85.9 123.7 14.4 0.75 18.8857412653447 0.34583714547118 0.167636786961583 0.667186762457796 0.408902208036618 0.383886914749493 0.477405705741551 0.611 0.441073512252042 0.389 1
"tree_7" 105.9 93.1 123.7 14.4 0.75 12.0868744098206 0.279963403476669 0.154672395273899 0.667186762457796 0.575308816120627 0.525520686307838 0.621757905447163 0.434 0.35705950991832 0.569 1
"tree_8" 105.9 93.1 123.7 14.4 0.75 12.0868744098206 0.279963403476669 0.154672395273899 0.667186762457796 0.575308816120627 0.525520686307838 0.621757905447163 0.434 0.35705950991832 0.569 1
"tree_9" 105.9 81.8 123.7 14.4 0.666666666666667 22.7573182247404 0.383348581884721 0.176039119804401 0.878961509167897 0.319286882164772 0.311286924016904 0.386552505785746 0.68 0.488914819136523 0.323 1
"tree_10" 105.9 81.8 123.7 14.4 0.666666666666667 22.7573182247404 0.383348581884721 0.176039119804401 0.878961509167897 0.319286882164772 0.311286924016904 0.386552505785746 0.68 0.488914819136523 0.323 1
"tree_11" 105.9 81.8 123.7 14.4 0.666666666666667 22.7573182247404 0.383348581884721 0.176039119804401 0.878961509167897 0.319286882164772 0.311286924016904 0.386552505785746 0.68 0.488914819136523 0.323 1
"tree_12" 105.9 85.9 123.7 14.4 0.75 18.8857412653447 0.34583714547118 0.167636786961583 0.667186762457796 0.408902208036618 0.383886914749493 0.477405705741551 0.611 0.441073512252042 0.389 1
"tree_13" 105.9 78.7 123.7 14.4 0.75 25.6846081208688 0.41171088746569 0.182973316391359 0.667186762457796 0.257637460945669 0.261536206365295 0.31695562059397 0.751 0.525087514585764 0.257 1
