"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.5 -211.086316654117 0.941256828750581 0.618308080252428 0.0799189642769085 0.071466260789037 0.019357923861448 0.00265758854926507 0.974 0.965759468634509 45.4466 0.026 1
"tree_2" 0.416666666666667 -226.193442398521 0.933782961886327 0.589672133899642 0.272778895227115 0.0723933178994296 0.0231109292175012 0.00484983395983011 0.957 0.957312471948415 47.6536 0.043 1
"tree_3" 0.333333333333333 -418.869190225204 0.838461528041732 0.370704576156704 0.587218928323562 0.0850387280294231 0.103771049843472 0.142257627066273 0.897 0.849579774748519 75.8016 0.103 1
"tree_4" 0.5 -208.471490177288 0.942550447754724 0.623549304775811 0.0799189642769085 0.0713067295731696 0.0187439393385438 0.00236882252262221 0.976 0.967221522433371 45.0646 0.024 1
"tree_5" 0.5 -227.678828119652 0.933048105017481 0.58699911845684 0.0799189642769085 0.0724849646427252 0.0234990658795608 0.00511848519789214 0.957 0.956481933533879 47.8706 0.043 1
"tree_6" 0.5 -224.940789924019 0.93440267989093 0.591945330372905 0.0799189642769085 0.0723160995808102 0.0227862868728669 0.00463113707516354 0.957 0.958012879920121 47.4706 0.043 1
"tree_7" 0.5 -378.791156136628 0.858289117751839 0.401735037871748 0.0799189642769085 0.0822805819485028 0.0818798616832677 0.0987084653484919 0.907 0.871989002477146 69.9466 0.093 1
"tree_8" 0.333333333333333 -241.622287630912 0.926149932474443 0.56304049884186 0.587218928323562 0.0733495994552466 0.0273119554601578 0.00816592645175249 0.944 0.948685589061938 49.9076 0.056 1
"tree_9" 0.416666666666667 -240.047915668424 0.926928813026676 0.565647293750101 0.272778895227115 0.0732515792569329 0.0268660086668154 0.00777195609627871 0.946 0.949565883234027 49.6776 0.054 1
"tree_10" 0.416666666666667 -237.309877472791 0.928283387900124 0.570238810331672 0.272778895227115 0.0730813480772931 0.0260998427641912 0.00711796117838981 0.947 0.95109682962027 49.2776 0.053 1
"tree_11" 0.416666666666667 -234.695050995961 0.929577006904268 0.574693837482309 0.272778895227115 0.0729190600714011 0.0253792575230247 0.0065295812333644 0.95 0.952558883419132 48.8956 0.05 1
"tree_12" 0.5 -227.678828119652 0.933048105017481 0.58699911845684 0.0799189642769085 0.0724849646427252 0.0234990658795608 0.00511848519789214 0.957 0.956481933533879 47.8706 0.043 1
"tree_13" 0.416666666666667 -231.86802655897 0.930975605461104 0.579589378457426 0.272778895227115 0.0727439126063327 0.0246123563610162 0.00593218658407851 0.954 0.954139585562927 48.4826 0.046 1
"tree_14" 0.333333333333333 -406.58908891779 0.84453679634915 0.379690734465109 0.587218928323562 0.0841863532852381 0.0967815826985313 0.128415753198376 0.901 0.856446069290817 74.0076 0.099 1
"tree_15" 0.416666666666667 -405.014716955302 0.845315676901383 0.38087441174557 0.272778895227115 0.0840775399131417 0.0959033973316281 0.126669290308956 0.901 0.857326363462907 73.7776 0.099 1
"tree_16" 0.416666666666667 -225.029776165378 0.934358656207543 0.591783268328433 0.272778895227115 0.0723215829517595 0.0228092680792913 0.00464643819503488 0.957 0.957963124162568 47.4836 0.043 1
"tree_17" 0.5 -215.31658566637 0.939164010571102 0.610012894934505 0.0799189642769085 0.0717249303653086 0.0203733485015257 0.00317809838194366 0.968 0.963394156467764 46.0646 0.032 1
"tree_18" 0.5 -215.398726812239 0.939123373324899 0.609854025687659 0.0799189642769085 0.0717299601740566 0.0203933371130732 0.00318888424436817 0.967 0.963348228076177 46.0766 0.033 1
"tree_19" 0.416666666666667 -244.237114107742 0.924856313470299 0.558763640991378 0.272778895227115 0.0735126198677411 0.0280613542589979 0.00884974853948058 0.944 0.947223535263076 50.2896 0.056 1
"tree_20" 0.5 -205.740297077144 0.94390163619099 0.629119501361227 0.0799189642769085 0.0711403908349358 0.0181137242943967 0.00209258764632201 0.978 0.968748641453648 44.6656 0.022 1
"tree_21" 0.25 -244.360325826545 0.924795357600994 0.558563716019051 0.864255501675696 0.0735203082874544 0.0280969358592932 0.00888288924944768 0.944 0.947154642675695 50.3076 0.056 1
"tree_22" 0.416666666666667 -411.941953590253 0.841888602471557 0.375720688437965 0.272778895227115 0.0845571094699235 0.0997979002106612 0.13440318299166 0.9 0.853453069105713 74.7896 0.1 1
