"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.4 -509.259259259259 0.678585013313047 0.486322188449848 0.216103869528615 0.0680852721529122 0.0230137639064143 0.00247267595701578 0.977 0.934012878404634 164.5 0.023 1
"tree_2" 0.8 -206.666666666667 0.98934956257132 0.966183574879227 0.00486464452245304 0.0514230923490865 3.20621581149792e-05 3.97711065037072e-31 1 1 82.8 0 1
"tree_3" 0.4 -297.037037037037 0.896538607835679 0.746268656716418 0.216103869528615 0.0560191846458384 0.000971632550791381 1.30734885804894e-11 1 1 107.2 0 1
"tree_4" 0.6 -222.962962962963 0.97261316089768 0.91743119266055 0.0501538000430697 0.052228969300869 9.0172775019307e-05 5.68444900201052e-24 1 1 87.2 0 1
"tree_5" 0.6 -217.037037037037 0.97869912514264 0.934579439252337 0.0501538000430697 0.0519347704163318 6.55526163095282e-05 4.52936546322868e-26 1 1 85.6 0 1
"tree_6" 0.6 -418.888888888889 0.771395968048688 0.571020699500357 0.0501538000430697 0.0627222528800673 0.00790879987105176 2.92920857560246e-05 1 1 140.1 0 1
"tree_7" 0.4 -429.259259259259 0.760745530620008 0.559832050384884 0.216103869528615 0.0633204271642694 0.00907199675403595 5.71697535876039e-05 1 1 142.9 0 1
"tree_8" 0.4 -429.259259259259 0.760745530620008 0.559832050384884 0.216103869528615 0.0633204271642694 0.00907199675403595 5.71697535876039e-05 1 1 142.9 0 1
"tree_9" 1 -196.296296296296 1 1 2.54780330446553e-06 0.0509154318699804 5.13185613036727e-06 6.68226006101097e-46 1 1 80 0 1
"tree_10" 0.4 -429.259259259259 0.760745530620008 0.559832050384884 0.216103869528615 0.0633204271642694 0.00907199675403595 5.71697535876039e-05 1 1 142.9 0 1
"tree_11" 0.6 -418.888888888889 0.771395968048688 0.571020699500357 0.0501538000430697 0.0627222528800673 0.00790879987105176 2.92920857560246e-05 1 1 140.1 0 1
"tree_12" 0.6 -217.037037037037 0.97869912514264 0.934579439252337 0.0501538000430697 0.0519347704163318 6.55526163095282e-05 4.52936546322868e-26 1 1 85.6 0 1
