"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.617647058823529 -93.1618904601009 0.771317259629521 0.328174972520175 1.07599108095884e-09 1.44826316945008e-06 7.63602161414166e-08 1.04090995642292e-18 1 1 463.067 0 1
"tree_2" 0.617647058823529 -74.2030617778333 0.804726551014407 0.363890837777198 1.07599108095884e-09 9.48742012489757e-07 2.22991110881644e-09 9.47813781330236e-26 1 1 417.617 0 1
"tree_3" 0.588235294117647 -79.9595378133733 0.794582475742429 0.352250838515867 2.54163471372724e-08 1.07957397663632e-06 6.93374291226995e-09 2.42344559553152e-23 1 1 431.417 0 1
"tree_4" 0.529411764705882 -95.7481333166478 0.766759776536313 0.323839093735549 5.70598071996197e-06 1.53343894423415e-06 1.18500946947023e-07 6.33048091472185e-18 1 1 469.267 0 1
"tree_5" 0.5 -108.783631585534 0.743788591590709 0.303620056861205 5.61610459982985e-05 2.04119932130239e-06 9.45997478497373e-07 1.78067881679344e-14 1 1 500.517 0 1
"tree_6" 0.558823529411765 -91.4307762899928 0.774367832990297 0.331142668499968 4.40328134025841e-07 1.39380678361695e-06 5.65968992511059e-08 2.96389624246958e-19 1 1 458.917 0 1
"tree_7" 0.558823529411765 -97.9380970258206 0.762900617465451 0.320256176280302 4.40328134025841e-07 1.60930192417536e-06 1.7066744619643e-07 2.73888274132413e-17 1 1 474.517 0 1
"tree_8" 0.647058823529412 -73.5147874692362 0.805939429579535 0.365334269305017 3.2583870797409e-11 9.34159180934889e-07 1.93952261562212e-09 4.68381083274851e-26 1 1 415.967 0 1
"tree_9" 0.647058823529412 -61.980978600926 0.826264334019406 0.391347790593767 3.2583870797409e-11 7.19582365659331e-07 1.63838296125909e-10 7.40781840540134e-32 1 1 388.317 0 1
"tree_10" 0.5 -130.307846327118 0.705858571008527 0.27524419642938 5.61610459982985e-05 3.2493393633058e-06 1.86361941569641e-05 3.16345429230746e-10 1 1 552.117 0 1
"tree_11" 0.617647058823529 -69.4268552121136 0.813143193178477 0.374149056915013 1.07599108095884e-09 8.51884892164356e-07 8.31872595109445e-10 5.82279793945349e-28 1 1 406.167 0 1
"tree_12" 0.558823529411765 -90.9927835481583 0.775139664804469 0.331902058894832 4.40328134025841e-07 1.38034331977537e-06 5.24302258014736e-08 2.1433984456522e-19 1 1 457.867 0 1
"tree_13" 0.588235294117647 -72.0339548658907 0.808548956189356 0.368478990924234 2.54163471372724e-08 9.03510621131941e-07 1.43241018076813e-09 9.95204178659331e-27 1 1 412.417 0 1
"tree_14" 0.558823529411765 -71.7002461102072 0.809137018523963 0.369195149860186 4.40328134025841e-07 8.96738537506144e-07 1.33710199945668e-09 6.97617147070883e-27 1 1 411.617 0 1
"tree_15" 0.558823529411765 -95.8524173027989 0.766576007056748 0.323666661697021 4.40328134025841e-07 1.53697232095667e-06 1.20595642054529e-07 6.79665469212946e-18 1 1 469.517 0 1
"tree_16" 0.588235294117647 -93.1618904601009 0.771317259629521 0.328174972520175 2.54163471372724e-08 1.44826316945008e-06 7.63602161414166e-08 1.04090995642292e-18 1 1 463.067 0 1
"tree_17" 0.617647058823529 -65.0886413882284 0.820788003528374 0.383980978707169 1.07599108095884e-09 7.72203637801383e-07 3.27189161436145e-10 3.68935652255625e-30 1 1 395.767 0 1
"tree_18" 0.588235294117647 -97.687815459058 0.763341664216407 0.320661634843232 2.54163471372724e-08 1.60045302151046e-06 1.63753264090809e-07 2.32337861184432e-17 1 1 473.917 0 1
"tree_19" 0.617647058823529 -98.0215242147415 0.7627536018818 0.32012125118755 1.07599108095884e-09 1.61226197234552e-06 1.7303315285209e-07 2.8928160389117e-17 1 1 474.717 0 1
"tree_20" 0.588235294117647 -82.6292078588411 0.789877977065569 0.34710164292387 2.54163471372724e-08 1.14597410054043e-06 1.15138641086813e-08 2.59909275169458e-22 1 1 437.817 0 1
"tree_21" 0.5 -93.1201768656404 0.771390767421347 0.328245857696121 5.61610459982985e-05 1.44692728962064e-06 7.58149663418234e-08 1.01033820257937e-18 1 1 462.967 0 1
"tree_22" 0.617647058823529 -97.2498227172235 0.764113496030579 0.321373663207625 1.07599108095884e-09 1.5850796225376e-06 1.522891083232e-07 1.73904020408573e-17 1 1 472.867 0 1
"tree_23" 0.588235294117647 -84.923455554165 0.785835048515143 0.342795336068772 2.54163471372724e-08 1.20615403553059e-06 1.76402728609474e-08 1.82014661597666e-21 1 1 443.317 0 1
"tree_24" 0.588235294117647 -101.588036541109 0.756468685680682 0.314457639358781 2.54163471372724e-08 1.74380323853907e-06 3.08954909880483e-07 2.78261310250102e-16 1 1 483.267 0 1
"tree_25" 0.558823529411765 -89.3033829725106 0.77811673037342 0.334864053131549 4.40328134025841e-07 1.32957248145888e-06 3.89340945096757e-08 5.99179183854166e-20 1 1 453.817 0 1
"tree_26" 0.588235294117647 -93.4121720268635 0.770876212878565 0.327750303558373 2.54163471372724e-08 1.45630333317608e-06 7.97108756890065e-08 1.24419257331237e-18 1 1 463.667 0 1
"tree_27" 0.558823529411765 -102.026029282943 0.75569685386651 0.313775894713586 4.40328134025841e-07 1.7606497308616e-06 3.31364321854539e-07 3.63903934508829e-16 1 1 484.317 0 1
"tree_28" 0.529411764705882 -120.359154048304 0.723390179359012 0.287670817976516 5.70598071996197e-06 2.62401189029066e-06 5.01365698316368e-06 5.32036751341073e-12 1 1 528.267 0 1
"tree_29" 0.617647058823529 -67.9251658115379 0.815789473684211 0.377494926310403 1.07599108095884e-09 8.23447946915663e-07 6.04756032407774e-10 1.06092947038671e-28 1 1 402.567 0 1
"tree_30" 0.617647058823529 -73.9527802110707 0.805167597765363 0.364414400372167 1.07599108095884e-09 9.43414037365534e-07 2.11980805054724e-09 7.34307167979181e-26 1 1 417.017 0 1
"tree_31" 0.617647058823529 -101.921745296792 0.755880623346075 0.313937946606565 1.07599108095884e-09 1.75662456388948e-06 3.25893026883567e-07 3.41445775203046e-16 1 1 484.067 0 1
"tree_32" 0.588235294117647 -69.3642848204229 0.813253454866216 0.374287283537389 2.54163471372724e-08 8.50681404589121e-07 8.20964512551698e-10 5.42949450266051e-28 1 1 406.017 0 1
