"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.580645161290323 -55.9936189608022 0.76529795855163 0.169649379108839 1.20650163137768e-06 1.23271935608532e-05 3.58831809576652e-06 3.24510074302168e-15 1 1 547.6 0 1
"tree_2" 0.548387096774194 -75.977096627165 0.729088703641572 0.150384459732902 1.38705062021961e-05 1.79126540584176e-05 3.40386763877338e-05 7.8178338467992e-11 1 1 617.75 0 1
"tree_3" 0.516129032258065 -54.2844120328168 0.768394972514001 0.171528803545052 0.000121050604396418 1.19355749229212e-05 2.91042028908294e-06 1.12590051206804e-15 1 1 541.6 0 1
"tree_4" 0.548387096774194 -97.9404056517775 0.689292074225101 0.133697920414478 1.38705062021961e-05 2.67960571384631e-05 0.000278996758292474 1.44797661237553e-07 1 1 694.85 0 1
"tree_5" 0.516129032258065 -26.7092069279854 0.818360131106924 0.208857913669065 0.000121050604396418 7.04039420356921e-06 6.37742440447348e-08 7.06422809499515e-26 1 1 444.8 0 1
"tree_6" 0.548387096774194 -57.7028258887876 0.762200944589258 0.167810693641618 1.38705062021961e-05 1.27310166460297e-05 4.41157306500353e-06 9.02882065803335e-15 1 1 553.6 0 1
"tree_7" 0.548387096774194 -79.1248860528714 0.723385036260872 0.147741730279898 1.38705062021961e-05 1.89867574010358e-05 4.70463984303725e-05 2.78519738659846e-10 1 1 628.8 0 1
"tree_8" 0.548387096774194 -36.2665223336372 0.801042661367332 0.194209261001359 1.38705062021961e-05 8.46644093148068e-06 2.65501760060589e-07 1.22039112458743e-21 1 1 478.35 0 1
"tree_9" 0.612903225806452 -50.4956700091158 0.775260020130591 0.175847056596631 7.81087719097262e-08 1.11092641354433e-05 1.81081130119603e-06 9.4304065923144e-17 1 1 528.3 0 1
"tree_10" 0.580645161290323 -46.47903372835 0.782538002942163 0.180669000388954 1.20650163137768e-06 1.02928340815672e-05 1.07737311438648e-06 5.47709893788115e-18 1 1 514.2 0 1
"tree_11" 0.548387096774194 -57.7740428441203 0.762071902340826 0.167734946285095 1.38705062021961e-05 1.27481127187532e-05 4.44943285429902e-06 9.41508725145373e-15 1 1 553.85 0 1
"tree_12" 0.548387096774194 -63.4856426618049 0.751722714016569 0.16187489109601 1.38705062021961e-05 1.41926281632665e-05 8.69424947569352e-06 2.25651283640523e-13 1 1 573.9 0 1
"tree_13" 0.548387096774194 -68.5990200546946 0.742457480579142 0.156965447326181 1.38705062021961e-05 1.56166853550019e-05 1.54469980079784e-05 2.92385439514202e-12 1 1 591.85 0 1
"tree_14" 0.580645161290323 -45.3110756608933 0.78465429581645 0.182121152715154 1.20650163137768e-06 1.00663656480026e-05 9.2339834304865e-07 2.28850516143946e-18 1 1 510.1 0 1
"tree_15" 0.516129032258065 -105.817000911577 0.675020001548507 0.128581314878893 0.000121050604396418 3.08969605753122e-05 0.000546580487605216 1.13461447021986e-06 1 1 722.5 0 1
"tree_16" 0.548387096774194 -50.7235642661805 0.774847084935608 0.175581175581176 1.38705062021961e-05 1.11573875330379e-05 1.86400983487565e-06 1.10068877930661e-16 1 1 529.1 0 1
"tree_17" 0.548387096774194 -53.0309936189608 0.770666116086407 0.172933730454207 1.38705062021961e-05 1.16559422204976e-05 2.49157147552464e-06 5.06122340086862e-16 1 1 537.2 0 1
"tree_18" 0.580645161290323 -64.140838650866 0.750535525330993 0.161228740020826 1.20650163137768e-06 1.43679464666423e-05 9.370788270588e-06 3.17794150023551e-13 1 1 576.2 0 1
"tree_19" 0.516129032258065 -57.1473336371923 0.763207474127029 0.168403879271277 0.000121050604396418 1.25984137214943e-05 4.1264254657709e-06 6.49894877657482e-15 1 1 551.65 0 1
"tree_20" 0.548387096774194 -43.1318368277119 0.788602988618474 0.184894019305404 1.38705062021961e-05 9.65643519515328e-06 6.89730768281224e-07 4.23911214119371e-19 1 1 502.45 0 1
"tree_21" 0.548387096774194 -89.5225615314494 0.70454486798978 0.139636254321359 1.38705062021961e-05 2.29858938651242e-05 0.000129845348882624 1.14267258206807e-08 1 1 665.3 0 1
"tree_22" 0.580645161290323 -46.0517319963537 0.783312256432756 0.181197581431636 1.20650163137768e-06 1.02094227561234e-05 1.01844358763759e-06 3.98984072849794e-18 1 1 512.7 0 1
"tree_23" 0.483870967741935 -44.0719006381039 0.786899630939169 0.183687592684132 0.000814190158899328 9.83127914900754e-06 7.82742888206535e-07 8.85633103982936e-19 1 1 505.75 0 1
"tree_24" 0.645161290322581 -79.0963992707383 0.723436653160245 0.147765229839351 3.66847361270969e-09 1.89767684649665e-05 4.69104483022289e-05 2.75425730422316e-10 1 1 628.7 0 1
"tree_25" 0.580645161290323 -58.2155879671832 0.761271840400547 0.16726683471372 1.20650163137768e-06 1.28545967502978e-05 4.69101862392757e-06 1.21914522323861e-14 1 1 555.4 0 1
"tree_26" 0.580645161290323 -85.2495442114859 0.712287402895708 0.142857142857143 1.20650163137768e-06 2.12542504929048e-05 8.63906564188571e-05 2.70084784090224e-09 1 1 650.3 0 1
"tree_27" 0.516129032258065 -45.3110756608933 0.78465429581645 0.182121152715154 0.000121050604396418 1.00663656480026e-05 9.2339834304865e-07 2.28850516143946e-18 1 1 510.1 0 1
"tree_28" 0.580645161290323 -83.4833637192342 0.715487650656825 0.144232262071107 1.20650163137768e-06 2.05752886338484e-05 7.27141845928118e-05 1.43932044351185e-09 1 1 644.1 0 1
"tree_29" 0.548387096774194 -86.9872379216044 0.709138772033964 0.141529555149299 1.38705062021961e-05 2.19429673985522e-05 0.000102123973496601 4.92107983018729e-09 1 1 656.4 0 1
"tree_30" 0.516129032258065 -70.7497721057429 0.738560404676491 0.154988321654988 0.000121050604396418 1.62553551070511e-05 1.9538872198162e-05 7.98998399653786e-12 1 1 599.4 0 1
