"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 351.04 1337.6 2030.25 92.9 0.67741935483871 -281.039197812215 0.357524453506078 0.0694527511961723 0.869587869135684 0.680207064069404 0.672143411475965 0.699004114567817 0.323 0.477421984691336 0.677 1
"tree_2" 351.04 1048.1 2030.25 92.9 0.709677419354839 -198.569963536919 0.506955377190492 0.0886365804789619 0.710882034272985 0.0994137186056484 0.103339276017964 0.0979854434561352 0.894 0.739662122378731 0.106 1
"tree_3" 351.04 1036.55 2030.25 92.9 0.709677419354839 -195.279740200547 0.512917129068057 0.0896242342385799 0.710882034272985 0.0877335007410514 0.0917541505364692 0.0835738034776189 0.903 0.750124552742425 0.097 1
"tree_4" 351.04 949.45 2030.25 92.9 0.709677419354839 -170.467752962625 0.557875448421813 0.0978461214387277 0.710882034272985 0.0298968338787539 0.0329769715371907 0.0178519946885343 0.967 0.829023053580325 0.033 1
"tree_5" 351.04 673.85 2030.25 92.9 0.67741935483871 -91.9581814038286 0.700131623093401 0.137864509905765 0.869587869135684 0.000191657455058684 0.000226234463140584 6.70959725347095e-08 1 1 0 1
"tree_6" 351.04 576.85 2030.25 92.9 0.67741935483871 -64.3260027347311 0.75020001548507 0.161047065961688 0.869587869135684 1.74614590759093e-05 1.73118008068166e-05 2.09341838354645e-12 1 1 0 1
"tree_7" 351.04 612.35 2030.25 92.9 0.67741935483871 -74.4388103919781 0.731876016207706 0.151710623009717 0.869587869135684 4.3590749176434e-05 4.71714972878872e-05 1.73954893950311e-10 1 1 0 1
"tree_8" 351.04 537.75 2030.25 92.9 0.645161290322581 -53.1876709206928 0.770382223139856 0.172756857275686 0.953344258031021 6.05722630893321e-06 5.22948528042987e-06 5.33964389598901e-15 1 1 0 1
"tree_9" 351.04 542.95 2030.25 92.9 0.67741935483871 -54.6689835916135 0.767698144372468 0.171102311446726 0.869587869135684 6.99470673863162e-06 6.16889453463973e-06 1.27648409543921e-14 1 1 0 1
"tree_10" 351.04 528.15 2030.25 92.9 0.709677419354839 -50.4529398359161 0.77533744547965 0.175896998958629 0.710882034272985 4.63245716601356e-06 3.83524167340501e-06 9.96609746485578e-16 1 1 0 1
"tree_11" 351.04 690.95 2030.25 92.9 0.774193548387097 -96.829421148587 0.691305133300643 0.134452565308633 0.25990095019377 0.000282631162410446 0.000337919457057444 2.58949552333383e-07 1 1 0 1
"tree_12" 351.04 635.2 2030.25 92.9 0.67741935483871 -80.9480401093892 0.720081554701009 0.14625314861461 0.869587869135684 7.67393066563828e-05 8.6494223942042e-05 1.98704924127665e-09 1 1 0 1
"tree_13" 351.04 605.1 2030.25 92.9 0.67741935483871 -72.373518687329 0.735618241412238 0.15352834242274 0.869587869135684 3.62917553411511e-05 3.86755907779488e-05 7.54091213617047e-11 1 1 0 1
"tree_14" 351.04 545.35 2030.25 92.9 0.741935483870968 -55.3526663628076 0.766459338787519 0.170349316952416 0.487409470340136 7.47264550477302e-06 6.65339930255879e-06 1.89226400238379e-14 1 1 0 1
"tree_15" 351.04 524.8 2030.25 92.9 0.709677419354839 -49.4986326344576 0.777066611608641 0.177019817073171 0.710882034272985 4.21540401594073e-06 3.43647204645607e-06 5.42646880601313e-16 1 1 0 1
"tree_16" 351.04 559.55 2030.25 92.9 0.741935483870968 -59.3977894257065 0.759129739076574 0.166026271110714 0.487409470340136 1.10030350940236e-05 1.03229830011002e-05 1.74854707808287e-13 1 1 0 1
"tree_17" 351.04 488.55 2030.25 92.9 0.67741935483871 -39.1721741112124 0.7957777376313 0.190154538941766 0.869587869135684 1.48078542044828e-06 9.91239082678478e-07 3.3043885828748e-19 1 1 0 1
"tree_18" 351.04 567.55 2030.25 92.9 0.741935483870968 -61.6767319963537 0.755000387126745 0.163686018852964 0.487409470340136 1.36404121738724e-05 1.31428257167399e-05 5.67585437653769e-13 1 1 0 1
"tree_19" 351.04 514.25 2030.25 92.9 0.645161290322581 -46.4932771194166 0.782512194492477 0.18065143412737 0.953344258031021 3.12381530615581e-06 2.41866190238061e-06 7.39122039579186e-17 1 1 0 1
"tree_20" 351.04 555.05 2030.25 92.9 0.774193548387097 -58.1158842297174 0.761452499548352 0.167372308801009 0.25990095019377 9.74078574438996e-06 8.99490232357802e-06 8.80864267388603e-14 1 1 0 1
"tree_21" 351.04 580.9 2030.25 92.9 0.774193548387097 -65.4797174111212 0.748109531060469 0.159924255465657 0.25990095019377 1.94256660886691e-05 1.94850127040334e-05 3.62108762505246e-12 1 1 0 1
"tree_22" 351.04 495.85 2030.25 92.9 0.709677419354839 -41.251709206928 0.792009703977082 0.18735504688918 0.710882034272985 1.83488066475868e-06 1.28402234363433e-06 1.67372293179616e-18 1 1 0 1
"tree_23" 351.04 563.15 2030.25 92.9 0.67741935483871 -60.4233135824977 0.757271530699151 0.164964929414898 0.869587869135684 1.21234149446221e-05 1.15140894567365e-05 2.98943222393053e-13 1 1 0 1
"tree_24" 351.04 527.05 2030.25 92.9 0.774193548387097 -50.1395852324521 0.775905231372751 0.176264111564368 0.25990095019377 4.49134876747541e-06 3.69978326463174e-06 8.17332428306932e-16 1 1 0 1
"tree_25" 351.04 554.5 2030.25 92.9 0.67741935483871 -57.9592069279854 0.761736392494903 0.167538322813345 0.869587869135684 9.59632592753314e-06 8.84394217139279e-06 8.09096154365233e-14 1 1 0 1
"tree_26" 351.04 646.8 2030.25 92.9 0.67741935483871 -84.2525068368277 0.714093994373758 0.143630179344465 0.869587869135684 0.000101551986945865 0.000116381232583279 6.1526013356487e-09 1 1 0 1
"tree_27" 351.04 616.8 2030.25 92.9 0.774193548387097 -75.7064721969006 0.729579064185614 0.150616083009079 0.25990095019377 4.87359180882216e-05 5.32060426977814e-05 2.86068690429436e-10 1 1 0 1
"tree_28" 351.04 571.85 2030.25 92.9 0.774193548387097 -62.9016636280766 0.752780860453713 0.162455189297893 0.25990095019377 1.52961214663604e-05 1.49386956728039e-05 1.04641575690734e-12 1 1 0 1
"tree_29" 351.04 653.05 2030.25 92.9 0.806451612903226 -86.0329307201458 0.710867938162955 0.14225557001761 0.0989275620240548 0.000117869487836722 0.000136157417534383 1.10065351406937e-08 1 1 0 1
"tree_30" 351.04 561.75 2030.25 92.9 0.67741935483871 -60.0244986326344 0.757994167290371 0.165376056964842 0.869587869135684 1.16753894540675e-05 1.1036493946352e-05 2.42976303116958e-13 1 1 0 1
"tree_31" 351.04 577.4 2030.25 92.9 0.741935483870968 -64.4826800364631 0.749916122538519 0.160893661240042 0.487409470340136 1.7716674543348e-05 1.75931360717923e-05 2.25675005683418e-12 1 1 0 1
"tree_32" 351.04 615.3 2030.25 92.9 0.645161290322581 -75.2791704649043 0.730353317676207 0.150983260198277 0.953344258031021 4.69407043757812e-05 5.10967337810343e-05 2.42222420712797e-10 1 1 0 1
"tree_33" 351.04 647.6 2030.25 92.9 0.67741935483871 -84.4804010938924 0.713681059178775 0.143452748610253 0.869587869135684 0.000103515309493275 0.000118756431555584 6.63503777485900e-09 1 1 0 1
"tree_34" 351.04 680.15 2030.25 92.9 0.709677419354839 -93.7528486782133 0.696879758432911 0.136587517459384 0.710882034272985 0.000221404938086504 0.00026271317273729 1.1185393790003e-07 1 1 0 1
"tree_35" 351.04 627.6 2030.25 92.9 0.612903225806452 -78.7830446672744 0.724004439053346 0.148024219247929 0.986813509953631 6.37088523894061e-05 7.09277995268614e-05 9.12612281981805e-10 1 1 0 1
"tree_36" 351.04 682.7 2030.25 92.9 0.67741935483871 -94.4792616226071 0.695563527498903 0.136077339973634 0.869587869135684 0.000234628493691751 0.000278945044003803 1.3693471000582e-07 1 1 0 1
"tree_37" 351.04 536.95 2030.25 92.9 0.709677419354839 -52.9597766636281 0.770795158334839 0.173014247136605 0.710882034272985 5.92410034848158e-06 5.09737788040256e-06 4.6588753153132e-15 1 1 0 1
"tree_38" 351.04 518.3 2030.25 92.9 0.67741935483871 -47.6469917958067 0.780421710067876 0.179239822496624 0.869587869135684 3.5063163410706e-06 2.7705396256988e-06 1.6121340402698e-16 1 1 0 1
"tree_39" 351.04 584.8 2030.25 92.9 0.67741935483871 -66.5907019143117 0.746096471984928 0.158857729138167 0.869587869135684 2.1513981325904e-05 2.18139586523003e-05 6.06894624553287e-12 1 1 0 1
"tree_40" 351.04 618.9 2030.25 92.9 0.67741935483871 -76.3046946216955 0.728495109298784 0.150105025044434 0.869587869135684 5.13583711800399e-05 5.62940254048181e-05 3.60310833863954e-10 1 1 0 1
"tree_41" 351.04 532.55 2030.25 92.9 0.67741935483871 -51.7063582497721 0.773066301907244 0.174443714205239 0.869587869135684 5.24040554800434e-06 4.42460111688894e-06 2.17584202686883e-15 1 1 0 1
"tree_42" 351.04 613.75 2030.25 92.9 0.67741935483871 -74.8376253418414 0.731153379616486 0.151364562118126 0.869587869135684 4.51513675076057e-05 4.89982919225251e-05 2.03680106381957e-10 1 1 0 1
