"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.357142857142857 -926.871304566612 0.511342044491216 0.180824737216083 0.351588087118677 0.00963842783727983 0.227775195740021 0.269998913433391 0.8 0.648386073757973 816.26 0.2 1
"tree_2" 0.5 -475.996980752296 0.773261422432693 0.322369283187 0.0282660224444916 0.00330103750268395 0.000903727560779157 6.13066987292471e-07 1 1 457.86 0 1
"tree_3" 0.428571428571429 -596.137878978488 0.703469847116256 0.266734133294781 0.124655982617692 0.00444769423925886 0.00733861265488154 0.00052240316490045 0.996 0.932920397467413 553.36 0.004 1
"tree_4" 0.642857142857143 -341.841741099509 0.851194130199655 0.420249416320255 0.000298706084747559 0.00234055751264626 3.48703060186989e-05 4.14976245237048e-14 1 1 351.22 0 1
"tree_5" 0.5 -707.975846018367 0.638501563915929 0.229813471179896 0.0282660224444916 0.00582209882884135 0.0322515454005005 0.0147398943820609 0.98 0.836704720868823 642.26 0.02 1
"tree_6" 0.428571428571429 -759.554660963643 0.608538688649186 0.216023182975734 0.124655982617692 0.00657432129310032 0.0565563277540249 0.0400325031396307 0.955 0.792330786779485 683.26 0.045 1
"tree_7" 0.428571428571429 -623.814316266197 0.687392206729223 0.256535038932147 0.124655982617692 0.00475769883033464 0.0109832748126539 0.00144427253968035 0.994 0.909109993809719 575.36 0.00600000000000001 1
"tree_8" 0.642857142857143 -400.339665366713 0.817211844836154 0.371115357537966 0.000298706084747559 0.00272302248010161 0.000167755383758108 3.39292085419779e-10 1 1 397.72 0 1
"tree_9" 0.428571428571429 -724.707510378664 0.628781899500132 0.225151015925316 0.124655982617692 0.00605729011904047 0.0389944848501991 0.0209863441320362 0.971 0.822310249566672 655.56 0.029 1
"tree_10" 0.5 -490.338407346836 0.764930281504867 0.314537782892213 0.0282660224444916 0.0034222979180118 0.00119995071136139 1.78555268094603e-06 1 1 469.26 0 1
"tree_11" 0.428571428571429 -565.190590011322 0.721447572276302 0.279143656857553 0.124655982617692 0.00412252734611603 0.00452705283807057 0.00013796469924846 0.998 0.959544757921016 528.76 0.002 1
"tree_12" 0.428571428571429 -936.306453641968 0.505861030722909 0.179178401476158 0.124655982617692 0.00984345482018492 0.242169443263723 0.288546552277568 0.78 0.64026889069285 823.76 0.22 1
"tree_13" 0.642857142857143 -345.238394766637 0.849220965243065 0.417043399638336 0.000298706084747559 0.00236135955260682 3.85016053648682e-05 7.80819962714204e-14 1 1 353.92 0 1
"tree_14" 0.5 -395.986916593282 0.819740419187933 0.374372241667935 0.0282660224444916 0.00269273161851312 0.000150609015835644 1.95303497834159e-10 1 1 394.26 0 1
"tree_15" 0.5 -672.122279532017 0.659329416235494 0.24048488008342 0.0282660224444916 0.00534521372691297 0.0209163359959466 0.00619129565706264 0.987 0.86755001651629 613.76 0.013 1
"tree_16" 0.5 -491.722229211222 0.764126399485516 0.313802194064121 0.0282660224444916 0.00343420765367694 0.00123256903876354 1.97027218519042e-06 1 1 470.36 0 1
"tree_17" 0.428571428571429 -951.591395144044 0.496981788418252 0.176574033089687 0.124655982617692 0.0101836850121565 0.266494377988721 0.319199618281302 0.758 0.627119054127351 835.91 0.242 1
"tree_18" 0.5 -401.094477292741 0.81677336373469 0.370556336613778 0.0282660224444916 0.00272830641655335 0.000170898443836992 3.7279169847232e-10 1 1 398.32 0 1
"tree_19" 0.428571428571429 -457.831173732545 0.783814200941273 0.332867259032069 0.124655982617692 0.00315299339158543 0.000621587017831981 1.37811110750084e-07 1 1 443.42 0 1
"tree_20" 0.428571428571429 -735.274877343062 0.622643164079628 0.222302548346286 0.124655982617692 0.00621013495361237 0.043793412287877 0.025840847184397 0.967 0.813219004533734 663.96 0.033 1
"tree_21" 0.357142857142857 -721.814064662222 0.630462743722412 0.225943728377675 0.351588087118677 0.00601602542074162 0.0377553261482752 0.0197847750546235 0.975 0.824799519039976 653.26 0.025 1
"tree_22" 0.5 -568.159516920367 0.719722879943875 0.277903298689562 0.0282660224444916 0.00415277267381204 0.00474913853095498 0.000158327799428113 0.997 0.956990550983191 531.12 0.003 1
"tree_23" 0.357142857142857 -863.341300792553 0.548247537197813 0.192749686585875 0.351588087118677 0.00835258227502542 0.14406015058195 0.157001700568874 0.879 0.703041773063134 765.76 0.121 1
"tree_24" 0.357142857142857 -709.862875833438 0.637405361162267 0.229277991798186 0.351588087118677 0.00584821254020487 0.0329620739048851 0.0153625786572324 0.979 0.835081284255799 643.76 0.021 1
"tree_25" 0.642857142857143 -375.795697572022 0.831469788652109 0.390259379709685 0.000298706084747559 0.00255616170480705 8.97074784953627e-05 1.20504074541768e-11 1 1 378.21 0 1
"tree_26" 0.357142857142857 -654.384199270349 0.66963372211991 0.246139479038122 0.351588087118677 0.00512238236080036 0.0166501640149255 0.00378412038712042 0.991 0.882810320678721 599.66 0.00900000000000001 1
"tree_27" 0.5 -461.655554157756 0.781592563360519 0.33060072570891 0.0282660224444916 0.00318365448291637 0.000673522778375935 1.91308242541882e-07 1 1 446.46 0 1
"tree_28" 0.571428571428571 -522.417914203045 0.746294834692625 0.298326461314577 0.00388619192642705 0.00370814212957994 0.00218367670836154 1.44444596537243e-05 0.999 0.996342654482906 494.76 0.001 1
"tree_29" 0.5 -533.740093093471 0.739717618170657 0.292996665078609 0.0282660224444916 0.00381403017725031 0.00266806816679181 2.76925775504287e-05 0.999 0.986602034804759 503.76 0.001 1
"tree_30" 0.428571428571429 -564.435778085294 0.721886053377766 0.279460769463799 0.124655982617692 0.0041148693508774 0.00447202475505719 0.000133171595918971 0.998 0.960194132566226 528.16 0.002 1
"tree_31" 0.357142857142857 -994.930179896843 0.471805665175831 0.16958499931063 0.351588087118677 0.0112047316093276 0.34158340225828 0.408253925199966 0.679 0.589834126581553 870.36 0.321 1
"tree_32" 0.5 -513.360171090703 0.751556607910199 0.302731971449668 0.0282660224444916 0.00362533841921552 0.00185283071133393 8.31975514117035e-06 1 1 487.56 0 1
"tree_33" 0.285714285714286 -750.119511888288 0.614019702417492 0.218420741091512 0.664772314317288 0.00643061289694943 0.0512968644846362 0.0339869802009039 0.959 0.800447969844608 675.76 0.041 1
"tree_34" 0.5 -719.801232859479 0.631632026659651 0.226498480802873 0.0282660224444916 0.00598746670072682 0.0369117399149401 0.0189799042517193 0.975 0.826531184760536 651.66 0.025 1
"tree_35" 0.5 -400.767392124796 0.816963372211991 0.370798372104708 0.0282660224444916 0.00272601557540868 0.000169530105993126 3.57907911705637e-10 1 1 398.06 0 1
"tree_36" 0.5 -509.850295634671 0.753595545032009 0.304474286775172 0.0282660224444916 0.00359370067296906 0.00173683598720048 6.66619933439071e-06 1 1 484.77 0 1
"tree_37" 0.357142857142857 -822.204050824003 0.57214475722763 0.201347775079802 0.351588087118677 0.00760264307660617 0.102395819293814 0.0993584754933336 0.919 0.738432691227069 733.06 0.081 1
"tree_38" 0.714285714285714 -424.493646999623 0.803180449589289 0.354024752950206 1.12085868624885e-05 0.00289676897313393 0.000298157616512546 5.54378123074209e-09 1 1 416.92 0 1
"tree_39" 0.5 -485.205686249843 0.767911952994826 0.317296530375339 0.0282660224444916 0.00337844705355802 0.00108544199344744 1.23061470659835e-06 1 1 465.18 0 1
"tree_40" 0.571428571428571 -595.458548245062 0.703864480107574 0.266994681813248 0.00388619192642705 0.00444031733357917 0.00726391952916373 0.000508538106396702 0.996 0.933504834648102 552.82 0.004 1
"tree_41" 0.5 -457.504088564599 0.784004209418574 0.33306255077173 0.0282660224444916 0.00315038343948365 0.000617312818075494 1.33951074996957e-07 1 1 443.16 0 1
"tree_42" 0.357142857142857 -696.779469115612 0.645005700254319 0.233042819249716 0.351588087118677 0.00566927475858885 0.0282826081190526 0.0114346637100622 0.982 0.846337111439436 633.36 0.018 1
"tree_43" 0.428571428571429 -468.197257516669 0.777792393814493 0.326794491431608 0.124655982617692 0.00323672360172669 0.000771214908304113 3.29505668602163e-07 1 1 451.66 0 1
"tree_44" 0.357142857142857 -950.647880236508 0.497529889795083 0.176732602136118 0.351588087118677 0.0101623899033242 0.264957831953223 0.31728939827051 0.759 0.627930772433863 835.16 0.241 1
"tree_45" 0.285714285714286 -791.759969807523 0.589830161653366 0.208221651666055 0.664772314317288 0.00708646416172024 0.0776287353131246 0.0662180711968331 0.937 0.764624135250532 708.86 0.0629999999999999 1
"tree_46" 0.357142857142857 -661.50459177255 0.665497383729428 0.243837969999339 0.351588087118677 0.00521081789039006 0.0182675835468104 0.00463626379624259 0.989 0.876684553192242 605.32 0.011 1
"tree_47" 0.357142857142857 -657.906654925148 0.667587476979742 0.244995518374664 0.351588087118677 0.00516596301101639 0.0174349334268056 0.00418800764192521 0.991 0.879779905667742 602.46 0.00900000000000001 1
"tree_48" 0.5 -416.618442571393 0.807755269081236 0.359421419178883 0.0282660224444916 0.00283905220281309 0.000248215599849369 2.33867797159829e-09 1 1 410.66 0 1
"tree_49" 0.785714285714286 -322.845640961127 0.862229237919846 0.439128882541949 1.61060532963455e-07 0.0022272485883328 1.96303931228981e-05 8.84080017834184e-16 1 1 336.12 0 1
"tree_50" 0.5 -537.765756698956 0.737379052296179 0.291147230550734 0.0282660224444916 0.00385232748368629 0.00286130140786653 3.45617291072969e-05 0.999 0.98313870336364 506.96 0.001 1
"tree_51" 0.571428571428571 -464.548999874198 0.779911719138239 0.328906319636331 0.00388619192642705 0.00320703002988357 0.00071530630593056 2.43965909564581e-07 1 1 448.76 0 1
"tree_52" 0.428571428571429 -676.336646119009 0.65688123008565 0.239179400755133 0.124655982617692 0.00539940681486121 0.0220507475420073 0.00691442392178929 0.986 0.863924341413869 617.11 0.014 1
"tree_53" 0.428571428571429 -544.710026418417 0.733345026162706 0.288011239463003 0.124655982617692 0.00391920099492891 0.0032229936950019 5.00702889900071e-05 0.999 0.977164456627709 512.48 0.001 1
"tree_54" 0.5 -549.855327714178 0.730356046654389 0.285730878680527 0.0282660224444916 0.00396941916238776 0.00351569569194089 6.52986042509916e-05 0.999 0.972737886129529 516.57 0.001 1
"tree_55" 0.357142857142857 -1010.98251352371 0.462480633751352 0.167134704230456 0.351588087118677 0.0116049037938861 0.371353007123834 0.441283411500154 0.65 0.576024092460091 883.12 0.35 1
"tree_56" 0.357142857142857 -807.359416278777 0.580768218889766 0.204641876715747 0.351588087118677 0.00734695573067255 0.089700875848864 0.0821622754636237 0.926 0.751203725916196 721.26 0.074 1
"tree_57" 0.571428571428571 -653.075858598566 0.670393756029115 0.246567104339982 0.00388619192642705 0.00510627880372045 0.016366174767135 0.0036424984737482 0.991 0.883935903397085 598.62 0.00900000000000001 1
"tree_58" 0.5 -485.432129827651 0.767780408664387 0.317173800928314 0.0282660224444916 0.00338037095137328 0.00109028511313858 1.25128819863713e-06 1 1 465.36 0 1
"tree_59" 0.571428571428571 -581.117121650522 0.7121956210354 0.272616453030919 0.00388619192642705 0.00428711241815991 0.00583040183089251 0.000281482980318005 0.996 0.945842952907089 541.42 0.004 1
"tree_60" 0.5 -570.474273493521 0.71837820456605 0.276943860702492 0.0282660224444916 0.00417649134349954 0.00492867194561615 0.000175996187455835 0.997 0.954999135404547 532.96 0.003 1
"tree_61" 0.5 -568.713045666122 0.719401327136134 0.277673263601475 0.0282660224444916 0.00415843353985276 0.00479155515621876 0.000162404193168871 0.997 0.956514342910037 531.56 0.003 1
"tree_62" 0.5 -425.047175745377 0.802858896781549 0.35365152386429 0.0282660224444916 0.00290086526286182 0.000301979970759795 5.88093932234995e-09 1 1 417.36 0 1
"tree_63" 0.5 -491.219021260536 0.764418720219825 0.314069282492127 0.0282660224444916 0.00342987253901043 0.00122061957240064 1.90116422140096e-06 1 1 469.96 0 1
"tree_64" 0.357142857142857 -951.591395144044 0.496981788418252 0.176574033089687 0.351588087118677 0.0101836850121565 0.266494377988721 0.319199618281302 0.758 0.627119054127351 835.91 0.242 1
"tree_65" 0.357142857142857 -928.758334381683 0.510245841737554 0.18049305419683 0.351588087118677 0.00967913207119039 0.230615162314738 0.273681922884063 0.797 0.646762637144948 817.76 0.203 1
"tree_66" 0.428571428571429 -787.608504214367 0.592241807711421 0.209195532626566 0.124655982617692 0.00701852753025718 0.0746277210770862 0.0623399776114508 0.939 0.768195695799186 705.56 0.0610000000000001 1
"tree_67" 0.571428571428571 -501.157378286577 0.758645385717209 0.30887707696815 0.00388619192642705 0.00351640773983137 0.00147627722478323 3.77560650674972e-06 1 1 477.86 0 1
