"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.5 -268.419186547131 0.794578706727629 0.19577381525221 0.000922542804924772 1.88404527605143e-05 1.61289756379477e-08 1.17246504899346e-22 1 1 727.37 0 1
"tree_2" 0.5 -337.248645089399 0.746858824438311 0.164956096656859 0.000922542804924772 3.13097520964526e-05 1.4467714642384e-06 9.66635566077784e-14 1 1 863.26 0 1
"tree_3" 0.5 -300.450792686015 0.772370999346832 0.180114089121058 0.000922542804924772 2.39041071200947e-05 1.48665655365671e-07 6.71315690897209e-18 1 1 790.61 0 1
"tree_4" 0.411764705882353 -303.10996302487 0.770527380375466 0.178925941748549 0.0570073818771637 2.43780071801428e-05 1.7689538492734e-07 1.47646914515055e-17 1 1 795.86 0 1
"tree_5" 0.558823529411765 -313.827685762042 0.763096718007065 0.174291938997821 1.78587794890092e-05 2.63798669793265e-05 3.51054964787352e-07 3.00695570631558e-16 1 1 817.02 0 1
"tree_6" 0.470588235294118 -363.460467000962 0.728686008863418 0.155626714462137 0.00459037273620321 3.78576986363253e-05 6.24009566059292e-06 2.0386237803644e-11 1 1 915.01 0 1
"tree_7" 0.352941176470588 -319.926049739148 0.758868685166066 0.171760789327672 0.296961609558737 2.75874556147888e-05 5.12975037468438e-07 1.49706352589997e-15 1 1 829.06 0 1
"tree_8" 0.441176470588235 -346.522818214051 0.740428983797223 0.161529997617886 0.0181020595064748 3.34932208125674e-05 2.46156907131673e-06 7.25022292447462e-13 1 1 881.57 0 1
"tree_9" 0.411764705882353 -284.044977966874 0.783745250486364 0.187808287832028 0.0570073818771637 2.1168050290331e-05 4.91159455367468e-08 3.51260681147607e-20 1 1 758.22 0 1
"tree_10" 0.558823529411765 -366.884465380135 0.726312129959335 0.154485392234505 1.78587794890092e-05 3.88030110405658e-05 7.484986331165e-06 3.80804929439756e-11 1 1 921.77 0 1
"tree_11" 0.441176470588235 -335.653142886086 0.74796499582113 0.16556021904175 0.0181020595064748 3.0947972355529e-05 1.3182059546203e-06 6.73613404598849e-14 1 1 860.11 0 1
"tree_12" 0.470588235294118 -359.535025072177 0.731407541630672 0.156956109604744 0.00459037273620321 3.68007472134115e-05 5.05283138570755e-06 9.76414563221612e-12 1 1 907.26 0 1
"tree_13" 0.470588235294118 -337.248645089399 0.746858824438311 0.164956096656859 0.00459037273620321 3.13097520964526e-05 1.4467714642384e-06 9.66635566077764e-14 1 1 863.26 0 1
"tree_14" 0.558823529411765 -244.800688851745 0.810953554848542 0.20918412316009 1.78587794890092e-05 1.57780911156424e-05 2.66197758306039e-09 4.44022514097755e-27 1 1 680.74 0 1
"tree_15" 0.5 -265.557412753887 0.796562791906337 0.197306434628388 0.000922542804924772 1.84413878114021e-05 1.30676297228217e-08 3.7980598565947e-23 1 1 721.72 0 1
"tree_16" 0.441176470588235 -324.028769690523 0.756024244467387 0.170098905824454 0.0181020595064748 2.84291382992846e-05 6.59277986269476e-07 4.22653930192552e-15 1 1 837.16 0 1
"tree_17" 0.441176470588235 -283.052221040369 0.784433534902341 0.18829503080951 0.0181020595064748 2.10124009896233e-05 4.58411781042576e-08 2.49806693826538e-20 1 1 756.26 0 1
"tree_18" 0.441176470588235 -293.921896368333 0.776897522878433 0.183099315949185 0.0181020595064748 2.27773442127202e-05 9.63740198204324e-08 9.01619773968085e-19 1 1 777.72 0 1
"tree_19" 0.529411764705882 -314.536797852403 0.762605086281368 0.173993792918062 0.00014563354146688 2.65176664624526e-05 3.67028069712119e-07 3.63831901846978e-16 1 1 818.42 0 1
"tree_20" 0.529411764705882 -291.434938965709 0.778621745573559 0.184262626001216 0.00014563354146688 2.23615402431745e-05 8.1501130178534e-08 4.08030360601003e-19 1 1 772.81 0 1
"tree_21" 0.382352941176471 -336.706680848908 0.747234571542951 0.165160811422076 0.144430003555811 3.11864151737014e-05 1.40182789139969e-06 8.55453397165428e-14 1 1 862.19 0 1
"tree_22" 0.470588235294118 -339.198703337892 0.745506837192642 0.164223685576224 0.00459037273620321 3.17573651673317e-05 1.61999318054635e-06 1.4941846391553e-13 1 1 867.11 0 1
"tree_23" 0.382352941176471 -355.938813756774 0.733900816810996 0.158194098826875 0.144430003555811 3.58569937200642e-05 4.15464520528948e-06 4.88020107551947e-12 1 1 900.16 0 1
"tree_24" 0.470588235294118 -420.61996657043 0.689056980117008 0.138540268129901 0.00459037273620321 5.68960053426467e-05 0.000101233952280607 1.14526894580199e-07 1 1 1027.86 0 1
"tree_25" 0.411764705882353 -335.729119181482 0.747912320993377 0.165531350986911 0.0570073818771637 3.09651098405954e-05 1.32407519353105e-06 6.85366944579949e-14 1 1 860.26 0 1
"tree_26" 0.470588235294118 -276.776579040673 0.788784475674765 0.191431298479573 0.00459037273620321 2.00533213561054e-05 2.94761091743679e-08 2.71288713371262e-21 1 1 743.87 0 1
"tree_27" 0.470588235294118 -361.844704452211 0.729806226866971 0.156171174135246 0.00459037273620321 3.74192139190434e-05 5.72276202937985e-06 1.50963072603262e-11 1 1 911.82 0 1
"tree_28" 0.5 -262.437319556298 0.798725971499406 0.199004975124378 0.000922542804924772 1.80154500326753e-05 1.03633557059345e-08 1.07694369888399e-23 1 1 715.56 0 1
"tree_29" 0.529411764705882 -283.305475358355 0.784257952143163 0.188170622125905 0.00014563354146688 2.10520039508782e-05 4.66562591403978e-08 2.72571190140934e-20 1 1 756.76 0 1
"tree_30" 0.5 -425.91298181634 0.685387300450194 0.137145939074072 0.000922542804924772 5.90558423080468e-05 0.000127747551883174 2.15811716568699e-07 1 1 1038.31 0 1
"tree_31" 0.411764705882353 -333.986729473738 0.74912033037652 0.166195933801732 0.0570073818771637 3.05743408783301e-05 1.19548716328128e-06 4.59768183911408e-14 1 1 856.82 0 1
"tree_32" 0.411764705882353 -372.501646153067 0.722417704360773 0.152648843341981 0.0570073818771637 4.04023264442952e-05 1.00439761721422e-05 1.02632139874609e-10 1 1 932.86 0 1
"tree_33" 0.382352941176471 -397.928379678874 0.704789195339331 0.144853823774744 0.144430003555811 4.84532803252864e-05 3.56229522245834e-05 5.66601670778392e-09 1 1 983.06 0 1
"tree_34" 0.470588235294118 -325.502709821202 0.755002352808973 0.169509683716833 0.00459037273620321 2.87374160702767e-05 7.20876568296973e-07 6.08779357859269e-15 1 1 840.07 0 1
"tree_35" 0.382352941176471 -377.419845008357 0.719007887177542 0.151076312634605 0.144430003555811 4.18535986325068e-05 1.29369321593584e-05 2.36559726470352e-10 1 1 942.57 0 1
"tree_36" 0.558823529411765 -283.660031403535 0.784012136280314 0.187996725899717 1.78587794890092e-05 2.11075670830959e-05 4.78205647133127e-08 3.07875064119667e-20 1 1 757.46 0 1
"tree_37" 0.5 -281.968292559388 0.785185029111621 0.188829364026945 0.000922542804924772 2.08436975973017e-05 4.25032127302622e-08 1.71634601843808e-20 1 1 754.12 0 1
"tree_38" 0.5 -384.612267639163 0.714021336816895 0.148834098059095 0.000922542804924772 4.40649127328187e-05 1.85976515472892e-05 7.60865592407647e-10 1 1 956.77 0 1
"tree_39" 0.5 -280.119536038089 0.786466783253619 0.189747758071608 0.000922542804924772 2.05589172994958e-05 3.73371075940126e-08 8.97896268491298e-21 1 1 750.47 0 1
"tree_40" 0.470588235294118 -331.322494048524 0.750967461003069 0.167222509277091 0.00459037273620321 2.99858438985372e-05 1.02144098141352e-06 2.4712777648081e-14 1 1 851.56 0 1
"tree_41" 0.558823529411765 -349.257964848301 0.738532689998104 0.160546579929423 1.78587794890092e-05 3.416419775268e-05 2.87053574009722e-06 1.27923356122487e-12 1 1 886.97 0 1
"tree_42" 0.441176470588235 -323.299397254723 0.756529922813819 0.170391997319676 0.0181020595064748 2.82777495413897e-05 6.30671013154071e-07 3.5228551596107e-15 1 1 835.72 0 1
"tree_43" 0.470588235294118 -302.856708706883 0.770702963134644 0.179038422852545 0.00459037273620321 2.43324929499514e-05 1.74001992125011e-07 1.37067808832933e-17 1 1 795.36 0 1
"tree_44" 0.529411764705882 -272.040723294332 0.792067873271388 0.193868104340249 0.00014563354146688 1.9357222664804e-05 2.09894931279523e-08 4.69887198468788e-22 1 1 734.52 0 1
"tree_45" 0.5 -293.840854986578 0.77695370936137 0.183136992643654 0.000922542804924772 2.27636797798567e-05 9.58511543663356e-08 8.78842960399284e-19 1 1 777.56 0 1
"tree_46" 0.470588235294118 -242.106062908373 0.812821755406193 0.210831778745077 0.00459037273620321 1.54604344947093e-05 2.14650921338312e-09 1.21058295302631e-27 1 1 675.42 0 1
"tree_47" 0.5 -352.494555032163 0.736288742335812 0.159398226918599 0.000922542804924772 3.49746170802596e-05 3.4370696005379e-06 2.46768285424171e-12 1 1 893.36 0 1
"tree_48" 0.411764705882353 -285.919059919972 0.782445938068449 0.186896262074758 0.0570073818771637 2.1464864246012e-05 5.59137912430827e-08 6.63459984695848e-20 1 1 761.92 0 1
"tree_49" 0.441176470588235 -330.461429367371 0.751564442384273 0.167557009389782 0.0181020595064748 2.97979500197626e-05 9.70512928934489e-07 2.01651342604486e-14 1 1 849.86 0 1
"tree_50" 0.470588235294118 -398.338651674011 0.704504751269463 0.144734568591379 0.00459037273620321 4.85948275618393e-05 3.63273504141924e-05 6.00936952773978e-09 1 1 983.87 0 1
"tree_51" 0.382352941176471 -287.382869877931 0.781431069720402 0.186190034126123 0.144430003555811 2.16994418330972e-05 6.18363605358168e-08 1.08298621503125e-19 1 1 764.81 0 1
"tree_52" 0.529411764705882 -318.588866940181 0.759795762134524 0.172309479441446 0.00014563354146688 2.73182690021763e-05 4.72346398645146e-07 1.05975524369629e-15 1 1 826.42 0 1
"tree_53" 0.441176470588235 -248.893278630401 0.80811613746023 0.2067303504544 0.0181020595064748 1.62724344420908e-05 3.67676872951614e-09 3.01651362764426e-26 1 1 688.82 0 1
"tree_54" 0.352941176470588 -349.759408397913 0.738185036134932 0.160367584125411 0.296961609558737 3.42885817202546e-05 2.9521358527914e-06 1.41779091944227e-12 1 1 887.96 0 1
"tree_55" 0.470588235294118 -276.948791976903 0.788665079398524 0.191343841120114 0.00459037273620321 2.00790763189227e-05 2.98392453306484e-08 2.88775855122808e-21 1 1 744.21 0 1
"tree_56" 0.5 -286.248290533354 0.782217680481518 0.186736955295907 0.000922542804924772 2.1517413277662e-05 5.71968496338958e-08 7.41138570460908e-20 1 1 762.57 0 1
"tree_57" 0.441176470588235 -307.313984703439 0.767612706573116 0.177079188221249 0.0181020595064748 2.51454347737328e-05 2.32131668039113e-07 4.96434672949663e-17 1 1 804.16 0 1
