"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.375 -93.0967185585259 0.808258906692344 0.218357033728993 0.241980112293143 0.00146655964049617 0.00714005531257731 0.000668050878414311 0.996 0.974025228681723 425.45 0.004 1
"tree_2" 0.5 -15.4949394090683 0.906842253959651 0.365072503635006 0.00756171436804769 0.000703981066116926 9.3980832891297e-05 3.13726819927274e-12 1 1 254.47 0 1
"tree_3" 0.375 -38.610266418554 0.877477124258376 0.304191224623445 0.241980112293143 0.000880081766294469 0.000468549658408842 3.02447394543815e-08 1 1 305.4 0 1
"tree_4" 0.458333333333333 -32.6964099305587 0.884989938709733 0.317748058966378 0.0315578880517844 0.000831532996380788 0.000321237349320028 4.52769184010443e-09 1 1 292.37 0 1
"tree_5" 0.458333333333333 -53.5741841782781 0.858467339725664 0.274551526435559 0.0315578880517844 0.00101479372238751 0.00111958410015907 1.43242704710899e-06 1 1 338.37 0 1
"tree_6" 0.458333333333333 -48.8993782054192 0.86440609558514 0.283171274423141 0.0315578880517844 0.000970803083060261 0.000863101222562781 4.86607219482952e-07 1 1 328.07 0 1
"tree_7" 0.333333333333333 -169.264285390097 0.711497546659594 0.156589748343924 0.45882031107831 0.00288701848322452 0.0765593521338475 0.0780264038799725 0.927 0.810475990194956 593.27 0.073 1
"tree_8" 0.375 -54.2640584577679 0.857590940802712 0.27332372238077 0.241980112293143 0.00102143825584783 0.00116241307666555 1.66578535214036e-06 1 1 339.89 0 1
"tree_9" 0.375 -83.393092179912 0.820586149437548 0.229910659044225 0.241980112293143 0.00134121421374856 0.00476409815404486 0.000215388496546616 0.999 0.994861140485126 404.07 0.001 1
"tree_10" 0.5 -58.1582172196252 0.852643899513944 0.266593967916894 0.00756171436804769 0.00105969934205361 0.00143110510156204 3.76124054729782e-06 1 1 348.47 0 1
"tree_11" 0.375 -14.4056642309264 0.908226041732733 0.368548419089935 0.241980112293143 0.000696545394126686 8.62862255971645e-05 1.76804479421568e-12 1 1 252.07 0 1
"tree_12" 0.291666666666667 -125.784051195933 0.766733741935112 0.186744929342473 0.695735861690521 0.00197149186312784 0.0230772577435084 0.0101494920695265 0.978 0.903838027181205 497.47 0.022 1
"tree_13" 0.333333333333333 -191.063404892661 0.683804493850793 0.1448619990644 0.45882031107831 0.00347732985888535 0.123459925627523 0.147117641474795 0.884 0.763668280002372 641.3 0.116 1
"tree_14" 0.375 -36.3727136567876 0.880319654975582 0.309182281092954 0.241980112293143 0.000861414455407936 0.000407171132062488 1.51780278548251e-08 1 1 300.47 0 1
"tree_15" 0.5 -12.0909544773749 0.911166590750532 0.37615904765761 0.00756171436804769 0.000680984462712024 7.1717111058601e-05 4.94385157168335e-13 1 1 246.97 0 1
"tree_16" 0.416666666666667 -21.7401170970817 0.898908537393982 0.346344555046043 0.0996906285221493 0.000748043618083597 0.000150534403282626 6.28779675105967e-11 1 1 268.23 0 1
"tree_17" 0.458333333333333 -30.5632460400309 0.887699856432019 0.322939479264435 0.0315578880517844 0.000814634615116325 0.000278897843567924 2.14037511357628e-09 1 1 287.67 0 1
"tree_18" 0.375 -50.0794263150729 0.862906992164302 0.280944748540841 0.241980112293143 0.000981739190738038 0.00092258453017726 6.45288492922067e-07 1 1 330.67 0 1
"tree_19" 0.333333333333333 -53.5741841782781 0.858467339725664 0.274551526435559 0.45882031107831 0.00101479372238751 0.00111958410015907 1.43242704710899e-06 1 1 338.37 0 1
"tree_20" 0.5 -36.4317160622703 0.88024469980454 0.309048569527611 0.00756171436804769 0.000861901986182558 0.000408696531001364 1.5463273406931e-08 1 1 300.6 0 1
"tree_21" 0.458333333333333 -37.2804429719058 0.879166498498014 0.307137897973353 0.0315578880517844 0.000868943063722099 0.000431185860722685 2.01586789804109e-08 1 1 302.47 0 1
