"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.576923076923077 -70.5802968960864 0.894581113455144 0.356558271497163 3.492950217318e-06 0.000638187684736785 6.05651499345845e-05 1.25817862877988e-19 1 1 366.56 0 1
"tree_2" 0.615384615384615 -75.4432500349016 0.889910430149819 0.346675154505186 2.79777739952139e-07 0.000656886143054943 7.597227930536e-05 1.70210641633753e-18 1 1 377.01 0 1
"tree_3" 0.538461538461538 -84.1453767043604 0.88155236528766 0.330292385838114 3.3074105471925e-05 0.000691613547800356 0.000112010584608443 1.10177706800607e-16 1 1 395.71 0 1
"tree_4" 0.692307692307692 -57.3409651449579 0.907296992884471 0.386560586791281 6.84662294607536e-10 0.000589742514447431 3.14026921007639e-05 3.07417519630929e-23 1 1 338.11 0 1
"tree_5" 0.692307692307692 -76.676439108381 0.88872599849823 0.344255386398356 6.84662294607536e-10 0.000661707554385636 8.03750052569291e-05 3.1880875817219e-18 1 1 379.66 0 1
"tree_6" 0.653846153846154 -63.1346270184746 0.901732398898702 0.372832040164309 1.64799220271563e-08 0.000610508588021716 4.21784398719135e-05 1.49194410506248e-21 1 1 350.56 0 1
"tree_7" 0.653846153846154 -77.0719903206291 0.888346086459041 0.343486373551286 1.64799220271563e-08 0.000663260948016883 8.18327760486302e-05 3.88848643235503e-18 1 1 380.51 0 1
"tree_8" 0.653846153846154 -74.6521476104053 0.890670254228198 0.348245450427646 1.64799220271563e-08 0.000653810253339777 7.32582289542044e-05 1.13028600005381e-18 1 1 375.31 0 1
"tree_9" 0.538461538461538 -98.8738424310112 0.867406228769621 0.305831149382254 3.3074105471925e-05 0.000754270864008416 0.000206526902450673 3.94680864101453e-14 1 1 427.36 0 1
"tree_10" 0.615384615384615 -74.0239192144818 0.891273643937498 0.349502620601134 2.79777739952139e-07 0.000651377109777002 7.11626264623718e-05 8.13420447952543e-19 1 1 373.96 0 1
"tree_11" 0.730769230769231 -55.5028153939225 0.90906246647835 0.391129997605937 1.89429754701563e-11 0.000583291719827885 2.85209464829373e-05 8.20507070162709e-24 1 1 334.16 0 1
