"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.6 -286.58617722971 0.897788398661852 0.563787345347938 0.00671663007615362 0.0310490314701559 0.00187986211393038 2.39408769612138e-08 1 1 67.4013 0 1
"tree_2" 0.5 -392.367651276169 0.833672575093525 0.442661889024664 0.0522062152786622 0.0354277848209414 0.010522408556149 0.0001506036217997 0.998 0.973051255591771 85.8443 0.002 1
"tree_3" 0.5 -514.036707771724 0.759927036658621 0.354950106158104 0.0522062152786622 0.0410773311238914 0.0415090909598975 0.0121771060994787 0.987 0.885977431608215 107.0573 0.013 1
"tree_4" 0.4 -428.484657298537 0.811781486821022 0.412410070185682 0.218996958618749 0.0370341087439389 0.0166551425445402 0.000817236533974495 0.997 0.947203715421854 92.1413 0.003 1
"tree_5" 0.4 -514.289073702323 0.759774073678791 0.354804283421396 0.218996958618749 0.0410897673615977 0.0416083628320474 0.0122505289728529 0.987 0.88579682310139 107.1013 0.013 1
"tree_6" 0.5 -372.390593633496 0.84578098551962 0.461381741181841 0.0522062152786622 0.0345641214118826 0.00797327319564749 4.80977680045844e-05 0.999 0.987348060802478 82.3613 0.001 1
"tree_7" 0.6 -443.339833667909 0.802777529599206 0.401134577483894 0.00671663007615362 0.0377118547298195 0.0198372029941813 0.00146340966059026 0.996 0.936572441951934 94.7313 0.004 1
"tree_8" 0.5 -524.32635503298 0.753690318799185 0.349100102617056 0.0522062152786622 0.0415868711459311 0.0456965292825336 0.0154463878224699 0.985 0.878613530216309 108.8513 0.015 1
"tree_9" 0.6 -524.32635503298 0.753690318799185 0.349100102617056 0.00671663007615362 0.0415868711459311 0.0456965292825336 0.0154463878224699 0.985 0.878613530216309 108.8513 0.015 1
"tree_10" 0.4 -585.238313736736 0.716770617758376 0.318068021357431 0.218996958618749 0.0447089828540407 0.0767941180037677 0.0486209814077562 0.952 0.835021204250846 119.4713 0.048 1
