"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.166666666666667 -908.369408369408 0.0749037451872593 0.243560389238695 0.711302878489946 0.0557491610411027 0.895154585150431 0.8536142880217 0.196 0.189186983434032 349.4 0.804 1
"tree_2" 0.5 -489.610389610389 0.582779138956948 0.416544297601566 0.0675826432629921 0.0277907977987226 0.0144368635884174 0.00145875314295212 0.993 0.86534423473435 204.3 0.00700000000000001 1
"tree_3" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_4" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_5" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_6" 0.5 -340.981240981241 0.763038151907595 0.556937172774869 0.0675826432629921 0.0212355061909244 0.00046209501866993 7.81921189430709e-10 1 1 152.8 0 1
"tree_7" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_8" 0.333333333333333 -400.721500721501 0.690584529226461 0.490489913544669 0.295022115429822 0.0236935828409989 0.00226405978678843 2.20216440409919e-06 1 1 173.5 0 1
"tree_9" 0.5 -277.489177489177 0.840042002100105 0.650611620795107 0.0675826432629921 0.0188630156617283 5.2971576223942e-05 2.2983187942277e-16 1 1 130.8 0 1
"tree_10" 0.5 -340.981240981241 0.763038151907595 0.556937172774869 0.0675826432629921 0.0212355061909244 0.00046209501866993 7.81921189430709e-10 1 1 152.8 0 1
"tree_11" 0.666666666666667 -248.629148629149 0.875043752187609 0.704470198675497 0.00715656706290951 0.0178615067984863 1.53427941198376e-05 3.47911060266642e-21 1 1 120.8 0 1
"tree_12" 0.5 -277.489177489177 0.840042002100105 0.650611620795107 0.0675826432629921 0.0188630156617283 5.2971576223942e-05 2.2983187942277e-16 1 1 130.8 0 1
"tree_13" 0.666666666666667 -397.258297258297 0.694784739236962 0.493905977945444 0.00715656706290951 0.0235448235044312 0.00208311886240611 1.53893191141955e-06 1 1 172.3 0 1
"tree_14" 0.5 -489.610389610389 0.582779138956948 0.416544297601566 0.0675826432629921 0.0277907977987226 0.0144368635884174 0.00145875314295212 0.993 0.86534423473435 204.3 0.00700000000000001 1
"tree_15" 0.666666666666667 -397.258297258297 0.694784739236962 0.493905977945444 0.00715656706290951 0.0235448235044312 0.00208311886240611 1.53893191141955e-06 1 1 172.3 0 1
"tree_16" 0.5 -489.610389610389 0.582779138956948 0.416544297601566 0.0675826432629921 0.0277907977987226 0.0144368635884174 0.00145875314295212 0.993 0.86534423473435 204.3 0.00700000000000001 1
"tree_17" 0.666666666666667 -312.121212121212 0.7980399019951 0.59593837535014 0.00715656706290951 0.0201275170104807 0.000186294718684488 2.68786805898229e-12 1 1 142.8 0 1
"tree_18" 0.5 -340.981240981241 0.763038151907595 0.556937172774869 0.0675826432629921 0.0212355061909244 0.00046209501866993 7.81921189430709e-10 1 1 152.8 0 1
"tree_19" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_20" 0.333333333333333 -400.721500721501 0.690584529226461 0.490489913544669 0.295022115429822 0.0236935828409989 0.00226405978678843 2.20216440409919e-06 1 1 173.5 0 1
"tree_21" 0.333333333333333 -369.84126984127 0.728036401820091 0.522727272727273 0.295022115429822 0.0223946502069662 0.00103916842704403 6.05296878381579e-08 1 1 162.8 0 1
"tree_22" 0.5 -340.981240981241 0.763038151907595 0.556937172774869 0.0675826432629921 0.0212355061909244 0.00046209501866993 7.81921189430709e-10 1 1 152.8 0 1
"tree_23" 0.5 -371.861471861472 0.725586279313966 0.520489296636086 0.0675826432629921 0.0224777513964778 0.0010963390481124 7.88982480539553e-08 1 1 163.5 0 1
"tree_24" 0.333333333333333 -400.721500721501 0.690584529226461 0.490489913544669 0.295022115429822 0.0236935828409989 0.00226405978678843 2.20216440409919e-06 1 1 173.5 0 1
"tree_25" 0.5 -520.49062049062 0.545327266363318 0.395813953488372 0.0675826432629921 0.0293457384704588 0.0246784363551692 0.00590558858417325 0.984 0.81548287988312 215 0.016 1
