"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 165.1 142 199.2 19.2 0.764705882352941 13.9915202907329 0.317777777777778 0.135211267605634 0.19222606525186 0.847876810968769 0.844048530224994 0.832777409430712 0.169 0.339388934764657 0.832 1
"tree_2" 165.1 95.3 199.2 19.2 0.588235294117647 42.2774076317383 0.577222222222222 0.201469045120672 0.958171967876217 0.0545041834368636 0.0584294045338972 0.0434294471436779 0.951 0.725020644095789 0.049 1
"tree_3" 165.1 94.9 199.2 19.2 0.764705882352941 42.5196850393701 0.579444444444444 0.20231822971549 0.19222606525186 0.0520606901490503 0.0559090091304052 0.0405753150349474 0.954 0.728323699421965 0.047 1
"tree_4" 165.1 106.2 199.2 19.2 0.764705882352941 35.6753482737735 0.516666666666667 0.180790960451977 0.19222606525186 0.161379664570341 0.165135570170182 0.178701594113545 0.836 0.635012386457473 0.164 1
"tree_5" 165.1 95 199.2 19.2 0.764705882352941 42.4591156874622 0.578888888888889 0.202105263157895 0.19222606525186 0.0526632507451423 0.0565310894338174 0.0412759767252468 0.952 0.727497935590421 0.048 1
"tree_6" 165.1 97.6 199.2 19.2 0.647058823529412 40.8843125378558 0.564444444444444 0.19672131147541 0.816549454681067 0.0703572470519351 0.0746507979150903 0.0626091052796208 0.939 0.706028075970273 0.0610000000000001 1
"tree_7" 165.1 94.9 199.2 19.2 0.705882352941177 42.5196850393701 0.579444444444444 0.20231822971549 0.51693037936213 0.0520606901490503 0.0559090091304052 0.0405753150349474 0.954 0.728323699421965 0.047 1
"tree_8" 165.1 101.1 199.2 19.2 0.705882352941177 38.7643852210781 0.545 0.189910979228487 0.51693037936213 0.100973583514438 0.105485014024624 0.101396923365439 0.902 0.677126341866226 0.098 1
"tree_9" 165.1 106.2 199.2 19.2 0.705882352941177 35.6753482737735 0.516666666666667 0.180790960451977 0.51693037936213 0.161379664570341 0.165135570170182 0.178701594113545 0.836 0.635012386457473 0.164 1
"tree_10" 165.1 99.4 199.2 19.2 0.705882352941177 39.794064203513 0.554444444444444 0.193158953722334 0.51693037936213 0.0850685062282105 0.0895356498286192 0.081075304376493 0.924 0.691164327002477 0.077 1
"tree_11" 165.1 101.1 199.2 19.2 0.705882352941177 38.7643852210781 0.545 0.189910979228487 0.51693037936213 0.100973583514438 0.105485014024624 0.101396923365439 0.902 0.677126341866226 0.098 1
"tree_12" 165.1 115.2 199.2 19.2 0.588235294117647 30.2241066020594 0.466666666666667 0.166666666666667 0.958171967876217 0.314922779132785 0.313880834411307 0.359771871608792 0.693 0.560693641618497 0.307 1
"tree_13" 165.1 118.7 199.2 19.2 0.647058823529412 28.1041792852816 0.447222222222222 0.161752316764954 0.816549454681067 0.387886299332074 0.384295086911889 0.43668224320895 0.618 0.531791907514451 0.382 1
"tree_14" 165.1 100.1 199.2 19.2 0.764705882352941 39.3700787401575 0.550555555555555 0.191808191808192 0.19222606525186 0.0913740284449741 0.0958747990162155 0.0891024710022114 0.917 0.685383980181668 0.083 1
"tree_15" 165.1 101.1 199.2 19.2 0.764705882352941 38.7643852210781 0.545 0.189910979228487 0.19222606525186 0.100973583514438 0.105485014024624 0.101396923365439 0.902 0.677126341866226 0.098 1
"tree_16" 165.1 112.5 199.2 19.2 0.764705882352941 31.8594791035736 0.481666666666667 0.170666666666667 0.19222606525186 0.263039760291524 0.263822136662521 0.301579000920209 0.741 0.58298926507019 0.259 1
"tree_17" 165.1 132.3 199.2 19.2 0.764705882352941 19.8667474258025 0.371666666666667 0.145124716553288 0.19222606525186 0.684773096543376 0.676185496177148 0.70377886134525 0.308 0.419488026424443 0.692 1
"tree_18" 165.1 137.4 199.2 19.2 0.823529411764706 16.7777104784979 0.343333333333333 0.139737991266376 0.0310275853366627 0.778848011632183 0.772122768106828 0.778552871191004 0.22 0.377374071015689 0.78 1
"tree_19" 165.1 112.6 199.2 19.2 0.764705882352941 31.7989097516657 0.481111111111111 0.170515097690941 0.19222606525186 0.264880718626012 0.26559990822606 0.303696213857144 0.739 0.582163501238646 0.262 1
"tree_20" 165.1 125 199.2 19.2 0.764705882352941 24.2883101150818 0.412222222222222 0.1536 0.19222606525186 0.527890870809871 0.520407479126269 0.570386844143372 0.465 0.479768786127168 0.535 1
"tree_21" 165.1 137.4 199.2 19.2 0.823529411764706 16.7777104784979 0.343333333333333 0.139737991266376 0.0310275853366627 0.778848011632183 0.772122768106828 0.778552871191004 0.22 0.377374071015689 0.78 1
"tree_22" 165.1 137.4 199.2 19.2 0.705882352941177 16.7777104784979 0.343333333333333 0.139737991266376 0.51693037936213 0.778848011632183 0.772122768106828 0.778552871191004 0.22 0.377374071015689 0.78 1
"tree_23" 165.1 100.1 199.2 19.2 0.705882352941177 39.3700787401575 0.550555555555555 0.191808191808192 0.51693037936213 0.0913740284449741 0.0958747990162155 0.0891024710022114 0.917 0.685383980181668 0.083 1
"tree_24" 165.1 88 199.2 19.2 0.705882352941177 46.6989703210176 0.617777777777778 0.218181818181818 0.51693037936213 0.0220160383778459 0.0242969119242121 0.00989928690796644 0.979 0.785301403798514 0.021 1
