"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.5 -96.6682532127558 0.743972056408519 0.207647628267183 0.00292051028123171 0.00132796807348972 0.00590931018320989 8.25831794803705e-05 0.996 0.932577522990155 619.8 0.004 1
"tree_2" 0.545454545454545 -47.977153736316 0.823971013737195 0.275972981666131 0.000472753107374036 0.000822893610194602 0.000444217265280332 9.21132106157251e-10 1 1 466.35 0 1
"tree_3" 0.454545454545455 -60.6695224496271 0.803117587258556 0.254172015404365 0.0136608363838983 0.000933935248396103 0.000959787387425722 5.24759007601772e-08 1 1 506.35 0 1
"tree_4" 0.590909090909091 -25.6703157226717 0.860620910773401 0.324958969827042 5.65623839316078e-05 0.000656702392089734 9.21157549377113e-05 2.92225279063931e-14 1 1 396.05 0 1
"tree_5" 0.454545454545455 -98.2072029192448 0.741443578447984 0.206035379812695 0.0136608363838983 0.00134779125575105 0.00632239151052071 0.000103127175199112 0.996 0.92945598887709 624.65 0.004 1
"tree_6" 0.590909090909091 -50.3252419482786 0.820113129838647 0.271662269129288 5.65623839316078e-05 0.00084247299066406 0.00051537713223745 2.10795237104491e-09 1 1 473.75 0 1
"tree_7" 0.409090909090909 -138.870379184515 0.674634413367046 0.17096174282678 0.0492077472146648 0.00198007839701125 0.0296669436291521 0.00710942607314259 0.985 0.846976690611246 752.8 0.015 1
"tree_8" 0.545454545454545 -20.6568300809138 0.868858014232464 0.338461538461538 0.000472753107374036 0.00062389244383037 6.17136351010312e-05 1.24682270870052e-15 1 1 380.25 0 1
"tree_9" 0.363636363636364 -80.2157702681262 0.771003310481454 0.226604454617484 0.138149713199361 0.0011320862175242 0.00273356033493019 5.11189986837115e-06 0.998 0.965948975312309 567.95 0.002 1
"tree_10" 0.454545454545455 -99.0956687291765 0.739983838594479 0.205115945493665 0.0136608363838983 0.00135935831598409 0.00657169673982095 0.000116934585779058 0.996 0.927653866090166 627.45 0.004 1
"tree_11" 0.363636363636364 -132.540060288751 0.685035059823267 0.175615746742171 0.138149713199361 0.00186659778108937 0.0239752549047059 0.00434234727916211 0.988 0.859816815468082 732.85 0.012 1
"tree_12" 0.409090909090909 -79.390766301761 0.772358783202565 0.227646590607588 0.0492077472146648 0.00112299891531337 0.00262338725958795 4.34808582021138e-06 0.998 0.967622375043025 565.35 0.002 1
"tree_13" 0.545454545454545 -52.5146755513247 0.816515913771081 0.267762405076459 0.000472753107374036 0.000861114627842795 0.000590446119607498 4.40468659864492e-09 1 1 480.65 0 1
"tree_14" 0.363636363636364 -65.4608916389021 0.79524541876287 0.246811774858567 0.138149713199361 0.000979317152656541 0.00125878114242102 1.89135805823759e-07 0.999 0.995877085880875 521.45 0.001 1
"tree_15" 0.363636363636364 -112.692368713311 0.717644605479238 0.192003580486349 0.138149713199361 0.00154806483824319 0.0115359131261926 0.000645369215158448 0.995 0.900074951297412 670.3 0.005 1
"tree_16" 0.363636363636364 -84.7850230049182 0.763496076949144 0.221001116167253 0.138149713199361 0.00118364714001117 0.0034177935627877 1.20139961314841e-05 0.998 0.956680915265269 582.35 0.002 1
"tree_17" 0.545454545454545 -49.4685070601301 0.821520736125955 0.273219403460355 0.000472753107374036 0.000835280038897779 0.00048834391896634 1.56560746604439e-09 1 1 471.05 0 1
"tree_18" 0.5 -85.5465651277169 0.762244871360426 0.22009405728944 0.00292051028123171 0.00119244676267548 0.00354489301763147 1.37617923769862e-05 0.998 0.955136238590763 584.75 0.002 1
"tree_19" 0.5 -52.6733301602411 0.816255245940098 0.267484152551179 0.00292051028123171 0.00086248010298652 0.00059623668151257 4.6404511225131e-09 1 1 481.15 0 1
"tree_20" 0.5 -28.5419641440584 0.85590282303261 0.317699333497902 0.00292051028123171 0.000676205395151479 0.000114878451090933 1.51131295578621e-13 1 1 405.1 0 1
"tree_21" 0.5 -36.3953672854196 0.842999765398952 0.29940676980342 0.00292051028123171 0.000732303669852981 0.00020408466120459 8.04934141236894e-12 1 1 429.85 0 1
"tree_22" 0.590909090909091 -40.8059654132952 0.835753199697625 0.290028169014085 5.65623839316078e-05 0.000765659885191085 0.000276976139385097 5.63017505187675e-11 1 1 443.75 0 1
"tree_23" 0.5 -88.5610026971283 0.757292182571749 0.21657551535549 0.00292051028123171 0.00122786946965778 0.00408808134882311 2.31524492334936e-05 0.998 0.949021893420841 594.25 0.002 1
"tree_24" 0.5 -37.9819133745835 0.840393087089122 0.295964125560538 0.00292051028123171 0.000744144949636133 0.000228093898502387 1.65599063748322e-11 1 1 434.85 0 1
"tree_25" 0.5 -61.4310645724258 0.801866381669838 0.252972972972973 0.00292051028123171 0.000941016685240349 0.00100274348953843 6.48524383781448e-08 1 1 508.75 0 1
"tree_26" 0.318181818181818 -162.113279390766 0.63644657612804 0.155801706918467 0.305251385262453 0.00245249412770577 0.0601382550126085 0.0303151167383543 0.968 0.799831871274741 826.05 0.032 1
"tree_27" 0.5 -46.1367602728859 0.826994760576597 0.27944848550646 0.00292051028123171 0.000807841267280501 0.000394574008490873 4.67806478264751e-10 1 1 460.55 0 1
"tree_28" 0.590909090909091 -36.776138346819 0.842374162604593 0.298573251362951 5.65623839316078e-05 0.000735129633190741 0.000209635707077703 9.5930041994269e-12 1 1 431.05 0 1
"tree_29" 0.454545454545455 -67.1426304934158 0.792482339754451 0.244328429046037 0.0136608363838983 0.000995719956210417 0.00138122027157797 2.8870527192336e-07 0.999 0.99246592489134 526.75 0.001 1
"tree_30" 0.409090909090909 -121.465968586387 0.703229674425879 0.184397163120567 0.0492077472146648 0.00168220344430122 0.0161392856326283 0.00161497251882272 0.991 0.882278988776533 697.95 0.00900000000000001 1
"tree_31" 0.5 -68.8878311914961 0.789614993613638 0.241803663691874 0.00292051028123171 0.00101300802545957 0.00151897579826799 4.41581450140088e-07 0.999 0.988926040845595 532.25 0.001 1
"tree_32" 0.5 -82.0561637315564 0.767979563642051 0.224313725490196 0.00292051028123171 0.00115260115491267 0.00299361330036378 7.27253230415929e-06 0.998 0.962216006682251 573.75 0.002 1
"tree_33" 0.363636363636364 -96.6841186736474 0.74394598962542 0.207630878438332 0.138149713199361 0.00132817106948103 0.00591345022564456 8.27749881990213e-05 0.996 0.932545342226103 619.85 0.004 1
"tree_34" 0.5 -50.2300491829287 0.820269530537236 0.271834407012356 0.00292051028123171 0.000841670969275478 0.000512310639705311 2.03994878989856e-09 1 1 473.45 0 1
"tree_35" 0.409090909090909 -128.732349674758 0.691291087766859 0.178539224526601 0.0492077472146648 0.00180121915061843 0.0209961850758882 0.00315058254998025 0.989 0.867540198840616 720.85 0.011 1
"tree_36" 0.545454545454545 -48.9290813898143 0.822407006751297 0.274209012464046 0.000472753107374036 0.000830780174910711 0.000471962608121417 1.29472177112128e-09 1 1 469.35 0 1
"tree_37" 0.454545454545455 -71.8229414564493 0.784792638740453 0.237673130193906 0.0136608363838983 0.00104270567459376 0.00177731601742546 8.75287109390834e-07 0.999 0.982972599495934 541.5 0.001 1
"tree_38" 0.5 -80.2475011899095 0.770951176915257 0.226564562978611 0.00292051028123171 0.00113243707079559 0.00273787528889308 5.143572824875e-06 0.998 0.965884613784205 568.05 0.002 1
"tree_39" 0.454545454545455 -40.8059654132952 0.835753199697625 0.290028169014085 0.0136608363838983 0.000765659885191085 0.000276976139385097 5.63017505187675e-11 1 1 443.75 0 1
"tree_40" 0.727272727272727 -9.66206568300807 0.886922294919584 0.372395833333333 1.03671604971669e-08 0.00055717021081375 2.37825033950513e-05 2.57464128283472e-19 1 1 345.6 0 1
"tree_41" 0.363636363636364 -103.664921465969 0.732476605062169 0.200514138817481 0.138149713199361 0.00142029152461683 0.00798754616509991 0.000216818148501376 0.996 0.918385806043126 641.85 0.004 1
"tree_42" 0.545454545454545 -72.9017927970807 0.783020097489769 0.236190126628739 0.000472753107374036 0.00105382079185081 0.00188130725092284 1.11524755827533e-06 0.999 0.980784307540383 544.9 0.001 1
"tree_43" 0.454545454545455 -145.057908932254 0.66446836795871 0.166645086106435 0.0136608363838983 0.00209701816713625 0.0362133123444759 0.0110111644400378 0.982 0.834426192630879 772.3 0.018 1
"tree_44" 0.545454545454545 -48.3579247977153 0.823345410942836 0.275264677574591 0.000472753107374036 0.000826039932321462 0.000455140309842642 1.05636136257263e-09 1 1 467.55 0 1
"tree_45" 0.590909090909091 -46.438204029827 0.82649949169773 0.27887323943662 5.65623839316078e-05 0.00081028925371888 0.000402358232313592 5.23646946963852e-10 1 1 461.5 0 1
"tree_46" 0.590909090909091 -23.9251150245914 0.863488256914214 0.329535270771988 5.65623839316078e-05 0.000645104706779642 8.0305740606504e-05 1.01768535876884e-14 1 1 390.55 0 1
"tree_47" 0.545454545454545 -42.5194351895922 0.832937987123009 0.286541244573082 0.000472753107374036 0.000778991660883378 0.000310890942644905 1.1416395840518e-10 1 1 449.15 0 1
"tree_48" 0.590909090909091 -15.992384578772 0.876521648463363 0.352072219942552 5.65623839316078e-05 0.000594732571113937 4.1736083183276e-05 4.56301359407818e-17 1 1 365.55 0 1
"tree_49" 0.545454545454545 -51.0391876884023 0.818940124599223 0.270378151260504 0.000472753107374036 0.000848510596628554 0.000538888403788387 2.69026505363218e-09 1 1 476 0 1
"tree_50" 0.5 -72.1243852133904 0.784297369861585 0.237256890035948 0.00292051028123171 0.00104580049397358 0.00180586371485348 9.37047408673978e-07 0.999 0.982361164978942 542.45 0.001 1
"tree_51" 0.454545454545455 -86.244645406949 0.7610979329041 0.219269102990033 0.0136608363838983 0.00120056565285537 0.00366490021133012 1.55617442515342e-05 0.998 0.953720284972465 586.95 0.002 1
"tree_52" 0.454545454545455 -21.0851975249881 0.86815421108881 0.337264150943396 0.0136608363838983 0.000626635535546604 6.3912014513555e-05 1.65773419312801e-15 1 1 381.6 0 1
"tree_53" 0.545454545454545 -40.3617325083293 0.836483069624378 0.290946083418108 0.000472753107374036 0.000762237970691714 0.000268729026498278 4.6672812643649e-11 1 1 442.35 0 1
"tree_54" 0.454545454545455 -84.2614627954942 0.764356280791388 0.221629068365765 0.0136608363838983 0.00117763193064012 0.00333267423619768 1.09313173910501e-05 0.998 0.957742880478993 580.7 0.002 1
"tree_55" 0.409090909090909 -101.856258924322 0.735448218335375 0.202310775760434 0.0492077472146648 0.001395879969218 0.00739942359432638 0.000170763100678007 0.996 0.922054413145079 636.15 0.004 1
"tree_56" 0.409090909090909 -81.4374107567825 0.768996168182885 0.22507869884575 0.0492077472146648 0.00114566620139414 0.00290392946031266 6.46801112689769e-06 0.998 0.963471056480288 571.8 0.002 1
"tree_57" 0.5 -96.5889259082976 0.74410239032401 0.207731417964652 0.00292051028123171 0.00132695351882964 0.00588864643800188 8.16300180220154e-05 0.996 0.932738426810417 619.55 0.004 1
"tree_58" 0.363636363636364 -130.128510233222 0.688997210854209 0.177456049638056 0.138149713199361 0.00182494553618866 0.022051835301063 0.00355178602006527 0.989 0.86470829160402 725.25 0.011 1
