"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.0666666666666667 1.28446959489773 0.0362595419847328 0.08098271155596 0.995015922246451 0.0164843038263228 0.999945114544938 0.995495691439444 0.139 0.390749671135424 109.9 0.861 1
"tree_2" 0.333333333333333 28.68049941615 0.327290076335878 0.112090680100756 0.201017568318736 0.0059725690779128 0.809112547702097 0.947904187587111 0.719 0.669016916616399 79.4000000000003 0.281 1
"tree_3" 0.133333333333333 13.8596963980955 0.169847328244275 0.0928050052137644 0.932067682042043 0.0105138630492579 0.985949256202092 0.986773768213121 0.363 0.518478898569314 95.9000000000003 0.637 1
"tree_4" 0.2 17.2729722446777 0.206106870229008 0.0966340933767644 0.734129649381194 0.00926155333318578 0.968754416313537 0.982019367499507 0.447 0.55314826030137 92.1000000000003 0.553 1
"tree_5" 0.2 27.5127997844244 0.314885496183206 0.110285006195787 0.734129649381194 0.00625346492068543 0.83394774918041 0.953376415487825 0.69 0.657156345497537 80.7000000000003 0.31 1
"tree_6" 0.333333333333333 35.4172280607201 0.398854961832061 0.123783031988873 0.201017568318736 0.00456000894195153 0.633256545155787 0.900809101131016 0.844 0.737443288455982 71.9000000000003 0.156 1
"tree_7" 0.2 16.1052726129522 0.193702290076336 0.0952890792291221 0.734129649381194 0.00967444643414368 0.975809385122185 0.983823294695582 0.41 0.541287689182508 93.4000000000003 0.59 1
"tree_8" 0.266666666666667 27.5127997844244 0.314885496183206 0.110285006195787 0.445925909713728 0.00625346492068543 0.83394774918041 0.953376415487825 0.69 0.657156345497537 80.7000000000003 0.31 1
"tree_9" 0.4 36.5849276924457 0.411259541984733 0.126062322946176 0.0661214688908907 0.0043480726068706 0.598666725467797 0.889105908298782 0.862 0.749303859574844 70.6000000000003 0.138 1
"tree_10" 0.0666666666666667 5.86544507320548 0.0849236641221375 0.0849236641221374 0.995015922246451 0.0140379931671604 0.999099950244697 0.993398796028293 0.208 0.437279603986341 104.8 0.792 1
"tree_11" 0.266666666666667 28.68049941615 0.327290076335878 0.112090680100756 0.445925909713728 0.0059725690779128 0.809112547702097 0.947904187587111 0.719 0.669016916616399 79.4000000000003 0.281 1
"tree_12" 0.133333333333333 19.1592562651573 0.226145038167938 0.0988888888888888 0.932067682042043 0.00862711390121925 0.954315448505067 0.97864082959921 0.492 0.572307644416452 90.0000000000004 0.508 1
"tree_13" 0.2 21.8539477229855 0.254770992366412 0.102298850574713 0.734129649381194 0.00778697901516994 0.92618959930452 0.972606705987474 0.566 0.599678193152287 87.0000000000003 0.434 1
"tree_14" 0.2 12.6021737177757 0.15648854961832 0.091469681397739 0.734129649381194 0.0110111165208691 0.989977323999719 0.988170653170581 0.328 0.505705975825925 97.3000000000004 0.672 1
"tree_15" 0.333333333333333 32.0937752627322 0.363549618320611 0.117724867724868 0.201017568318736 0.00521456467472763 0.72613495961581 0.927833223361331 0.778 0.703686278348454 75.6000000000003 0.222 1
"tree_16" 0.133333333333333 9.18889787119344 0.120229007633588 0.0880316518298714 0.932067682042043 0.0124652310740018 0.996561423538056 0.991225007730936 0.258 0.471036614093869 101.1 0.742 1
"tree_17" 0.333333333333333 26.2552771041046 0.301526717557252 0.108404384896468 0.201017568318736 0.00656899226053879 0.858500619893554 0.95861170971723 0.657 0.644383422754148 82.1000000000003 0.343 1
"tree_18" 0.266666666666667 25.2672235695677 0.291030534351145 0.106971153846154 0.445925909713728 0.0068267001387458 0.876163448509789 0.962296619968915 0.63 0.634347554884343 83.2000000000003 0.37 1
"tree_19" 0.266666666666667 20.5964250426657 0.241412213740458 0.100678733031674 0.445925909713728 0.00816964097376982 0.940487737117496 0.975619482334678 0.53 0.586905270408898 88.4000000000003 0.47 1
"tree_20" 0.2 17.2729722446777 0.206106870229008 0.0966340933767644 0.734129649381194 0.00926155333318578 0.968754416313537 0.982019367499507 0.447 0.55314826030137 92.1000000000003 0.553 1
"tree_21" 0.0666666666666667 1.28446959489773 0.0362595419847328 0.08098271155596 0.995015922246451 0.0164843038263228 0.999945114544938 0.995495691439444 0.139 0.390749671135424 109.9 0.861 1
"tree_22" 0.266666666666667 29.8481990478755 0.33969465648855 0.113956466069142 0.445925909713728 0.00570291732043277 0.782392988635137 0.941771998223839 0.742 0.68087748773526 78.1000000000003 0.258 1
"tree_23" 0.4 40.0880265876222 0.448473282442748 0.133433283358321 0.0661214688908907 0.00376408348756042 0.492156815775026 0.845396567400243 0.907 0.784885572931427 66.7000000000002 0.093 1
"tree_24" 0.333333333333333 22.8420012575224 0.265267175572519 0.10360884749709 0.201017568318736 0.00749747064254271 0.913432126285675 0.969966613188774 0.582 0.609714061022092 85.9000000000003 0.418 1
"tree_25" 0.133333333333333 12.5123506691814 0.155534351145038 0.0913757700205339 0.932067682042043 0.0110474048953438 0.990226336921957 0.988264213689068 0.326 0.504793624201397 97.4000000000004 0.674 1
"tree_26" 0.266666666666667 31.8243061169493 0.360687022900763 0.117259552042161 0.445925909713728 0.00527113322549897 0.733199404656809 0.929670131182195 0.772 0.70094922347487 75.9000000000003 0.228 1
"tree_27" 0.266666666666667 20.5964250426657 0.241412213740458 0.100678733031674 0.445925909713728 0.00816964097376982 0.940487737117496 0.975619482334678 0.53 0.586905270408898 88.4000000000003 0.47 1
"tree_28" 0.133333333333333 15.8358034671693 0.190839694656488 0.0949839914621131 0.932067682042043 0.00977198288010166 0.977252364354317 0.984211662450355 0.403 0.538550634308924 93.7000000000004 0.597 1
"tree_29" 0.133333333333333 12.69199676637 0.157442748091603 0.0915637860082305 0.932067682042043 0.0109749318849797 0.989723429836656 0.988076295420934 0.33 0.506618327450453 97.2000000000003 0.67 1
"tree_30" 0.133333333333333 12.69199676637 0.157442748091603 0.0915637860082305 0.932067682042043 0.0109749318849797 0.989723429836656 0.988076295420934 0.33 0.506618327450453 97.2000000000003 0.67 1
"tree_31" 0.266666666666667 19.4287254109402 0.229007633587786 0.0992196209587514 0.445925909713728 0.00853966422073402 0.951917998000518 0.978105918623873 0.499 0.575044699290036 89.7000000000003 0.501 1
"tree_32" 0.2 16.0154495643579 0.192748091603053 0.0951871657754011 0.734129649381194 0.00970686363878377 0.976297775954955 0.983953866005761 0.409 0.540375337557981 93.5000000000003 0.591 1
"tree_33" 0.466666666666667 45.6570556004669 0.507633587786259 0.147107438016529 0.0156142884396602 0.0029794073591459 0.328337940968533 0.741833983219489 0.949 0.84145137365215 60.5000000000002 0.051 1
"tree_34" 0.466666666666667 43.2318332884216 0.481870229007633 0.140822784810127 0.0156142884396602 0.00330095191674602 0.397528270927376 0.792814658005255 0.935 0.816817879789899 63.2000000000003 0.0649999999999999 1
"tree_35" 0.2 17.1831491960834 0.205152671755725 0.096529284164859 0.734129649381194 0.00929275770868695 0.969345385997993 0.982165430171453 0.44 0.552235908676842 92.2000000000003 0.56 1
"tree_36" 0.466666666666667 44.5791790173357 0.49618320610687 0.144246353322528 0.0156142884396602 0.00311865995711488 0.35852500527831 0.765700037983024 0.942 0.830503154157817 61.7000000000002 0.0580000000000001 1
"tree_37" 0.266666666666667 25.1774005209734 0.290076335877863 0.106842737094838 0.445925909713728 0.00685056516378165 0.877697666839749 0.962614292541275 0.629 0.633435203259815 83.3000000000003 0.371 1
"tree_38" 0.333333333333333 27.4229767358302 0.313931297709923 0.110148514851485 0.201017568318736 0.00627554918792757 0.835777728900396 0.953772075781816 0.688 0.656243993873009 80.8000000000003 0.312 1
"tree_39" 0.266666666666667 31.8243061169493 0.360687022900763 0.117259552042161 0.445925909713728 0.00527113322549897 0.733199404656809 0.929670131182195 0.772 0.70094922347487 75.9000000000003 0.228 1
"tree_40" 0.4 39.9083804904336 0.446564885496183 0.133034379671151 0.0661214688908907 0.00379222823694877 0.497645554056946 0.847990136437274 0.906 0.783060869682371 66.9000000000003 0.094 1
"tree_41" 0.2 21.8539477229855 0.254770992366412 0.102298850574713 0.734129649381194 0.00778697901516994 0.92618959930452 0.972606705987474 0.566 0.599678193152287 87.0000000000003 0.434 1
"tree_42" 0.4 39.9982035390279 0.447519083969466 0.133233532934132 0.0661214688908907 0.00377813236494237 0.494900786330577 0.846698516377165 0.907 0.783973221306899 66.8000000000002 0.093 1
"tree_43" 0.466666666666667 38.8305039073024 0.435114503816794 0.130690161527166 0.0156142884396602 0.00396509376226481 0.530601369647926 0.862707598292974 0.891 0.772112650188038 68.1000000000003 0.109 1
"tree_44" 0.333333333333333 27.4229767358302 0.313931297709923 0.110148514851485 0.201017568318736 0.00627554918792757 0.835777728900396 0.953772075781816 0.688 0.656243993873009 80.8000000000003 0.312 1
"tree_45" 0.333333333333333 36.67475074104 0.412213740458015 0.126241134751773 0.201017568318736 0.00433214036705268 0.595976658163005 0.888151631942751 0.865 0.750216211199372 70.5000000000002 0.135 1
"tree_46" 0.2 22.7521782089281 0.264312977099236 0.103488372093023 0.734129649381194 0.0075233920528326 0.914648758563606 0.970217270701033 0.579 0.608801709397564 86.0000000000003 0.421 1
"tree_47" 0.533333333333333 59.3999820353901 0.653625954198473 0.196902654867257 0.00257776619208293 0.001634125917714 0.0655982321598089 0.278824399087765 0.998 0.981041172204901 45.2000000000002 0.002 1
"tree_48" 0.266666666666667 20.5964250426657 0.241412213740458 0.100678733031674 0.445925909713728 0.00816964097376982 0.940487737117496 0.975619482334678 0.53 0.586905270408898 88.4000000000003 0.47 1
"tree_49" 0.133333333333333 12.5123506691814 0.155534351145038 0.0913757700205339 0.932067682042043 0.0110474048953438 0.990226336921957 0.988264213689068 0.326 0.504793624201397 97.4000000000004 0.674 1
"tree_50" 0.2 17.1831491960834 0.205152671755725 0.096529284164859 0.734129649381194 0.00929275770868695 0.969345385997993 0.982165430171453 0.44 0.552235908676842 92.2000000000003 0.56 1
"tree_51" 0.0666666666666667 8.11102128806222 0.108778625954198 0.0869990224828935 0.995015922246451 0.0129577147728302 0.997684868541082 0.992004229238386 0.238 0.460088394599535 102.3 0.762 1
"tree_52" 0.2 24.0995239378422 0.278625954198473 0.105325443786982 0.734129649381194 0.00714274520588375 0.895180372586556 0.96621652264134 0.603 0.622486983765481 84.5000000000003 0.397 1
"tree_53" 0.333333333333333 35.3274050121259 0.397900763358778 0.123611111111111 0.201017568318736 0.0045766875012605 0.635884036701568 0.901657308432874 0.843 0.736530936831454 72.0000000000003 0.157 1
"tree_54" 0.133333333333333 13.8596963980955 0.169847328244275 0.0928050052137644 0.932067682042043 0.0105138630492579 0.985949256202092 0.986773768213121 0.363 0.518478898569314 95.9000000000003 0.637 1
"tree_55" 0.133333333333333 13.8596963980955 0.169847328244275 0.0928050052137644 0.932067682042043 0.0105138630492579 0.985949256202092 0.986773768213121 0.363 0.518478898569314 95.9000000000003 0.637 1
"tree_56" 0.266666666666667 26.1654540555104 0.300572519083969 0.108272506082725 0.445925909713728 0.00659205949031185 0.860165837869954 0.958961605971867 0.655 0.64347107112962 82.2000000000003 0.345 1
"tree_57" 0.2 15.9256265157636 0.191793893129771 0.0950854700854701 0.734129649381194 0.0097393757118797 0.976778746442846 0.984083318605674 0.406 0.539462985933453 93.6000000000004 0.594 1
"tree_58" 0.2 26.0756310069161 0.299618320610686 0.108140947752126 0.734129649381194 0.00661519831204455 0.86181917465525 0.959308442554903 0.653 0.642558719505092 82.3000000000004 0.347 1
"tree_59" 0.0666666666666667 4.69774544147997 0.0725190839694656 0.0838831291234685 0.995015922246451 0.014629803668866 0.9994930287119 0.9940183075092 0.192 0.42541903286748 106.1 0.808 1
"tree_60" 0.4 39.9982035390279 0.447519083969466 0.133233532934132 0.0661214688908907 0.00377813236494237 0.494900786330577 0.846698516377165 0.907 0.783973221306899 66.8000000000002 0.093 1
"tree_61" 0.4 41.2557262193477 0.46087786259542 0.136085626911315 0.0661214688908907 0.00358566367441771 0.456611683109991 0.827501537981152 0.919 0.796746144050289 65.4000000000002 0.081 1
"tree_62" 0.2 17.2729722446777 0.206106870229008 0.0966340933767644 0.734129649381194 0.00926155333318578 0.968754416313537 0.982019367499507 0.447 0.55314826030137 92.1000000000003 0.553 1
"tree_63" 0.333333333333333 28.5906763675557 0.326335877862595 0.111949685534591 0.201017568318736 0.00599377232211085 0.811091005880284 0.948347622134032 0.716 0.668104564991871 79.5000000000003 0.284 1
"tree_64" 0.4 41.1659031707534 0.459923664122137 0.13587786259542 0.0661214688908907 0.00359911377782907 0.459334524141511 0.828943715845884 0.917 0.795833792425761 65.5000000000002 0.083 1
"tree_65" 0.4 41.2557262193477 0.46087786259542 0.136085626911315 0.0661214688908907 0.00358566367441771 0.456611683109991 0.827501537981152 0.919 0.796746144050289 65.4000000000002 0.081 1
"tree_66" 0.2 17.1831491960834 0.205152671755725 0.096529284164859 0.734129649381194 0.00929275770868695 0.969345385997993 0.982165430171453 0.44 0.552235908676842 92.2000000000003 0.56 1
"tree_67" 0.2 17.2729722446777 0.206106870229008 0.0966340933767644 0.734129649381194 0.00926155333318578 0.968754416313537 0.982019367499507 0.447 0.55314826030137 92.1000000000003 0.553 1
"tree_68" 0.266666666666667 16.1052726129522 0.193702290076336 0.0952890792291221 0.445925909713728 0.00967444643414368 0.975809385122185 0.983823294695582 0.41 0.541287689182508 93.4000000000003 0.59 1
"tree_69" 0.466666666666667 43.4114793856101 0.483778625954198 0.141269841269841 0.0156142884396602 0.0032761050999381 0.392256874486629 0.789367954586422 0.935 0.818642583038955 63.0000000000002 0.0649999999999999 1
"tree_70" 0.266666666666667 30.9260756310067 0.351145038167939 0.115734720416125 0.445925909713728 0.00546365767165045 0.756148784675723 0.935458927445994 0.756 0.691825707229593 76.9000000000003 0.244 1
"tree_71" 0.333333333333333 32.0039522141379 0.362595419847328 0.117569352708058 0.201017568318736 0.00523336055305899 0.728498674790085 0.92845083952296 0.777 0.702773926723926 75.7000000000003 0.223 1
"tree_72" 0.2 17.2729722446777 0.206106870229008 0.0966340933767644 0.734129649381194 0.00926155333318578 0.968754416313537 0.982019367499507 0.447 0.55314826030137 92.1000000000003 0.553 1
"tree_73" 0.2 20.5066019940714 0.240458015267175 0.100564971751412 0.734129649381194 0.0081975956943288 0.941428661965029 0.975820910324109 0.529 0.58599291878437 88.5000000000003 0.471 1
