"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.4 -80.523521874428 0.8864010711667 0.458020685459339 0.179010522578623 0.00713199793851441 0.0102321546428857 6.48574458225152e-05 1 1 197.24 0 1
"tree_2" 0.466666666666667 -91.3509060955519 0.873829739753249 0.432104079973215 0.0501787391622133 0.0075512792026681 0.0139634482769242 0.000247653942798741 1 1 209.07 0 1
"tree_3" 0.666666666666667 -44.8288486179755 0.927845020881375 0.570904954499494 6.42817432839916e-05 0.00589156889683257 0.00288323715997702 5.22564984695647e-08 1 1 158.24 0 1
"tree_4" 0.533333333333333 -52.9104887424492 0.918461685599821 0.540731429939546 0.00912269591379832 0.00615430220105937 0.00400011847216542 4.36214868937982e-07 1 1 167.07 0 1
"tree_5" 0.333333333333333 -87.5983891634633 0.878186667800176 0.440747426452651 0.430724910475836 0.00740357059282083 0.0125750350478917 0.000160250819775891 1 1 204.97 0 1
"tree_6" 0.533333333333333 -82.8390993959363 0.883712527762133 0.45222005306102 0.00912269591379832 0.00721989911126494 0.0109607870952629 8.83351493973324e-05 1 1 199.77 0 1
"tree_7" 0.533333333333333 -79.0865824638477 0.88806945580906 0.461695712168447 0.00912269591379832 0.00707792651857739 0.00979802293309348 5.31821504963043e-05 1 1 195.67 0 1
"tree_8" 0.466666666666667 -82.0153761669413 0.884668926601702 0.45426660632574 0.0501787391622133 0.00718852103781 0.0106974305724757 7.92603894551791e-05 1 1 198.87 0 1
"tree_9" 0.466666666666667 -74.8764415156507 0.892957716544637 0.472811011671115 0.0501787391622133 0.0069215776665004 0.00860280629448139 2.88015843699859e-05 1 1 191.07 0 1
"tree_10" 0.4 -84.7611202635915 0.881480930469804 0.447515727943726 0.179010522578623 0.00729358477832622 0.0115934683878399 0.000113050528444893 1 1 201.87 0 1
"tree_11" 0.533333333333333 -69.9341021416804 0.898696109582054 0.486562180212204 0.00912269591379832 0.00674193525139937 0.00733896024941494 1.31221137398065e-05 1 1 185.67 0 1
"tree_12" 0.466666666666667 -86.5916163280249 0.879355599715206 0.443125521165448 0.0501787391622133 0.00736437719305567 0.0122201402787052 0.000141876579945349 1 1 203.87 0 1
"tree_13" 0.533333333333333 -56.6630056745378 0.914104757552894 0.527779400595899 0.00912269591379832 0.00627978660569899 0.00461341011053787 1.03073456211287e-06 1 1 171.17 0 1
"tree_14" 0.466666666666667 -74.3272926963207 0.893595315771017 0.47430041476348 0.0501787391622133 0.00690141082084963 0.00845511592479981 2.64896886101089e-05 1 1 190.47 0 1
"tree_15" 0.6 -56.4799560680945 0.914317290628354 0.528396794759314 0.00101919656720786 0.00627361325499506 0.00458200155353502 9.90006638509827e-07 1 1 170.97 0 1
"tree_16" 0.733333333333333 -58.7131612667033 0.911724387107744 0.520961882244392 1.98893902507169e-06 0.00634929646376526 0.00497599106759361 1.60163433669006e-06 1 1 173.41 0 1
"tree_17" 0.466666666666667 -77.073036792971 0.890407319639119 0.466945779707448 0.0501787391622133 0.00700276632888589 0.00921233519040529 3.99046996580602e-05 1 1 193.47 0 1
"tree_18" 0.266666666666667 -106.360973823906 0.85640202756554 0.400674147336674 0.728675365486816 0.00816838403540854 0.0206317543747009 0.00109557204346547 1 1 225.47 0 1
