"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 74.9 315.4 440.4 115.8 0.625 -321.09479305741 0.385089340727049 0.36715282181357 0.816066194535555 0.570175404334364 0.548042367058972 0.629555589195794 0.444 0.425604358188628 0.561 1
"tree_2" 74.9 146.7 440.4 115.8 0.375 -95.8611481975967 0.904805914972274 0.789366053169734 0.998408836118497 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_3" 74.9 181.9 440.4 115.8 0.625 -142.857142857143 0.796364756623537 0.636613523914239 0.816066194535555 0.024911461532529 0.0281559239412045 0.00516742185363638 0.982 0.880149812734082 0.018 1
"tree_4" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_5" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
"tree_6" 74.9 146.1 440.4 115.8 0.625 -95.060080106809 0.906654343807763 0.792607802874743 0.816066194535555 0.00562399679681728 0.00405624876768428 5.10017014705929e-06 1 1 0 1
"tree_7" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
"tree_8" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_9" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_10" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_11" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_12" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_13" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
"tree_14" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
"tree_15" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_16" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_17" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_18" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_19" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_20" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_21" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_22" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_23" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_24" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_25" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_26" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_27" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_28" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_29" 74.9 160.3 440.4 115.8 0.5 -114.018691588785 0.862908194701171 0.722395508421709 0.972886228173577 0.0105147736254396 0.0100348213907555 0.000198793909791162 0.995 0.953694245829077 0.005 1
"tree_30" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_31" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_32" 74.9 169.5 440.4 115.8 0.5 -126.30173564753 0.83456561922366 0.683185840707965 0.972886228173577 0.0153826600478 0.0161948872615693 0.00101339323382289 0.992 0.922369765066394 0.00800000000000001 1
"tree_33" 74.9 140.5 440.4 115.8 0.5 -87.5834445927903 0.923906346272335 0.824199288256228 0.972886228173577 0.00433760461668095 0.00261388404258029 6.52155362877493e-07 1 1 0 1
"tree_34" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_35" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
"tree_36" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_37" 74.9 146.7 440.4 115.8 0.5 -95.8611481975967 0.904805914972274 0.789366053169734 0.972886228173577 0.00578017407832087 0.00423753204848876 6.19578812047797e-06 1 1 0.001 1
"tree_38" 74.9 196.1 440.4 115.8 0.625 -161.815754339119 0.752618607516944 0.590515043345232 0.816066194535555 0.0414558218152568 0.0481402910295484 0.0196078761186135 0.959 0.831801157643854 0.041 1
"tree_39" 74.9 167.1 440.4 115.8 0.625 -123.097463284379 0.841959334565619 0.692998204667863 0.816066194535555 0.013955454295174 0.0143856458846062 0.0006903465357431 0.993 0.930541368743616 0.00700000000000001 1
"tree_40" 74.9 147.3 440.4 115.8 0.5 -96.6622162883845 0.902957486136784 0.786150712830957 0.972886228173577 0.00594018794627594 0.00442436439471935 7.49410874204432e-06 0.999 0.997957099080695 0.001 1
"tree_41" 74.9 139.9 440.4 115.8 0.5 -86.7823765020026 0.925754775107825 0.827734095782702 0.972886228173577 0.00421672355569494 0.00248420122375182 5.07876372220584e-07 1 1 0 1
