"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.416666666666667 -389.817232375979 0.78118140091798 0.415511727078891 0.0649163516286225 0.0198367502023385 0.0515992224440009 0.0184623557676548 0.957 0.871284962170149 375.2 0.043 1
"tree_2" 0.5 -273.759791122715 0.869886250249451 0.544533705902899 0.0122598328059935 0.0156569755321807 0.0137167343008377 0.000220714315628831 0.998 0.967671950711657 286.3 0.002 1
"tree_3" 0.5 -280.939947780679 0.864398323687887 0.534270047978067 0.0122598328059935 0.015891651305327 0.0151646970509187 0.000336319002505625 0.998 0.96170875119559 291.8 0.002 1
"tree_4" 0.5 -223.107049608355 0.908601077629216 0.62989898989899 0.0122598328059935 0.0140844019931335 0.00607099466686902 3.89332403498108e-06 1 1 247.5 0 1
"tree_5" 0.25 -488.903394255874 0.705448014368389 0.345599645311461 0.518613046372509 0.0241209039523914 0.114177077160688 0.0981544133856532 0.883 0.788992808848435 451.1 0.117 1
"tree_6" 0.416666666666667 -482.114882506527 0.710636599481141 0.34962996187486 0.0649163516286225 0.0238044281516733 0.108879210980859 0.0903201004978448 0.89 0.794630742936352 445.9 0.11 1
"tree_7" 0.583333333333333 -338.381201044386 0.82049491119537 0.464264443120905 0.00142713068377235 0.0178799518960694 0.030708750658343 0.00429231364784833 0.986 0.91400315506706 335.8 0.014 1
"tree_8" 0.666666666666667 -502.610966057441 0.694971063659948 0.337738301559792 9.24506216034698e-05 0.0247707231845623 0.125339929449341 0.114918599480932 0.863 0.777608518863218 461.6 0.137 1
"tree_9" 0.583333333333333 -274.151436031331 0.869586908800639 0.543963712491277 0.00142713068377235 0.0156696989290413 0.0137931559761882 0.00022601409442919 0.998 0.967346685283508 286.6 0.002 1
"tree_10" 0.666666666666667 -255.09138381201 0.884154859309519 0.573161764705882 9.24506216034698e-05 0.0150606887689395 0.0104009986879648 6.35988854602314e-05 0.998 0.983176269453429 272 0.002 1
"tree_11" 0.416666666666667 -315.404699738903 0.838056276192377 0.489943431803897 0.0649163516286225 0.0170605208978809 0.0235933087932303 0.00179811936640114 0.994 0.933085393518472 318.2 0.00600000000000001 1
"tree_12" 0.5 -417.493472584856 0.760027938535222 0.393289606458123 0.0122598328059935 0.0209628763647645 0.0659688871384542 0.0331045367463548 0.93 0.848299538580948 396.4 0.07 1
"tree_13" 0.333333333333333 -488.511749347258 0.705747355817202 0.345829636202307 0.223933660362458 0.0241025501393661 0.11386728596153 0.0976937761760335 0.883 0.789318074276584 450.8 0.117 1
"tree_14" 0.416666666666667 -389.817232375979 0.78118140091798 0.415511727078891 0.0649163516286225 0.0198367502023385 0.0515992224440009 0.0184623557676548 0.957 0.871284962170149 375.2 0.043 1
"tree_15" 0.583333333333333 -246.083550913838 0.891039712632209 0.588079969822708 0.00142713068377235 0.0147800199274593 0.00901853112635466 3.1878290943804e-05 0.998 0.990657374300858 265.1 0.002 1
"tree_16" 0.5 -246.083550913838 0.891039712632209 0.588079969822708 0.0122598328059935 0.0147800199274593 0.00901853112635466 3.1878290943804e-05 0.998 0.990657374300858 265.1 0.002 1
