"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.4 -359.960663107614 0.80582026847013 0.421197312156384 0.102763240091656 0.0208184047985845 0.0146992264832628 0.000104302492355652 0.999 0.980773477912608 327.4 0.001 1
"tree_2" 0.4 -443.832537229559 0.744645967824572 0.35623869801085 0.102763240091656 0.0237301185066566 0.0329144205003069 0.00319648144109484 0.984 0.909845459150057 387.1 0.016 1
"tree_3" 0.2 -515.341388030345 0.692488984527103 0.314840182648402 0.620160278893647 0.0264761809122201 0.0579775621615153 0.0186958105274075 0.962 0.849372491729389 438 0.038 1
"tree_4" 0.3 -366.985108176454 0.80069679270417 0.414861612515042 0.301941020790064 0.0210500725701525 0.0158412740299861 0.000150848974147189 0.998 0.974833107831993 332.4 0.002 1
"tree_5" 0.3 -419.808935094127 0.762168254944154 0.372702702702703 0.301941020790064 0.0228630586685021 0.026599130525637 0.00144756912699862 0.99 0.930161524825763 370 0.01 1
"tree_6" 0.5 -392.694577128407 0.781944871400758 0.393213572854291 0.0237502201124789 0.0219166645961858 0.0205758108122174 0.000502408744768782 0.995 0.953091353336939 350.7 0.005 1
"tree_7" 0.3 -456.336049452093 0.735526180961164 0.348232323232323 0.301941020790064 0.0241922290939759 0.0365941559115045 0.00461289734986806 0.981 0.899271600406561 396 0.019 1
"tree_8" 0.3 -343.101994942399 0.818116610308433 0.437222574508561 0.301941020790064 0.0202711949566963 0.0122038259827859 3.96312025266861e-05 0.999 0.995030366106086 315.4 0.001 1
"tree_9" 0.4 -325.681371171677 0.830822830208013 0.455115511551155 0.102763240091656 0.0197186041871391 0.00996524960667183 1.26835779081174e-05 1 1 303 0 1
"tree_10" 0.3 -409.131778589491 0.769955938108413 0.380518763796909 0.301941020790064 0.0224863537738613 0.0240935814714863 0.000976258632220848 0.992 0.939190887348299 362.4 0.00800000000000001 1
"tree_11" 0.5 -332.98679404327 0.825494415411415 0.447436729396496 0.0237502201124789 0.0199487591346453 0.0108638637157625 2.08407140489369e-05 1 1 308.2 0 1
"tree_12" 0.3 -392.835066029783 0.781842401885439 0.393101482326112 0.301941020790064 0.0219214816071912 0.0206041957058256 0.000505431590238552 0.995 0.952972545935327 350.8 0.005 1
"tree_13" 0.3 -419.808935094127 0.762168254944154 0.372702702702703 0.301941020790064 0.0228630586685021 0.026599130525637 0.00144756912699862 0.99 0.930161524825763 370 0.01 1
