"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.333333333333333 -351.053283767038 0.572610674389739 0.432417582417582 0.279947791887086 0.0163397560398825 0.114905113237502 0.122987822228135 0.914 0.68186994657834 182 0.086 1
"tree_2" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_3" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_4" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_5" 0.333333333333333 -285.377942998761 0.682250724038064 0.506109324758842 0.279947791887086 0.0130641439720751 0.0442031471067912 0.0192946568389779 0.971 0.797239806066037 155.5 0.029 1
"tree_6" 0.333333333333333 -285.377942998761 0.682250724038064 0.506109324758842 0.279947791887086 0.0130641439720751 0.0442031471067912 0.0192946568389779 0.971 0.797239806066037 155.5 0.029 1
"tree_7" 0.333333333333333 -392.193308550186 0.503930492345883 0.396273917421954 0.279947791887086 0.0187313380526736 0.185177364546775 0.239121612230871 0.861 0.609600525163406 198.6 0.139 1
"tree_8" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_9" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_10" 0.5 -267.534076827757 0.712039718659495 0.53068105192178 0.078926115492411 0.0122788242772179 0.0323492571855229 0.00887465691789546 0.98 0.828585579209864 148.3 0.02 1
"tree_11" 0.333333333333333 -285.377942998761 0.682250724038064 0.506109324758842 0.279947791887086 0.0130641439720751 0.0442031471067912 0.0192946568389779 0.971 0.797239806066037 155.5 0.029 1
"tree_12" 0.333333333333333 -392.193308550186 0.503930492345883 0.396273917421954 0.279947791887086 0.0187313380526736 0.185177364546775 0.239121612230871 0.861 0.609600525163406 198.6 0.139 1
"tree_13" 0.333333333333333 -316.35687732342 0.630533719486967 0.468452380952381 0.279947791887086 0.0145308591959046 0.071763966737945 0.0542021748485351 0.949 0.74282006102467 168 0.051 1
"tree_14" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_15" 0.5 -191.697645600991 0.838642945800579 0.668649107901444 0.078926115492411 0.00938031698176485 0.00579139877618788 1.99619555337686e-05 0.997 0.961805115071129 117.7 0.003 1
"tree_16" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_17" 0.5 -298.513011152416 0.660322714108399 0.489427860696517 0.078926115492411 0.0136696273078558 0.0547355577403072 0.0311972386531866 0.966 0.774165834168498 160.8 0.034 1
"tree_18" 0.333333333333333 -358.488228004957 0.560198593297476 0.425405405405405 0.279947791887086 0.0167515270463179 0.126014711704981 0.141612733192018 0.907 0.668809207768412 185 0.093 1
"tree_19" 0.333333333333333 -358.488228004957 0.560198593297476 0.425405405405405 0.279947791887086 0.0167515270463179 0.126014711704981 0.141612733192018 0.907 0.668809207768412 185 0.093 1
"tree_20" 0.333333333333333 -392.193308550186 0.503930492345883 0.396273917421954 0.279947791887086 0.0187313380526736 0.185177364546775 0.239121612230871 0.861 0.609600525163406 198.6 0.139 1
"tree_21" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
"tree_22" 0.333333333333333 -392.193308550186 0.503930492345883 0.396273917421954 0.279947791887086 0.0187313380526736 0.185177364546775 0.239121612230871 0.861 0.609600525163406 198.6 0.139 1
"tree_23" 0.5 -340.644361833953 0.589987587918908 0.442632170978628 0.078926115492411 0.015777858437214 0.100487395050595 0.0990942142737205 0.924 0.700154980912239 177.8 0.076 1
"tree_24" 0.333333333333333 -316.35687732342 0.630533719486967 0.468452380952381 0.279947791887086 0.0145308591959046 0.071763966737945 0.0542021748485351 0.949 0.74282006102467 168 0.051 1
"tree_25" 0.166666666666667 -410.03717472119 0.474141497724452 0.382410106899903 0.643745966218361 0.0198578060092614 0.22244961202477 0.296539664087416 0.818 0.578254752019578 205.8 0.182 1
