"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 292.41 1435.62 2406.89 128.7 0.75 -390.961321432235 0.426334063445103 0.0896476783549965 0.417824279530303 0.682525193104584 0.675719150705178 0.716118009802031 0.307 0.446835615815096 0.693 1
"tree_2" 292.41 498.64 2406.89 128.7 0.708333333333333 -70.5276837317465 0.83761670448909 0.258102037542115 0.672636498111904 0.00186376203453441 0.00102959009737335 2.49537846005625e-08 1 1 0 1
"tree_3" 292.41 486.2 2406.89 128.7 0.458333333333333 -66.2733832632263 0.843077179690895 0.264705882352941 0.999971894900233 0.00161396362497323 0.000842230732189416 8.04878381412704e-09 1 1 0 1
"tree_4" 292.41 601.35 2406.89 128.7 0.666666666666667 -105.653021442495 0.792532668478046 0.214018458468446 0.858760201890734 0.00569710218889204 0.00441195696725068 2.21212227548274e-05 0.998 0.98908698562914 0.002 1
"tree_5" 292.41 528.49 2406.89 128.7 0.583333333333333 -80.7359529427858 0.82451419767447 0.243524002346307 0.988625893882322 0.00261252641050343 0.00162827990604301 2.73556180954278e-07 1 1 0 1
"tree_6" 292.41 602.19 2406.89 128.7 0.625 -105.940289319791 0.792163954718439 0.213719922283665 0.953804284070794 0.00574642701364973 0.00445894714359412 2.30519808818796e-05 0.998 0.988541009925058 0.002 1
"tree_7" 292.41 561.09 2406.89 128.7 0.625 -91.8846824663999 0.810204592242087 0.229374966582901 0.953804284070794 0.00373209328468032 0.00259453562750809 2.43019388652713e-06 1 1 0 1
"tree_8" 292.41 644.44 2406.89 128.7 0.708333333333333 -120.389179576622 0.77361853050009 0.199708273850164 0.672636498111904 0.00877078313133031 0.00742137599876671 0.000147802402228335 0.997 0.961079731951928 0.003 1
"tree_9" 292.41 653.05 2406.89 128.7 0.75 -123.333675318902 0.769839214464114 0.19707526223107 0.417824279530303 0.00953547848652659 0.00818923986917771 0.000206036485430273 0.997 0.955483480985096 0.003 1
"tree_10" 292.41 482.09 2406.89 128.7 0.666666666666667 -64.8678225778872 0.84488124344326 0.266962600344334 0.858760201890734 0.00153839543282502 0.000787088439401716 5.4318112630754e-09 1 1 0 1
