"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.857142857142857 74.251497005988 0.333333333333333 0.333333333333333 5.99423563067723e-10 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_2" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_3" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_4" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_5" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_6" 0.928571428571429 65.6686626746507 0 0.25 1.6121533095114e-13 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_7" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_8" 0.785714285714286 74.251497005988 0.333333333333333 0.333333333333333 1.55589561780097e-07 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_9" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_10" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_11" 0.714285714285714 65.6686626746507 0 0.25 9.95078145184018e-06 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_12" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_13" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_14" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_15" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_16" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_17" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_18" 1 74.251497005988 0.333333333333333 0.333333333333333 3.81268701068234e-24 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_19" 0.714285714285714 65.6686626746507 0 0.25 9.95078145184018e-06 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_20" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_21" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_22" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_23" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_24" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_25" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_26" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_27" 0.857142857142857 74.251497005988 0.333333333333333 0.333333333333333 5.99423563067723e-10 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_28" 0.857142857142857 74.251497005988 0.333333333333333 0.333333333333333 5.99423563067723e-10 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_29" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_30" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_31" 0.857142857142857 74.251497005988 0.333333333333333 0.333333333333333 5.99423563067723e-10 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_32" 0.928571428571429 74.251497005988 0.333333333333333 0.333333333333333 1.6121533095114e-13 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_33" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_34" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_35" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_36" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_37" 0.928571428571429 74.251497005988 0.333333333333333 0.333333333333333 1.6121533095114e-13 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_38" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_39" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_40" 0.714285714285714 65.6686626746507 0 0.25 9.95078145184018e-06 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_41" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_42" 0.857142857142857 74.251497005988 0.333333333333333 0.333333333333333 5.99423563067723e-10 0.00103791318580635 0.346771980674874 9.71209840323783e-08 1 1 38.7 0 1
"tree_43" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_44" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_45" 0.928571428571429 65.6686626746507 0 0.25 1.6121533095114e-13 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_46" 0.785714285714286 65.6686626746507 0 0.25 1.55589561780097e-07 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
"tree_47" 0.857142857142857 65.6686626746507 0 0.25 5.99423563067723e-10 0.00200960269739631 0.999995688607659 0.00641349477117711 0.997 0.914027716864919 51.6 0.003 1
