"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.45 25.2096143096702 0.517676767676768 0.143497757847534 0.0106977431402968 0.000549317649668814 0.231573214350841 0.353542235132823 0.985 0.826135114532796 133.8 0.015 1
"tree_2" 0.55 19.3404136389044 0.473484848484849 0.133056133056133 0.00012066235061125 0.000721020317625293 0.40152511612831 0.527365868203835 0.947 0.75866462402093 144.3 0.053 1
"tree_3" 0.5 19.1727221911682 0.472222222222222 0.132780082987552 0.00141273947101651 0.000726584734289027 0.406891054866438 0.532117925320302 0.943 0.75673689572059 144.6 0.0570000000000001 1
"tree_4" 0.55 20.7937395192845 0.484427609427609 0.135497529992943 0.00012066235061125 0.000674415163610455 0.355921515272889 0.485426297716621 0.956 0.775371602623868 141.7 0.044 1
"tree_5" 0.5 17.2163219675796 0.457491582491582 0.12964213369345 0.00141273947101651 0.000794493014166755 0.47059358573597 0.585944496316713 0.922 0.734246732216635 148.1 0.078 1
"tree_6" 0.4 18.7814421464505 0.469276094276094 0.132140399174123 0.0538352874064024 0.000739722635129286 0.419481104830844 0.543127098481346 0.94 0.752238863019799 145.3 0.0600000000000001 1
"tree_7" 0.5 17.7193963107881 0.461279461279461 0.130434782608696 0.00141273947101651 0.000776493944505969 0.454060245618535 0.572407187453287 0.928 0.740029917117652 147.2 0.072 1
"tree_8" 0.4 18.8373392956959 0.46969696969697 0.132231404958678 0.0538352874064024 0.00073783248512892 0.417676880354129 0.541561303780509 0.94 0.752881439119912 145.2 0.0600000000000001 1
"tree_9" 0.5 17.272219116825 0.457912457912458 0.12972972972973 0.00141273947101651 0.000792474317654174 0.468753001994343 0.584451460711099 0.923 0.734889308316748 148 0.077 1
"tree_10" 0.5 25.5449972051426 0.52020202020202 0.144144144144144 0.00141273947101651 0.000540753242746509 0.223221548503131 0.343535208842811 0.986 0.829990571133474 133.2 0.014 1
"tree_11" 0.4 21.0732252655115 0.486531986531987 0.135977337110482 0.0538352874064024 0.00066577764588574 0.347365096960321 0.477225842238575 0.957 0.778584483124433 141.2 0.043 1
"tree_12" 0.6 31.4700950251537 0.564814814814815 0.156606851549755 6.40063848531976e-06 0.000408417780353315 0.105283171855559 0.180064153680048 0.997 0.898103637745454 122.6 0.003 1
"tree_13" 0.5 11.8501956400224 0.417087542087542 0.121750158528852 0.00141273947101651 0.00101186149219397 0.645231406773642 0.714601195817561 0.842 0.672559426605786 157.7 0.158 1
"tree_14" 0.5 17.1604248183343 0.457070707070707 0.129554655870445 0.00141273947101651 0.000796516443757111 0.472434930657599 0.587434706351572 0.922 0.733604156116522 148.2 0.078 1
"tree_15" 0.5 23.6444941307993 0.505892255892256 0.140556368960469 0.00141273947101651 0.000590968490953982 0.272740967063314 0.400522895097518 0.975 0.808142983729632 136.6 0.025 1
"tree_16" 0.6 22.8060368921185 0.499579124579125 0.139029688631427 6.40063848531976e-06 0.000614463604797782 0.296191534559098 0.4257045192262 0.97 0.798504342227936 138.1 0.03 1
"tree_17" 0.45 18.8373392956959 0.46969696969697 0.132231404958678 0.0106977431402968 0.00073783248512892 0.417676880354129 0.541561303780509 0.94 0.752881439119912 145.2 0.0600000000000001 1
"tree_18" 0.45 15.3158188932364 0.443181818181818 0.126732673267327 0.0106977431402968 0.00086601116838269 0.533377239724996 0.634943545947063 0.9 0.712399144812793 151.5 0.1 1
"tree_19" 0.45 18.7255449972051 0.468855218855219 0.132049518569464 0.0106977431402968 0.000741617245988889 0.421287117517583 0.544690527431795 0.94 0.751596286919686 145.4 0.0600000000000001 1
"tree_20" 0.5 31.4141978759083 0.564393939393939 0.156479217603912 0.00141273947101651 0.000409511741484575 0.106132720303556 0.181421592509824 0.997 0.897461061645341 122.7 0.003 1
"tree_21" 0.55 17.3281162660704 0.458333333333333 0.129817444219067 0.00012066235061125 0.000790460344255649 0.466913217128903 0.582955613677422 0.924 0.735531884416861 147.9 0.076 1
"tree_22" 0.5 15.3717160424818 0.443602693602693 0.126816380449141 0.00141273947101651 0.000863825837419416 0.531532163648348 0.633553449966249 0.9 0.713041720912906 151.4 0.1 1
"tree_23" 0.5 17.272219116825 0.457912457912458 0.12972972972973 0.00141273947101651 0.000792474317654174 0.468753001994343 0.584451460711099 0.923 0.734889308316748 148 0.077 1
"tree_24" 0.5 17.272219116825 0.457912457912458 0.12972972972973 0.00141273947101651 0.000792474317654174 0.468753001994343 0.584451460711099 0.923 0.734889308316748 148 0.077 1
"tree_25" 0.35 18.6137506987144 0.468013468013468 0.131868131868132 0.183553690376504 0.000745419888237137 0.424904365735684 0.547810213340307 0.938 0.750311134719461 145.6 0.0620000000000001 1
"tree_26" 0.4 32.2526551145892 0.570707070707071 0.158415841584158 0.0538352874064024 0.000393384311320387 0.093892930330687 0.161559354271221 0.997 0.907099703147036 121.2 0.003 1
