"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.555555555555556 -456.726768377254 0.672710305292628 0.388390632785252 0.0210746365293502 0.0449805439853447 0.013992658591642 0.000291533088349689 0.997 0.940263643864487 401.4 0.003 1
"tree_2" 0.666666666666667 -390.152565880721 0.73670177309692 0.441143180531975 0.00187886136139287 0.0410255848157946 0.00418733571746207 2.34532603923342e-06 1 1 353.4 0 1
"tree_3" 0.555555555555556 -413.73092926491 0.714038128249567 0.420896328293736 0.0210746365293502 0.0423927493777122 0.00660943245435746 1.71005526124169e-05 0.999 0.994574458488463 370.4 0.001 1
"tree_4" 0.555555555555556 -355.478502080444 0.770030662578323 0.474725943970767 0.0210746365293502 0.0390802246531742 0.00199847571119434 5.95627624689672e-08 1 1 328.4 0 1
"tree_5" 0.555555555555556 -493.481276005548 0.637381682442341 0.364337462023837 0.0210746365293502 0.0472921672042682 0.0247015408477548 0.00179828346452036 0.991 0.893836657169798 427.9 0.00900000000000001 1
"tree_6" 0.444444444444444 -446.324549237171 0.682708972137048 0.395785732419396 0.117357533978899 0.0443430886897849 0.011775626472439 0.000158869182357936 0.998 0.953403357079965 393.9 0.002 1
"tree_7" 0.666666666666667 -401.525658807212 0.72576989734702 0.431139380530973 0.00187886136139287 0.0416805093343072 0.00524127813507811 6.39337743295333e-06 1 1 361.6 0 1
"tree_8" 0.444444444444444 -563.938973647711 0.569657379016131 0.325673699603092 0.117357533978899 0.0519890860399795 0.062771528131579 0.0203476393654417 0.964 0.80483699965696 478.7 0.036 1
"tree_9" 0.666666666666667 -294.036061026352 0.829089454739368 0.54875043998592 0.00187886136139287 0.0358178420927966 0.000417845077127715 3.19871956744716e-12 1 1 284.1 0 1
"tree_10" 0.555555555555556 -447.434119278779 0.681642447673643 0.394983531796301 0.0210746365293502 0.0444107351285431 0.0119974208707609 0.00016986761650407 0.997 0.952001787670314 394.7 0.003 1
"tree_11" 0.555555555555556 -397.364771151179 0.729769364084789 0.434746235359732 0.0210746365293502 0.0414399272026373 0.00483264694815083 4.4748939193681e-06 1 1 358.6 0 1
"tree_12" 0.444444444444444 -531.206657420249 0.601119850686575 0.342562074269391 0.117357533978899 0.0497628936519248 0.0416734575870351 0.00760665453158038 0.981 0.846183297241665 455.1 0.019 1
"tree_13" 0.222222222222222 -740.08321775312 0.400346620450607 0.257388145946838 0.732919974743664 0.0653570967480168 0.319974045008575 0.327466022377066 0.706 0.582337855874866 605.7 0.294 1
"tree_14" 0.444444444444444 -545.631067961165 0.587255032662312 0.334908700322234 0.117357533978899 0.050734372635719 0.0501581109340568 0.0120554448244279 0.973 0.827962894916201 465.5 0.027 1
"tree_15" 0.555555555555556 -397.364771151179 0.729769364084789 0.434746235359732 0.0210746365293502 0.0414399272026373 0.00483264694815083 4.4748939193681e-06 1 1 358.6 0 1
"tree_16" 0.555555555555556 -355.339805825243 0.770163978136248 0.474870545233019 0.0210746365293502 0.0390725967127123 0.00199220950198276 5.85675982201319e-08 1 1 328.3 0 1
"tree_17" 0.444444444444444 -450.624133148405 0.678576189841354 0.392695214105793 0.117357533978899 0.0446056819300258 0.0126542157616678 0.000205308488893412 0.997 0.947972275617567 397 0.003 1
"tree_18" 0.333333333333333 -568.099861303745 0.565657912278363 0.323645422462113 0.373526058099413 0.0522776585615956 0.0659463808121785 0.0227191056814658 0.96 0.799581114370769 481.7 0.04 1
"tree_19" 0.444444444444444 -435.228848821082 0.693374216771097 0.403990671158331 0.117357533978899 0.0436711817191588 0.00973687120898466 7.89068953904611e-05 0.999 0.967419051176475 385.9 0.001 1
"tree_20" 0.222222222222222 -740.08321775312 0.400346620450607 0.257388145946838 0.732919974743664 0.0653570967480168 0.319974045008575 0.327466022377066 0.706 0.582337855874866 605.7 0.294 1
