"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.548387096774194 -570.316649642493 0.525178474245286 0.0959405095696696 0.0152746172859578 9.85043389052743e-05 0.0176561325231721 0.0045186484455649 0.989 0.886826046197732 1640.6 0.011 1
"tree_2" 0.580645161290323 -558.181818181818 0.534686429554695 0.0977093550189335 0.003615567876354 9.08075335458084e-05 0.0136292336944257 0.0026951246955904 0.99 0.904519134300111 1610.9 0.01 1
"tree_3" 0.612903225806452 -412.686414708887 0.648685853314979 0.125438316863245 0.000652781407372254 3.31892318914454e-05 0.000264755229114148 5.1517118298627e-08 1 1 1254.8 0 1
"tree_4" 0.580645161290323 -464.371807967314 0.608189006626757 0.113950626221675 0.003615567876354 4.77676039223407e-05 0.00129797466346556 8.43238274056727e-06 1 1 1381.3 0 1
"tree_5" 0.580645161290323 -487.29315628192 0.590229535486762 0.109503269792681 0.003615567876354 5.60088046984269e-05 0.00244874567009894 4.87726398991223e-05 1 1 1437.4 0 1
"tree_6" 0.516129032258065 -499.346271705822 0.580785606812434 0.107301111186857 0.0501834708658085 6.08634120501323e-05 0.00336403217739314 0.000110892305408066 0.998 0.990303803887407 1466.9 0.002 1
"tree_7" 0.548387096774194 -364.555669050051 0.686397541377213 0.138434476693052 0.0152746172859578 2.34911106057177e-05 4.83959373140201e-05 6.52964755636569e-11 1 1 1137 0 1
"tree_8" 0.548387096774194 -553.973442288049 0.537983801261325 0.0983381232037986 0.0152746172859578 8.82729872139328e-05 0.0124303682481865 0.00223051475620667 0.99 0.910655121083092 1600.6 0.01 1
"tree_9" 0.645161290322581 -504.576098059244 0.576687902167302 0.106372913428398 8.78189207436726e-05 6.30909204764303e-05 0.00384797158633794 0.000155258665669992 0.997 0.982678499924092 1479.7 0.003 1
"tree_10" 0.612903225806452 -411.460674157303 0.649646252841182 0.125738935932258 0.000652781407372254 3.29009703519253e-05 0.000254238492089637 4.46158835893396e-08 1 1 1251.8 0 1
"tree_11" 0.516129032258065 -468.498467824311 0.604955661555207 0.113123472761248 0.0501834708658085 4.91613367949156e-05 0.00145956397479906 1.17997657502773e-05 1 1 1391.4 0 1
"tree_12" 0.483870967741935 -633.483146067416 0.475685885328297 0.0876782531194296 0.130433607584519 0.000149482914123517 0.0583050598081304 0.0369521049542966 0.961 0.794726671765816 1795.2 0.039 1
"tree_13" 0.612903225806452 -472.70684371808 0.601658289848577 0.112292216594136 0.000652781407372254 5.06221507212324e-05 0.00164279535309128 1.64672847461131e-05 1 1 1401.7 0 1
"tree_14" 0.548387096774194 -387.599591419816 0.668342030284598 0.131892073068544 0.0152746172859578 2.77399849977385e-05 0.000112312503967413 2.10289874537244e-09 1 1 1193.4 0 1
"tree_15" 0.612903225806452 -453.462717058223 0.616736562409963 0.116196663221615 0.000652781407372254 4.42606879800023e-05 0.000945551642734531 3.31375117798426e-06 1 1 1354.6 0 1
"tree_16" 0.580645161290323 -415.832482124617 0.646220827864392 0.124673267326733 0.003615567876354 3.39400824702633e-05 0.000293598948083008 7.41144632455274e-08 1 1 1262.5 0 1
"tree_17" 0.548387096774194 -550.623084780388 0.540608893299613 0.0988445114292891 0.0152746172859578 8.63029138901841e-05 0.0115419122242783 0.00191125761502514 0.99 0.91554008143459 1592.4 0.01 1
"tree_18" 0.612903225806452 -440.183861082738 0.627140890610494 0.119053021707889 0.000652781407372254 4.03199609439048e-05 0.000634553174658816 9.6600605561864e-07 1 1 1322.1 0 1
"tree_19" 0.645161290322581 -519.53013278856 0.564971027947626 0.103805315570797 8.78189207436726e-05 6.9891746001396e-05 0.00558896659270441 0.000382065421580378 0.994 0.960874896403988 1516.3 0.00600000000000001 1
"tree_20" 0.645161290322581 -374.770173646578 0.678394211992189 0.135456110154905 8.78189207436726e-05 2.52921444987722e-05 7.0755446791763e-05 3.2619824936562e-10 1 1 1162 0 1
"tree_21" 0.645161290322581 -561.450459652707 0.532125364151487 0.0972265118290197 8.78189207436726e-05 9.28231535964949e-05 0.0146276022938989 0.00311051103796994 0.989 0.899753319323039 1618.9 0.011 1
"tree_22" 0.548387096774194 -510.70480081716 0.571885904536287 0.105305412457349 0.0152746172859578 6.57990418225247e-05 0.00449284385624701 0.000226998660844193 0.997 0.973742596842082 1494.7 0.003 1
"tree_23" 0.612903225806452 -332.114402451481 0.71181611550405 0.148827534039334 0.000652781407372254 1.8543567039229e-05 1.3445750906848e-05 1.67888764310894e-13 1 1 1057.6 0 1
"tree_24" 0.580645161290323 -464.126659856997 0.608381086531997 0.11400014485406 0.003615567876354 4.76859931977839e-05 0.00128890363681567 8.26332747481088e-06 1 1 1380.7 0 1
"tree_25" 0.612903225806452 -438.263534218591 0.628645516534879 0.119477759222711 0.000652781407372254 3.97783042036073e-05 0.000598252869667971 8.00833623879989e-07 1 1 1317.4 0 1
"tree_26" 0.580645161290323 -370.03064351379 0.68210775682684 0.136821974965229 0.003615567876354 2.44407698586062e-05 5.94024581790083e-05 1.56889525112154e-10 1 1 1150.4 0 1
"tree_27" 0.612903225806452 -520.633299284985 0.564106668374044 0.103620803159974 0.000652781407372254 7.04198739036865e-05 0.00574131456769732 0.000406898060582153 0.994 0.959266433849226 1519 0.00600000000000001 1
"tree_28" 0.548387096774194 -362.512768130746 0.687998207254218 0.13904593639576 0.0152746172859578 2.31458076753099e-05 4.47974003865758e-05 4.666675417051e-11 1 1 1132 0 1
"tree_29" 0.580645161290323 -303.227783452503 0.734449531004898 0.159489309960482 0.003615567876354 1.49861417241261e-05 3.87552268486593e-06 2.16744250168475e-16 1 1 986.9 0 1
