"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.333333333333333 -360.440456769984 0.402013993330282 0.189991142604074 0.394617046791375 0.0141186119726052 0.88098908403564 0.870669827624645 0.198 0.428901085269752 677.4 0.802 1
"tree_2" 0.466666666666667 -294.942903752039 0.507029359837834 0.221499380421314 0.044350390711205 0.00897067808268258 0.526675374542463 0.586783602700596 0.569 0.604404227836829 581.04 0.431 1
"tree_3" 0.2 -306.878738444807 0.487892063907234 0.215001670564651 0.907936862903653 0.00976317474249715 0.605856409908845 0.65648124323011 0.495 0.572421712441666 598.6 0.505 1
"tree_4" 0.333333333333333 -299.809679173464 0.499226225506223 0.218803128187691 0.394617046791375 0.00928674218638406 0.559270987108264 0.616089233530593 0.54 0.591363521103949 588.2 0.46 1
"tree_5" 0.333333333333333 -220.337139749864 0.626648357636391 0.273086063486675 0.394617046791375 0.00517793199118128 0.113537819049825 0.119414141698498 0.941 0.804313162334155 471.28 0.0590000000000001 1
"tree_6" 0.466666666666667 -278.833605220228 0.53285817040476 0.230918290451071 0.044350390711205 0.00799071258048913 0.418617914559823 0.482657058273585 0.676 0.647569695653762 557.34 0.324 1
"tree_7" 0.4 -217.699836867863 0.630876871771399 0.275353016688062 0.159897625773336 0.00507503172234848 0.10491602438424 0.108001359056273 0.944 0.811379914027391 467.4 0.056 1
"tree_8" 0.333333333333333 -263.512778684067 0.557422786024107 0.240650710545999 0.394617046791375 0.00714733648779011 0.320858648074749 0.377867104364345 0.766 0.688622423273749 534.8 0.234 1
"tree_9" 0.266666666666667 -379.255029907558 0.371847686305281 0.18253247858399 0.690796330304979 0.0160035423985796 0.93399851107586 0.911999641084301 0.127 0.378486732983983 705.08 0.873 1
"tree_10" 0.266666666666667 -347.172376291463 0.423287342792999 0.195628382075759 0.690796330304979 0.0129072879557761 0.829532143311585 0.832172505396097 0.272 0.464453403066652 657.88 0.728 1
"tree_11" 0.466666666666667 -246.247960848287 0.585104296083175 0.252650176678445 0.044350390711205 0.00629191910501324 0.223638126907101 0.262388919833864 0.859 0.734884148275863 509.4 0.141 1
"tree_12" 0.4 -312.207721587819 0.479347849778766 0.212222148934767 0.159897625773336 0.0101363148852357 0.640051149830257 0.685107352750599 0.466 0.558142502834714 606.44 0.534 1
"tree_13" 0.533333333333333 -214.165307232191 0.636543952570893 0.278450887061878 0.00812283340149961 0.00493998068744031 0.094089496809633 0.093747127176117 0.948 0.820850818358532 462.2 0.052 1
"tree_14" 0.2 -337.520391517129 0.438762832668541 0.199944071588367 0.907936862903653 0.0120835593072589 0.784566174990216 0.798516480127089 0.316 0.490316257201693 643.68 0.684 1
"tree_15" 0.4 -331.892332789559 0.447786569018505 0.202549575070822 0.159897625773336 0.0116245964335848 0.755539639353604 0.776518388307966 0.36 0.50539685102128 635.4 0.64 1
"tree_16" 0.333333333333333 -360.440456769984 0.402013993330282 0.189991142604074 0.394617046791375 0.0141186119726052 0.88098908403564 0.870669827624645 0.198 0.428901085269752 677.4 0.802 1
"tree_17" 0.466666666666667 -274.796084828711 0.539331720394952 0.233405875952122 0.044350390711205 0.00776036682828798 0.392116796626554 0.455312571175832 0.699 0.658388382524335 551.4 0.301 1
"tree_18" 0.266666666666667 -360.440456769984 0.402013993330282 0.189991142604074 0.690796330304979 0.0141186119726052 0.88098908403564 0.870669827624645 0.198 0.428901085269752 677.4 0.802 1
"tree_19" 0.533333333333333 -198.056008700381 0.662372763137819 0.293500570125428 0.00812283340149961 0.0043641620021428 0.0546701511504593 0.0439331622750139 0.977 0.864016286175466 438.5 0.023 1
"tree_20" 0.4 -250.285481239804 0.578630746092984 0.249738037024101 0.159897625773336 0.00648340692081362 0.244835107670307 0.288548478268617 0.841 0.72406546140529 515.34 0.159 1
"tree_21" 0.4 -258.646003262643 0.565225920355718 0.243916306572663 0.159897625773336 0.00689638523573214 0.291801704066813 0.344563304976837 0.796 0.701663130006628 527.64 0.204 1
"tree_22" 0.2 -339.42359978249 0.43571132762266 0.199078084395496 0.907936862903653 0.0122422791747302 0.793923522277437 0.805552992286285 0.307 0.485216539484924 646.48 0.693 1
"tree_23" 0.266666666666667 -355.573681348559 0.409817127661893 0.192020768679876 0.690796330304979 0.0136633733127383 0.86351442568713 0.857533311041009 0.22 0.441941792002631 670.24 0.78 1
"tree_24" 0.266666666666667 -375.720500271887 0.377514767104776 0.183888666628565 0.690796330304979 0.0156338174769865 0.925712102970843 0.905282946655557 0.132 0.387957637315125 699.88 0.868 1
"tree_25" 0.333333333333333 -331.063077759652 0.449116153359925 0.202939228610174 0.394617046791375 0.0115582671636178 0.751096605829419 0.773124459442167 0.365 0.507618870883586 634.18 0.635 1
"tree_26" 0.4 -253.20826536161 0.573944506201094 0.247671464860288 0.159897625773336 0.00662522499241224 0.260800220805646 0.307892696774249 0.829 0.716233752054538 519.64 0.171 1
"tree_27" 0.266666666666667 -287.194127243067 0.519453344667495 0.225932167684854 0.690796330304979 0.0084868803578885 0.474478374693266 0.537895067036418 0.61 0.6251673642551 569.64 0.39 1
"tree_28" 0.4 -266.394779771615 0.552801935526058 0.238757791629564 0.159897625773336 0.0072997124664719 0.338587473072714 0.397687739051646 0.747 0.680899993588356 539.04 0.253 1
"tree_29" 0.333333333333333 -302.514953779228 0.494888729048148 0.217332567800331 0.394617046791375 0.00946661125354216 0.577231604646869 0.631862183667301 0.523 0.584114636635114 592.18 0.477 1
"tree_30" 0.266666666666667 -315.742251223491 0.473680768979272 0.210417892878164 0.690796330304979 0.0103906151597537 0.662159032671127 0.703194371760385 0.444 0.548671598503573 611.64 0.556 1
"tree_31" 0.333333333333333 -323.491027732463 0.461256784149611 0.206567796610169 0.394617046791375 0.010967654045419 0.70867802521818 0.740285384465836 0.407 0.527908462085301 623.04 0.593 1
"tree_32" 0.4 -274.796084828711 0.539331720394952 0.233405875952122 0.159897625773336 0.00776036682828798 0.392116796626554 0.455312571175832 0.699 0.658388382524335 551.4 0.301 1
"tree_33" 0.266666666666667 -278.330614464383 0.533664639595458 0.231225296442688 0.690796330304979 0.00796169227936447 0.415294889911159 0.47926973318751 0.678 0.648917478193194 556.6 0.322 1
"tree_34" 0.333333333333333 -271.26155519304 0.544998801194446 0.235627975100696 0.394617046791375 0.00756353500418384 0.369295116202638 0.431144929840112 0.72 0.667859286855477 546.2 0.28 1
"tree_35" 0.266666666666667 -322.199564980968 0.463327448287888 0.207199665131854 0.690796330304979 0.0108695868406977 0.701129111856958 0.734349012054559 0.414 0.531368984821679 621.14 0.586 1
"tree_36" 0.266666666666667 -306.878738444807 0.487892063907234 0.215001670564651 0.690796330304979 0.00976317474249715 0.605856409908845 0.65648124323011 0.495 0.572421712441666 598.6 0.505 1
