"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 526.02 1442.93 3153.62 86.7 0.6 -174.31086270484 0.557787617544638 0.0600860748615664 0.943094979929685 0.220898326877516 0.222537892585561 0.241989659320877 0.776 0.598559910843331 0.224 1
"tree_2" 526.02 1068.92 3153.62 86.7 0.68 -103.209003459945 0.679737326046979 0.081109905325001 0.38920550544444 0.00282612709679558 0.00246831881282543 0.000258733609971664 0.998 0.924199418392046 0.002 1
"tree_3" 526.02 929.07 3153.62 86.7 0.66 -76.6225618797765 0.725336820001826 0.0933191255771901 0.576650223030583 0.000220336304542322 0.00014585763645582 4.11635423926486e-07 1 1 0 1
"tree_4" 526.02 848.57 3153.62 86.7 0.62 -61.318961256226 0.751584651702685 0.102171889178265 0.86942044348924 3.99808526288954e-05 1.99375706500775e-05 1.47823036153292e-09 1 1 0 1
"tree_5" 526.02 841.85 3153.62 86.7 0.6 -60.0414432911296 0.75377577504467 0.102987468076261 0.943094979929685 3.43973502406846e-05 1.66611718604472e-05 8.48012521726117e-10 1 1 0 1
"tree_6" 526.02 972.18 3153.62 86.7 0.66 -84.8180677540778 0.711280372490968 0.0891810158612603 0.576650223030583 0.000511485359518279 0.000377885164691655 4.37905362436965e-06 1 1 0 1
"tree_7" 526.02 777.37 3153.62 86.7 0.62 -47.7833542450858 0.774800125207048 0.111529902105818 0.86942044348924 7.63009238540102e-06 2.65385425767274e-06 1.76971908304508e-12 1 1 0 1
"tree_8" 526.02 741.27 3153.62 86.7 0.64 -40.9204973194936 0.786570891969794 0.116961431057509 0.745797456174474 3.12483164605034e-06 8.61307618962579e-07 2.5459848186601e-14 1 1 0 1
"tree_9" 526.02 843.17 3153.62 86.7 0.72 -60.2923843199878 0.75334537581678 0.102826239073971 0.104560252987596 3.54322865321067e-05 1.72621401886026e-05 9.46934202461898e-10 1 1 0 1
"tree_10" 526.02 897.07 3153.62 86.7 0.7 -70.5391429983651 0.735770740677944 0.0966479761891491 0.222421240357177 0.000114169662614916 6.8442446610798e-05 5.41636772428595e-08 1 1 0 1
"tree_11" 526.02 795.17 3153.62 86.7 0.68 -51.1672559978708 0.768996256830958 0.109033288479193 0.38920550544444 1.16948093517552e-05 4.50209400549493e-06 1.14667390621929e-11 1 1 0 1
"tree_12" 526.02 825.77 3153.62 86.7 0.7 -56.9845253032204 0.75901882018442 0.10499291570292 0.222421240357177 2.38803434309224e-05 1.07469842138471e-05 2.10817037846272e-10 1 1 0 1
"tree_13" 526.02 773.77 3153.62 86.7 0.68 -47.098969620927 0.775973941283111 0.112048800031017 0.38920550544444 6.99137823149294e-06 2.37987886349298e-06 1.19236297911925e-12 1 1 0 1
"tree_14" 526.02 845.45 3153.62 86.7 0.68 -60.7258279152884 0.752601958968607 0.102548938435153 0.38920550544444 3.72896190460681e-05 1.83480619461116e-05 1.14418103247931e-09 1 1 0 1
"tree_15" 526.02 730.05 3153.62 86.7 0.7 -38.7874985741987 0.790229285406858 0.118758989110335 0.222421240357177 2.350528642207e-06 5.97933168055923e-07 5.94117332320549e-15 1 1 0 1
"tree_16" 526.02 784.82 3153.62 86.7 0.72 -49.1996502034143 0.77237097804964 0.110471190846309 0.104560252987596 9.13295495864779e-06 3.31772861708094e-06 3.93375336434186e-12 1 1 0 1
"tree_17" 526.02 1038.92 3153.62 86.7 0.76 -97.5057982586214 0.689519126680839 0.0834520463558311 0.0114725391519361 0.00170808232481808 0.00143058238026108 8.54288229420594e-05 0.998 0.950319536106709 0.002 1
"tree_18" 526.02 766.95 3153.62 86.7 0.74 -45.8024409718262 0.778197670627209 0.113045178955603 0.0393052778449688 5.91853237471318e-06 1.93224022040819e-06 5.55156416332778e-13 1 1 0 1
"tree_19" 526.02 779.77 3153.62 86.7 0.72 -48.2396106611916 0.774017581156339 0.111186631955577 0.104560252987596 8.08640645245476e-06 2.85269623401981e-06 2.29522159555361e-12 1 1 0 1
"tree_20" 526.02 847.77 3153.62 86.7 0.72 -61.1668757841907 0.751845499719588 0.102268303903181 0.104560252987596 3.92738051268119e-05 1.95181955737231e-05 1.38467778460322e-09 1 1 0 1
"tree_21" 526.02 910.77 3153.62 86.7 0.72 -73.1436067069693 0.731303718388481 0.09519417635627 0.104560252987596 0.000151797494613131 9.5136091524647e-05 1.33119286503375e-07 1 1 0 1
"tree_22" 526.02 960.87 3153.62 86.7 0.72 -82.667959393179 0.714968111329934 0.0902307284023853 0.104560252987596 0.00041207319773528 0.000296513081145776 2.44468454482568e-06 1 1 0 1
"tree_23" 526.02 926.87 3153.62 86.7 0.72 -76.2043268316794 0.726054152048309 0.0935406259777531 0.104560252987596 0.000210784854522025 0.000138657573729985 3.60905963570179e-07 1 1 0 1
"tree_24" 526.02 903.62 3153.62 86.7 0.66 -71.784342800654 0.733635047539551 0.0959474115225427 0.576650223030583 0.000130910146291364 8.01947241373318e-05 8.37573802187027e-08 1 1 0 1
"tree_25" 526.02 936.4 3153.62 86.7 0.62 -78.0160450172997 0.722946800046953 0.0925886373344725 0.86942044348924 0.000255154996019016 0.000172404385306952 6.32929535967051e-07 1 1 0 1
"tree_26" 526.02 854.75 3153.62 86.7 0.64 -62.4938215276986 0.74956960077211 0.101433167592863 0.745797456174474 4.58626416167405e-05 2.34719554211916e-05 2.43256648390784e-09 1 1 0 1
"tree_27" 526.02 1021.17 3153.62 86.7 0.68 -94.1314018478385 0.695306692055874 0.0849026117100972 0.38920550544444 0.00125387779574616 0.00102042964004273 4.16732890171091e-05 0.999 0.965773939087886 0.001 1
