"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.48 -42.0801490437626 0.784581925840909 0.116006797168738 0.00228038637084804 4.56149139720607e-07 4.46447036345697e-06 6.3986041596483e-11 1 1 747.37 0 1
"tree_2" 0.46 -56.8001216683776 0.759335098404914 0.10511639185257 0.00884215007174015 7.34822316069916e-07 4.19762864993331e-05 5.00573441463697e-08 1 1 824.8 0 1
"tree_3" 0.52 -45.4659518649481 0.778774796864607 0.1133066729397 8.3690677184871e-05 5.09410427344925e-07 7.70348391110516e-06 3.62676777196614e-10 1 1 765.18 0 1
"tree_4" 0.5 -64.6458309569979 0.745878601332933 0.100107381620423 0.000483185578670937 9.44122344353844e-07 0.000121649101353139 7.84126556999957e-07 1 1 866.07 0 1
"tree_5" 0.48 -45.9393178966579 0.777962907411996 0.112939153542538 0.00228038637084804 5.17317851278608e-07 8.30167214757284e-06 4.57383346392808e-10 1 1 767.67 0 1
"tree_6" 0.38 -111.412113607848 0.665667836135276 0.0779627181742157 0.311440183400554 3.99831050011885e-06 0.0146912352272568 0.00993544293986719 0.991 0.869842725963642 1112.07 0.00900000000000001 1
"tree_7" 0.5 -33.3029162389263 0.79963611701642 0.123645179691957 0.000483185578670937 3.41864597507674e-07 9.91166271308938e-07 3.5761462523225e-13 1 1 701.2 0 1
"tree_8" 0.4 -87.3407855214631 0.706953556010591 0.0879801106093663 0.166786138720928 1.92273798497719e-06 0.00169059788698987 0.000248446252552854 0.998 0.977692768138359 985.45 0.002 1
"tree_9" 0.52 -52.8268887114559 0.766149752846504 0.107849234979475 8.3690677184871e-05 6.4663041834882e-07 2.36856085811372e-05 1.02429278831726e-08 1 1 803.9 0 1
"tree_10" 0.44 -59.1042165697122 0.755383250948835 0.103594130860775 0.0283054305883565 7.9114788816223e-07 5.7886775529427e-05 1.18048451762e-07 1 1 836.92 0 1
"tree_11" 0.38 -56.5434774343181 0.759775279433438 0.10528872426984 0.311440183400554 7.2879256004492e-07 4.04811905487943e-05 4.53708378225e-08 1 1 823.45 0 1
"tree_12" 0.46 -107.106193680849 0.673053095613841 0.0795836316572121 0.00884215007174015 3.51341949062455e-06 0.0104161996436917 0.00587038717039648 0.992 0.889135124125522 1089.42 0.00800000000000001 1
"tree_13" 0.42 -84.603247024828 0.711648820314844 0.089284794809742 0.0751932793160745 1.76656729459711e-06 0.00127152305866951 0.000142707273720679 0.998 0.98995813385717 971.05 0.002 1
"tree_14" 0.42 -81.1661153568306 0.71754398549685 0.090978729655708 0.0751932793160745 1.58765471933044e-06 0.000878479420046643 6.78111893068278e-05 1 1 952.97 0 1
"tree_15" 0.42 -49.1616288354055 0.772436190053865 0.110499350003824 0.0751932793160745 5.7437127944459e-07 1.3682077406158e-05 2.08021773555653e-09 1 1 784.62 0 1
"tree_16" 0.52 -41.8482186989088 0.784979719066686 0.116196475239563 8.3690677184871e-05 4.52703925704052e-07 4.29774318597142e-06 5.65322733608275e-11 1 1 746.15 0 1
"tree_17" 0.6 -31.5254172845139 0.802684778213974 0.125316181253162 8.83795597023e-09 3.2234955956099e-07 7.18584750102363e-07 1.0904094403408e-13 1 1 691.85 0 1
"tree_18" 0.46 -47.3423063761834 0.775556584456067 0.11186375072576 0.00884215007174015 5.41454400744522e-07 1.03398577694121e-05 8.96641267585389e-10 1 1 775.05 0 1
"tree_19" 0.48 -54.6709250598837 0.762986970641556 0.106563421828909 0.00228038637084804 6.86215433160126e-07 3.09796462737202e-05 2.17676664689908e-08 1 1 813.6 0 1
"tree_20" 0.42 -59.512946275807 0.754682221903408 0.103328685330187 0.0751932793160745 8.01563731227448e-07 6.12347583713089e-05 1.36834668031836e-07 1 1 839.07 0 1
"tree_21" 0.46 -54.6081898026691 0.763094570448528 0.106606661994172 0.00884215007174015 6.8483124058225e-07 3.07005221110663e-05 2.12272584626372e-08 1 1 813.27 0 1
"tree_22" 0.4 -70.4022660735333 0.736005503893157 0.0967256094159648 0.166786138720928 1.1329616766143e-06 0.000251899103418073 4.45979965451475e-06 1 1 896.35 0 1
"tree_23" 0.42 -88.4719212197255 0.705013498884875 0.0874520879564253 0.0751932793160745 1.99105798683957e-06 0.00189711715162233 0.000309492755869108 0.998 0.972624787164266 991.4 0.002 1
"tree_24" 0.46 -64.043192274058 0.746912211599911 0.100475141963148 0.00884215007174015 9.26201021455987e-07 0.000112438821277525 6.45251790528488e-07 1 1 862.9 0 1
"tree_25" 0.42 -98.2015892931828 0.688325747003508 0.0831590861132959 0.0751932793160745 2.68293878106525e-06 0.00482787936023437 0.00166710556634404 0.996 0.92903163317199 1042.58 0.004 1
"tree_26" 0.46 -58.8570776776549 0.755807128976302 0.103755295469232 0.00884215007174015 7.84913188199081e-07 5.59454871779578e-05 1.07894365575421e-07 1 1 835.62 0 1
"tree_27" 0.48 -54.2755028325919 0.763665175485504 0.10683655362776 0.00228038637084804 6.77535586421207e-07 2.9258980282e-05 1.85669140588957e-08 1 1 811.52 0 1
"tree_28" 0.5 -52.6272765294095 0.766492115868689 0.107990284611073 0.000483185578670937 6.4247962946068e-07 2.30002270572284e-05 9.42256350861519e-09 1 1 802.85 0 1
"tree_29" 0.46 -59.7087563210525 0.754346380081645 0.103201999761933 0.00884215007174015 8.06600226952432e-07 6.29013787622813e-05 1.4679705612822e-07 1 1 840.1 0 1
"tree_30" 0.46 -49.5133264894871 0.771832979014777 0.110239424262845 0.00884215007174015 5.80952860316795e-07 1.44347059891855e-05 2.43805965254829e-09 1 1 786.47 0 1
"tree_31" 0.48 -48.7148777613019 0.773202431103518 0.110831298656474 0.00228038637084804 5.66114290241489e-07 1.27788192474216e-05 1.69726093377354e-09 1 1 782.27 0 1
"tree_32" 0.46 -37.4947720618988 0.792446493550533 0.119875561700657 0.00884215007174015 3.92498895940986e-07 2.06832011208407e-06 4.8648710221056e-12 1 1 723.25 0 1
"tree_33" 0.54 -41.3007109995818 0.785918771927536 0.116646709809356 1.17829026595483e-05 4.44670058512474e-07 3.9270366052529e-06 4.20892461705308e-11 1 1 743.27 0 1
