"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_2" 0.529411764705882 -98.0737660063483 0.83741946280646 0.463200353630235 0.00184841517046268 0.0111440345737629 0.00711467012271937 0.000328528393436295 0.997 0.939078182801183 180.98 0.003 1
"tree_3" 0.529411764705882 -81.109773448616 0.863358714751904 0.506586898718878 0.00184841517046268 0.0101730900256831 0.00325281887104807 2.66728729161996e-05 0.999 0.973370045506753 165.48 0.001 1
"tree_4" 0.470588235294118 -117.062493159681 0.808384235628818 0.422679372762567 0.0120290238138079 0.0123255234783678 0.0150278969411908 0.00246498201589548 0.994 0.900693420353334 198.33 0.00600000000000001 1
"tree_5" 0.705882352941177 -70.6030425741494 0.879424315956824 0.537785476007185 4.52617091913157e-07 0.00960946468944403 0.00187138142878319 3.45857997013694e-06 0.999 0.994608876601817 155.88 0.001 1
"tree_6" 0.647058823529412 -42.4209259056586 0.922516944188771 0.64420195189426 1.22300582216198e-05 0.00823034347828094 0.000294405511495184 6.05449502469466e-10 1 1 130.13 0 1
"tree_7" 0.588235294117647 -84.3384042902489 0.858421889381642 0.497714183933978 0.000189555555390495 0.0103519833663195 0.00381207141236587 4.59585843674378e-05 0.999 0.9668435297015 168.43 0.001 1
"tree_8" 0.647058823529412 -62.1210462952833 0.892393941929546 0.565921825423614 1.22300582216198e-05 0.00917455826093415 0.00114306653252109 4.57576924006998e-07 1 1 148.13 0 1
"tree_9" 0.529411764705882 -86.3631388858492 0.855325914149444 0.492306788818417 0.00184841517046268 0.010465564692792 0.00420048167603015 6.35303475978683e-05 0.999 0.962750629959222 170.28 0.001 1
"tree_10" 0.470588235294118 -106.555762285214 0.824449836833738 0.444179515710274 0.0120290238138079 0.0116590375051225 0.0100850556627532 0.000879584373286305 0.995 0.921932251448397 188.73 0.005 1
"tree_11" 0.647058823529412 -70.6030425741494 0.879424315956824 0.537785476007185 1.22300582216198e-05 0.00960946468944403 0.00187138142878319 3.45857997013694e-06 0.999 0.994608876601817 155.88 0.001 1
"tree_12" 0.647058823529412 -56.1562876217581 0.901514517613589 0.587538547799271 1.22300582216198e-05 0.00887913236488007 0.000784799490325909 8.55441088258248e-08 1 1 142.68 0 1
"tree_13" 0.647058823529412 -67.3744117325165 0.884361141327086 0.548159288563395 1.22300582216198e-05 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_14" 0.647058823529412 -75.8564080113827 0.871391515354364 0.521720189195917 1.22300582216198e-05 0.00988777113940464 0.00248540062701601 1.01585072698422e-05 0.999 0.983989461054285 160.68 0.001 1
"tree_15" 0.529411764705882 -81.109773448616 0.863358714751904 0.506586898718878 0.00184841517046268 0.0101730900256831 0.00325281887104807 2.66728729161996e-05 0.999 0.973370045506753 165.48 0.001 1
"tree_16" 0.588235294117647 -72.6277771697498 0.876328340724626 0.531477841881696 0.000189555555390495 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_17" 0.647058823529412 -70.6030425741494 0.879424315956824 0.537785476007185 1.22300582216198e-05 0.00960946468944403 0.00187138142878319 3.45857997013694e-06 0.999 0.994608876601817 155.88 0.001 1
"tree_18" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_19" 0.529411764705882 -111.809127722448 0.816417036231278 0.433162817134294 0.00184841517046268 0.0119882643813198 0.0123645344218889 0.00150770784823521 0.995 0.911312835900866 193.53 0.005 1
"tree_20" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_21" 0.588235294117647 -61.4096530589913 0.893481717011129 0.568416056414429 0.000189555555390495 0.00913887786639585 0.00109441781632811 3.79188892726658e-07 1 1 147.48 0 1
"tree_22" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_23" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_24" 0.647058823529412 -67.3744117325165 0.884361141327086 0.548159288563395 1.22300582216198e-05 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_25" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_26" 0.705882352941177 -62.1210462952833 0.892393941929546 0.565921825423614 4.52617091913157e-07 0.00917455826093415 0.00114306653252109 4.57576924006998e-07 1 1 148.13 0 1
"tree_27" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_28" 0.647058823529412 -75.8564080113827 0.871391515354364 0.521720189195917 1.22300582216198e-05 0.00988777113940464 0.00248540062701601 1.01585072698422e-05 0.999 0.983989461054285 160.68 0.001 1
"tree_29" 0.647058823529412 -75.8564080113827 0.871391515354364 0.521720189195917 1.22300582216198e-05 0.00988777113940464 0.00248540062701601 1.01585072698422e-05 0.999 0.983989461054285 160.68 0.001 1
"tree_30" 0.647058823529412 -67.3744117325165 0.884361141327086 0.548159288563395 1.22300582216198e-05 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_31" 0.588235294117647 -81.109773448616 0.863358714751904 0.506586898718878 0.000189555555390495 0.0101730900256831 0.00325281887104807 2.66728729161996e-05 0.999 0.973370045506753 165.48 0.001 1
"tree_32" 0.470588235294118 -83.1345080442163 0.860262739519705 0.500986075419829 0.0120290238138079 0.0102849592362129 0.00359516466736891 3.76737710679864e-05 0.999 0.969277145764475 167.33 0.001 1
"tree_33" 0.588235294117647 -84.3384042902489 0.858421889381642 0.497714183933978 0.000189555555390495 0.0103519833663195 0.00381207141236587 4.59585843674378e-05 0.999 0.9668435297015 168.43 0.001 1
"tree_34" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_35" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_36" 0.588235294117647 -72.6277771697498 0.876328340724626 0.531477841881696 0.000189555555390495 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_37" 0.647058823529412 -62.1210462952833 0.892393941929546 0.565921825423614 1.22300582216198e-05 0.00917455826093415 0.00114306653252109 4.57576924006998e-07 1 1 148.13 0 1
"tree_38" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_39" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_40" 0.588235294117647 -67.3744117325165 0.884361141327086 0.548159288563395 0.000189555555390495 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_41" 0.647058823529412 -62.1210462952833 0.892393941929546 0.565921825423614 1.22300582216198e-05 0.00917455826093415 0.00114306653252109 4.57576924006998e-07 1 1 148.13 0 1
"tree_42" 0.529411764705882 -67.3744117325165 0.884361141327086 0.548159288563395 0.00184841517046268 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_43" 0.647058823529412 -62.1210462952833 0.892393941929546 0.565921825423614 1.22300582216198e-05 0.00917455826093415 0.00114306653252109 4.57576924006998e-07 1 1 148.13 0 1
"tree_44" 0.588235294117647 -89.5917697274821 0.850389088779182 0.483923108006696 0.000189555555390495 0.0106489278174108 0.00488493213059507 0.000103744143868219 0.998 0.956224114153968 173.23 0.002 1
"tree_45" 0.647058823529412 -84.3384042902489 0.858421889381642 0.497714183933978 1.22300582216198e-05 0.0103519833663195 0.00381207141236587 4.59585843674378e-05 0.999 0.9668435297015 168.43 0.001 1
"tree_46" 0.470588235294118 -72.6277771697498 0.876328340724626 0.531477841881696 0.0120290238138079 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_47" 0.529411764705882 -72.6277771697498 0.876328340724626 0.531477841881696 0.00184841517046268 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_48" 0.647058823529412 -67.3744117325165 0.884361141327086 0.548159288563395 1.22300582216198e-05 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_49" 0.529411764705882 -67.3744117325165 0.884361141327086 0.548159288563395 0.00184841517046268 0.00944184016641795 0.00155952303089463 1.67457312790184e-06 1 1 152.93 0 1
"tree_50" 0.470588235294118 -72.6277771697498 0.876328340724626 0.531477841881696 0.0120290238138079 0.00971590716946198 0.00209147063644011 5.31459155509366e-06 0.999 0.990515976859539 157.73 0.001 1
"tree_51" 0.411764705882353 -88.3878734814495 0.852229938917245 0.487015627723232 0.0542554192344109 0.0105802305433594 0.00462000635157288 8.67177682220959e-05 0.999 0.958657730216944 172.13 0.001 1
