"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.470588235294118 -157.538712306438 0.91346517294902 0.574367088607595 0.0305319655274336 0.00104525054621411 1.64851920268727e-06 6.31451217438505e-17 1 1 252.8 0 1
"tree_2" 0.588235294117647 -147.656886715566 0.921266175015884 0.597285067873303 0.000582755627710152 0.000997134675145053 8.12697879232896e-07 8.36092263679267e-19 1 1 243.1 0 1
"tree_3" 0.529411764705882 -148.879380603097 0.920301102595241 0.594351207531724 0.00526826995083749 0.0010029749361159 8.89477224043951e-07 1.47765230484385e-18 1 1 244.3 0 1
"tree_4" 0.529411764705882 -156.927465362673 0.913947709159342 0.57573354480571 0.00526826995083749 0.001042213602802 1.58021239465889e-06 4.91778296598297e-17 1 1 252.2 0 1
"tree_5" 0.411764705882353 -161.277506112469 0.910513659795887 0.566148087495614 0.118295866462209 0.00106400385841944 2.12733219341634e-06 2.78282245628804e-16 1 1 256.47 0 1
"tree_6" 0.588235294117647 -145.925020374898 0.922633360945128 0.601491300745651 0.000582755627710152 0.000988914391789012 7.14119937284068e-07 3.66489410538029e-19 1 1 241.4 0 1
"tree_7" 0.411764705882353 -154.115729421353 0.91616737572682 0.582103912764593 0.118295866462209 0.00102834763493644 1.29762964336228e-06 1.5135149546961e-17 1 1 249.44 0 1
"tree_8" 0.352941176470588 -176.823553382233 0.898241155513378 0.534353954292864 0.315970025539216 0.00114533579859753 5.75362162658504e-06 6.26784126922523e-14 1 1 271.73 0 1
"tree_9" 0.529411764705882 -164.394865525672 0.908052725123248 0.559472893307132 0.00526826995083749 0.00107987546201546 2.61843237166714e-06 9.04823889027507e-16 1 1 259.53 0 1
"tree_10" 0.588235294117647 -140.729421352893 0.92673491873286 0.614473127380449 0.000582755627710152 0.000964625335428544 4.7948544939144e-07 2.69886880684588e-20 1 1 236.3 0 1
"tree_11" 0.470588235294118 -173.054197229014 0.901216795477027 0.541730403313062 0.0305319655274336 0.00112510892928172 4.56147960396093e-06 1.86441351711855e-14 1 1 268.03 0 1
"tree_12" 0.588235294117647 -156.825590872046 0.914028131861062 0.575961919873066 0.000582755627710152 0.00104170823314972 1.56907876055338e-06 4.716095958774e-17 1 1 252.1 0 1
"tree_13" 0.529411764705882 -194.824775876121 0.884030464119412 0.501727712508639 0.00526826995083749 0.00124660491730067 1.6253938074887e-05 9.82228118896404e-12 1 1 289.4 0 1
"tree_14" 0.411764705882353 -169.661776691117 0.903894871444311 0.54854552323385 0.118295866462209 0.00110718513345796 3.68360970763169e-06 5.94051823415427e-15 1 1 264.7 0 1
"tree_15" 0.529411764705882 -187.489812550937 0.889820898643269 0.514528703047484 0.00526826995083749 0.00120439066591325 1.07885425172029e-05 1.43419483095139e-12 1 1 282.2 0 1
"tree_16" 0.529411764705882 -151.22249388753 0.918451380455675 0.588807785888078 0.00526826995083749 0.00101425660326659 1.05511164683028e-06 4.27834745290024e-18 1 1 246.6 0 1
"tree_17" 0.470588235294118 -165.617359413203 0.907087652702605 0.556897940398113 0.0305319655274336 0.00108615865079268 2.83730586538781e-06 1.41735836822238e-15 1 1 260.73 0 1
"tree_18" 0.647058823529412 -138.79380603097 0.928262950065544 0.619453924914676 3.87926069101764e-05 0.000955717408116656 4.11632459378132e-07 9.66741476890724e-21 1 1 234.4 0 1
"tree_19" 0.588235294117647 -153.056234718826 0.917003771824711 0.584541062801933 0.000582755627710152 0.00102316682767968 1.20354884188127e-06 9.58777415029364e-18 1 1 248.4 0 1
"tree_20" 0.529411764705882 -194.824775876121 0.884030464119412 0.501727712508639 0.00526826995083749 0.00124660491730067 1.6253938074887e-05 9.82228118896404e-12 1 1 289.4 0 1
"tree_21" 0.647058823529412 -138.253871230644 0.928689190384662 0.62085774148031 3.87926069101764e-05 0.000953246075728334 3.94313553074208e-07 7.2193527733813e-21 1 1 233.87 0 1
"tree_22" 0.470588235294118 -161.104319478402 0.910650378388812 0.566523605150215 0.0305319655274336 0.00106312840633251 2.1026548818992e-06 2.6024656642263e-16 1 1 256.3 0 1
"tree_23" 0.529411764705882 -151.22249388753 0.918451380455675 0.588807785888078 0.00526826995083749 0.00101425660326659 1.05511164683028e-06 4.27834745290024e-18 1 1 246.6 0 1
"tree_24" 0.529411764705882 -148.81825590872 0.920349356216273 0.594497215853259 0.00526826995083749 0.00100268217909983 8.85488607824767e-07 1.43652363938031e-18 1 1 244.24 0 1
"tree_25" 0.411764705882353 -155.501222493888 0.915073626983425 0.578947368421053 0.118295866462209 0.00103515885058661 1.43062288129475e-06 2.72107555910625e-17 1 1 250.8 0 1
"tree_26" 0.411764705882353 -165.821108394458 0.906926807299164 0.556471084198827 0.118295866462209 0.00108720910128982 2.875342286662e-06 1.5263405574067e-15 1 1 260.93 0 1
"tree_27" 0.470588235294118 -152.923797881011 0.917108321336947 0.584847142224191 0.0305319655274336 0.00102252091329031 1.19223091689296e-06 9.0514864398736e-18 1 1 248.27 0 1
"tree_28" 0.588235294117647 -147.962510187449 0.921024906910723 0.596548890714873 0.000582755627710152 0.000998591806960238 8.31311859774499e-07 9.64953279283255e-19 1 1 243.4 0 1
"tree_29" 0.411764705882353 -158.934392828036 0.912363381935453 0.571271196443325 0.118295866462209 0.00105221534965839 1.8145419157267e-06 1.10855238627031e-16 1 1 254.17 0 1
"tree_30" 0.588235294117647 -151.354930725346 0.918346830943439 0.588497547926884 0.000582755627710152 0.00101489772619934 1.06525229296341e-06 4.53837950226199e-18 1 1 246.73 0 1
"tree_31" 0.647058823529412 -141.004482477588 0.926517777438215 0.613771822293613 3.87926069101764e-05 0.000965897367331933 4.89902926062221e-07 3.11498348212593e-20 1 1 236.57 0 1
"tree_32" 0.647058823529412 -135.02444987775 0.931238590029194 0.629388816644994 3.87926069101764e-05 0.000938586831561941 3.03713576721262e-07 1.19359794915786e-21 1 1 230.7 0 1
"tree_33" 0.529411764705882 -158.791768541157 0.912475973717861 0.571586033145692 0.00526826995083749 0.00105150167042089 1.79691231148785e-06 1.04712647214987e-16 1 1 254.03 0 1
"tree_34" 0.470588235294118 -154.380603096984 0.915958276702348 0.581497797356828 0.0305319655274336 0.00102964659169681 1.32215990665241e-06 1.69465908255576e-17 1 1 249.7 0 1
"tree_35" 0.588235294117647 -141.065607171964 0.926469523817183 0.613616194058235 0.000582755627710152 0.000966180250172114 4.92245378970732e-07 3.21557238358545e-20 1 1 236.63 0 1
"tree_36" 0.588235294117647 -148.268133659332 0.920783638805562 0.595814526056627 0.000582755627710152 0.00100005089282955 8.50308413517098e-07 1.11294953624754e-18 1 1 243.7 0 1
"tree_37" 0.529411764705882 -152.006927465363 0.917832125652429 0.586974976755468 0.00526826995083749 0.00101805944881703 1.11646513645124e-06 6.0580554737117e-18 1 1 247.37 0 1
"tree_38" 0.529411764705882 -155.531784841076 0.915049500172909 0.578878124626241 0.00526826995083749 0.00103530956342607 1.43368988584183e-06 2.75615316480558e-17 1 1 250.83 0 1
"tree_39" 0.588235294117647 -144.743276283619 0.923566264285082 0.604395604395604 0.000582755627710152 0.000983341011392915 6.53172611978685e-07 2.06171219852129e-19 1 1 240.24 0 1
"tree_40" 0.470588235294118 -161.644254278729 0.910224138069694 0.565354514659502 0.0305319655274336 0.00106585993952422 2.18045161774488e-06 3.20538143855381e-16 1 1 256.83 0 1
"tree_41" 0.588235294117647 -144.091279543602 0.924080969576092 0.606010016694491 0.000582755627710152 0.000980278400233315 6.21587987632826e-07 1.49437493699478e-19 1 1 239.6 0 1
"tree_42" 0.470588235294118 -165.006112469438 0.907570188912926 0.55818244723792 0.0305319655274336 0.00108301287920357 2.7258949386972e-06 1.13351640833462e-15 1 1 260.13 0 1
"tree_43" 0.529411764705882 -157.171964140179 0.913754694675213 0.575186182855332 0.00526826995083749 0.00104342740762594 1.60722353844047e-06 5.43638752552542e-17 1 1 252.44 0 1
"tree_44" 0.529411764705882 -164.394865525672 0.908052725123248 0.559472893307132 0.00526826995083749 0.00107987546201546 2.61843237166714e-06 9.04823889027507e-16 1 1 259.53 0 1
"tree_45" 0.470588235294118 -153.871230643847 0.916360390210949 0.582664526484751 0.0305319655274336 0.00102714993246093 1.27535044194091e-06 1.36301659544114e-17 1 1 249.2 0 1
"tree_46" 0.647058823529412 -132.171964140179 0.93349042567736 0.637121544537078 3.87926069101764e-05 0.000925811138113067 2.39757046751743e-07 2.24771531644448e-22 1 1 227.9 0 1
"tree_47" 0.588235294117647 -182.874898125509 0.893464047031196 0.522922894082904 0.000582755627710152 0.001178505744118 8.2601619892286e-06 3.89760684196078e-13 1 1 277.67 0 1
"tree_48" 0.529411764705882 -156.69315403423 0.914132681373298 0.576259078461722 0.00526826995083749 0.00104105158864204 1.55471051608739e-06 4.46581294312822e-17 1 1 251.97 0 1
"tree_49" 0.470588235294118 -160.085574572127 0.911454605406014 0.568742655699178 0.0305319655274336 0.00105799204478065 1.9626323509931e-06 1.74895719103072e-16 1 1 255.3 0 1
"tree_50" 0.588235294117647 -145.181336593317 0.923220446667685 0.603315743549258 0.000582755627710152 0.000985403633878417 6.75196614630734e-07 2.55482044408733e-19 1 1 240.67 0 1
"tree_51" 0.529411764705882 -146.332518337408 0.922311670138247 0.600496277915633 0.00526826995083749 0.000990842960343276 7.36292987136009e-07 4.45843183276498e-19 1 1 241.8 0 1
"tree_52" 0.529411764705882 -156.041157294213 0.914647386664308 0.577726495046353 0.00526826995083749 0.00103782440931574 1.48568482200809e-06 3.40925283181823e-17 1 1 251.33 0 1
"tree_53" 0.470588235294118 -160.594947025265 0.911052491897413 0.56763096168882 0.0305319655274336 0.00106055737411096 2.03155914649426e-06 2.13495245860986e-16 1 1 255.8 0 1
"tree_54" 0.470588235294118 -153.871230643847 0.916360390210949 0.582664526484751 0.0305319655274336 0.00102714993246093 1.27535044194091e-06 1.36301659544114e-17 1 1 249.2 0 1
"tree_55" 0.470588235294118 -157.334963325183 0.913626018352461 0.574821852731591 0.0305319655274336 0.00104423733105147 1.62546089971533e-06 5.81104255360371e-17 1 1 252.6 0 1
"tree_56" 0.529411764705882 -160.829258353708 0.910867519683456 0.567121040503066 0.00526826995083749 0.00106173933994927 2.063990189482e-06 2.33895797578558e-16 1 1 256.03 0 1
"tree_57" 0.588235294117647 -147.758761206194 0.921185752314163 0.597039473684211 0.000582755627710152 0.00099762016877769 8.18860456913015e-07 8.77074413795786e-19 1 1 243.2 0 1
"tree_58" 0.470588235294118 -159.09739201304 0.9122347056127 0.570911807494201 0.0305319655274336 0.00105303152703077 1.83488036977183e-06 1.18301261532722e-16 1 1 254.33 0 1
"tree_59" 0.588235294117647 -185.961695191524 0.891027239169073 0.517278232988956 0.000582755627710152 0.00119576242773052 9.88353500217127e-06 9.39393694350725e-13 1 1 280.7 0 1
"tree_60" 0.529411764705882 -157.91564792176 0.913167608952655 0.573527669155113 0.00526826995083749 0.00104712737177007 1.69195389603449e-06 7.35910440317604e-17 1 1 253.17 0 1
"tree_61" 0.411764705882353 -156.856153219234 0.914004005050546 0.575893388331416 0.118295866462209 0.0010418598204389 1.57241142018218e-06 4.77574810858958e-17 1 1 252.13 0 1
"tree_62" 0.705882352941177 -128.300733496332 0.936546488342729 0.647925033467202 1.40821702628975e-06 0.000908728184745254 1.72325471522261e-07 2.04836750350402e-23 1 1 224.1 0 1
"tree_63" 0.588235294117647 -153.056234718826 0.917003771824711 0.584541062801933 0.000582755627710152 0.00102316682767968 1.20354884188127e-06 9.58777415029364e-18 1 1 248.4 0 1
"tree_64" 0.529411764705882 -161.308068459658 0.910489532985371 0.566081871345029 0.00526826995083749 0.00106415841856843 2.13171394415938e-06 2.81587661416209e-16 1 1 256.5 0 1
"tree_65" 0.470588235294118 -162.601874490627 0.909468164673524 0.563292857974163 0.0305319655274336 0.00107072037923477 2.32482052353939e-06 4.62088657578204e-16 1 1 257.77 0 1
"tree_66" 0.588235294117647 -146.067644661777 0.922520769162719 0.601142667881096 0.000582755627710152 0.000989588998497231 7.21811227335813e-07 3.92566405149109e-19 1 1 241.54 0 1
"tree_67" 0.470588235294118 -161.481255093724 0.910352814392447 0.565706938870924 0.0305319655274336 0.00106503464836045 2.1566975074423e-06 3.01045361669755e-16 1 1 256.67 0 1
"tree_68" 0.470588235294118 -152.343113284433 0.917566730736752 0.586192975373436 0.0305319655274336 0.00101969324109731 1.14372766747819e-06 7.02336153893967e-18 1 1 247.7 0 1
"tree_69" 0.647058823529412 -134.790138549307 0.93142356224315 0.630016921942118 3.87926069101764e-05 0.000937531326384879 2.97934392340511e-07 1.04364960784944e-21 1 1 230.47 0 1
"tree_70" 0.588235294117647 -139.374490627547 0.927804540665739 0.617951227816317 0.000582755627710152 0.000958381821871612 4.31019141175256e-07 1.31975923277629e-20 1 1 234.97 0 1
"tree_71" 0.529411764705882 -144.396903015485 0.923839701470931 0.605252188411838 0.00526826995083749 0.000981712907266137 6.36218055821457e-07 1.73839600765569e-19 1 1 239.9 0 1
"tree_72" 0.588235294117647 -185.452322738386 0.891429352677674 0.518201284796574 0.000582755627710152 0.00119289894689055 9.59736854774789e-06 8.14356508510623e-13 1 1 280.2 0 1
"tree_73" 0.588235294117647 -190.851670741646 0.887166949486501 0.508581436077058 0.000582755627710152 0.00122357373550426 1.30461600769925e-05 3.5390584822797e-12 1 1 285.5 0 1
"tree_74" 0.470588235294118 -153.881418092909 0.916352347940777 0.582641146021428 0.0305319655274336 0.00102719981116882 1.27627182848022e-06 1.36898780115684e-17 1 1 249.21 0 1
"tree_75" 0.470588235294118 -167.858598207009 0.90531835326476 0.552238238314381 0.0305319655274336 0.00109776494477271 3.28170166987725e-06 3.16617931176668e-15 1 1 262.93 0 1
"tree_76" 0.529411764705882 -148.370008149959 0.920703216103842 0.595570139458573 0.00526826995083749 0.0010005376894256 8.56726815579524e-07 1.16699584679485e-18 1 1 243.8 0 1
"tree_77" 0.529411764705882 -151.22249388753 0.918451380455675 0.588807785888078 0.00526826995083749 0.00101425660326659 1.05511164683028e-06 4.27834745290024e-18 1 1 246.6 0 1
"tree_78" 0.529411764705882 -152.99511002445 0.917052025445743 0.584682290408311 0.00526826995083749 0.00102286866684368 1.198313232152e-06 9.33654658296412e-18 1 1 248.34 0 1
"tree_79" 0.470588235294118 -165.484922575387 0.907192202214841 0.557175748273216 0.0305319655274336 0.00108547635698268 2.81282536325055e-06 1.35057966720822e-15 1 1 260.6 0 1
"tree_80" 0.529411764705882 -151.120619396903 0.918531803157395 0.589046653144016 0.00526826995083749 0.00101376368468769 1.0473703223129e-06 4.08818824638655e-18 1 1 246.5 0 1
"tree_81" 0.529411764705882 -168.744906275468 0.904618675759794 0.550416982562548 0.00526826995083749 0.00110238598834011 3.47403765481784e-06 4.32203800345714e-15 1 1 263.8 0 1
"tree_82" 0.470588235294118 -160.594947025265 0.911052491897413 0.56763096168882 0.0305319655274336 0.00106055737411096 2.03155914649426e-06 2.13495245860986e-16 1 1 255.8 0 1
"tree_83" 0.470588235294118 -167.858598207009 0.90531835326476 0.552238238314381 0.0305319655274336 0.00109776494477271 3.28170166987725e-06 3.16617931176668e-15 1 1 262.93 0 1
"tree_84" 0.529411764705882 -161.308068459658 0.910489532985371 0.566081871345029 0.00526826995083749 0.00106415841856843 2.13171394415938e-06 2.81587661416209e-16 1 1 256.5 0 1
"tree_85" 0.529411764705882 -189.965362673187 0.887866626991467 0.510135965990936 0.00526826995083749 0.00121848942388647 1.24132128988093e-05 2.79920707905156e-12 1 1 284.63 0 1
"tree_86" 0.529411764705882 -152.006927465363 0.917832125652429 0.586974976755468 0.00526826995083749 0.00101805944881703 1.11646513645124e-06 6.0580554737117e-18 1 1 247.37 0 1
"tree_87" 0.588235294117647 -180.766096169519 0.895128796956805 0.526850507982583 0.000582755627710152 0.00116684795267572 7.29317705935671e-06 2.09474389679354e-13 1 1 275.6 0 1
"tree_88" 0.470588235294118 -159.09739201304 0.9122347056127 0.570911807494201 0.0305319655274336 0.00105303152703077 1.83488036977183e-06 1.18301261532722e-16 1 1 254.33 0 1
"tree_89" 0.529411764705882 -149.358190709046 0.919923115897155 0.593209952200025 0.00526826995083749 0.00100527091483396 9.21284798426331e-07 1.84171214940472e-18 1 1 244.77 0 1
"tree_90" 0.588235294117647 -178.626731866341 0.89681767369293 0.530895795246801 0.000582755627710152 0.00115512920522213 6.41723903925606e-06 1.09665576244607e-13 1 1 273.5 0 1
"tree_91" 0.529411764705882 -151.22249388753 0.918451380455675 0.588807785888078 0.00526826995083749 0.00101425660326659 1.05511164683028e-06 4.27834745290024e-18 1 1 246.6 0 1
"tree_92" 0.470588235294118 -168.571719641402 0.904755394352718 0.55077191518416 0.0305319655274336 0.00110148162672953 3.43567729108431e-06 4.06823014582401e-15 1 1 263.63 0 1
