"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.277777777777778 -48.3733333333334 0.869608050102034 0.333932422717469 0.848911682899641 0.0148577722695679 0.0626053803482325 0.0570853628095332 0.936 0.845018112793017 278.2 0.0639999999999999 1
"tree_2" 0.5 -36.1066666666667 0.885792695799029 0.364028213166144 0.0284630063189672 0.0134347477760145 0.0392104937770041 0.0260276396699973 0.956 0.877124782672266 255.2 0.044 1
"tree_3" 0.555555555555556 -27.3066666666667 0.897403419886004 0.389191453707583 0.00447987037415508 0.0124878222731851 0.0267258985202771 0.012507205558322 0.964 0.900157828455205 238.7 0.036 1
"tree_4" 0.5 -26.9333333333333 0.897895996059391 0.390336134453782 0.0284630063189672 0.0124489608007608 0.0262686092858878 0.0120770475659412 0.964 0.90113498797327 238 0.036 1
"tree_5" 0.388888888888889 -28.9066666666667 0.895292379142917 0.384360777823748 0.317226678286435 0.0126555635276473 0.0287499860192958 0.014474732398705 0.961 0.895970001949216 241.7 0.039 1
"tree_6" 0.333333333333333 -26.8266666666667 0.89803673210893 0.390664423885618 0.603456519662607 0.0124378767766027 0.0261389856804663 0.0119561125999015 0.964 0.901414176407002 237.8 0.036 1
"tree_7" 0.444444444444444 -41.76 0.878333685173457 0.349510910458992 0.116205643179494 0.0140752563587989 0.0490787066608632 0.0384883903731412 0.947 0.862327795684438 265.8 0.053 1
"tree_8" 0.388888888888889 -25.6533333333334 0.89958482865386 0.394312393887946 0.317226678286435 0.0123165154846204 0.0247430730802917 0.0106824915410368 0.966 0.904485249178061 235.6 0.034 1
"tree_9" 0.5 -22.1866666666667 0.90415875026388 0.405499781754692 0.0284630063189672 0.011963922495039 0.020930777033771 0.00749289365618133 0.973 0.91355887327437 229.1 0.027 1
"tree_10" 0.388888888888889 -39.36 0.881500246288087 0.355530042097206 0.317226678286435 0.0138001966268962 0.0447040566739078 0.032817312420489 0.95 0.868609535443422 261.3 0.05 1
"tree_11" 0.5 -29.9733333333334 0.893885018647527 0.38120640131309 0.0284630063189672 0.0127684712904215 0.0301582357487543 0.0159015235834097 0.96 0.89317811761189 243.7 0.04 1
"tree_12" 0.388888888888889 -40.2666666666667 0.880303989867004 0.353231939163498 0.317226678286435 0.0139035583233599 0.0463240919093648 0.0348928683949558 0.948 0.866236433756694 263 0.052 1
"tree_13" 0.388888888888889 -13.76 0.915276898177468 0.43553680262541 0.317226678286435 0.0111431409383377 0.0134526853074311 0.00269725739551705 0.98 0.935614759539246 213.3 0.02 1
"tree_14" 0.444444444444444 -46.6133333333334 0.871930194919429 0.337941069479811 0.116205643179494 0.014645952937937 0.0587902305210245 0.0517096231469834 0.937 0.849624721949605 274.9 0.0629999999999999 1
"tree_15" 0.5 -43.9466666666667 0.875448596157906 0.344201556131901 0.0284630063189672 0.0143299668835394 0.0533089690766621 0.0441536750820997 0.944 0.85660443279292 269.9 0.056 1
"tree_16" 0.333333333333333 -78.6666666666667 0.829639012032932 0.277313432835821 0.603456519662607 0.0189378523553059 0.154002830193346 0.19141791952287 0.865 0.765728597612958 335 0.135 1
"tree_17" 0.333333333333333 -54.56 0.861445359228766 0.320565907522429 0.603456519662607 0.0156233826612984 0.0772917245067976 0.0783887601778532 0.919 0.828825183636526 289.8 0.081 1
"tree_18" 0.444444444444444 -30.3466666666667 0.89339244247414 0.380114566284779 0.116205643179494 0.0128081943723123 0.0306624246283839 0.0164232725629997 0.96 0.892200958093826 244.4 0.04 1
"tree_19" 0.444444444444444 -19.7866666666667 0.90732531137851 0.413624220837044 0.116205643179494 0.0117249782129599 0.0185529995664281 0.00574104530816248 0.976 0.919840613033354 224.6 0.024 1
"tree_20" 0.5 -28.5866666666667 0.895714587291535 0.385317295727914 0.0284630063189672 0.0126218601342739 0.0283367550327392 0.0140648708439404 0.962 0.896807567250414 241.1 0.038 1
"tree_21" 0.444444444444444 -30.2933333333334 0.893462810498909 0.380270159639787 0.116205643179494 0.0128025131094438 0.0305900363340806 0.0163480181817588 0.96 0.892340552310693 244.3 0.04 1
"tree_22" 0.333333333333333 -44.1066666666667 0.875237492083597 0.343819393042191 0.603456519662607 0.0143487591130489 0.0536277877024751 0.04458696800764 0.942 0.856185650142321 270.2 0.0580000000000001 1
"tree_23" 0.5 -26.0266666666667 0.899092252480473 0.393144308082945 0.0284630063189672 0.0123550186823055 0.0251813023585559 0.0110765815237889 0.966 0.903508089659997 236.3 0.034 1
"tree_24" 0.333333333333333 -53.2266666666667 0.863204559848005 0.32335537765402 0.603456519662607 0.0154555782173063 0.0739566397705015 0.0734867430005177 0.922 0.832315039058183 287.3 0.078 1
"tree_25" 0.444444444444444 -46.6666666666667 0.871859826894659 0.337818181818182 0.116205643179494 0.0146523333266904 0.058903517997698 0.0518679926571889 0.937 0.849485127732738 275 0.0629999999999999 1
"tree_26" 0.444444444444444 -22.7733333333333 0.903384701991415 0.403562119895743 0.116205643179494 0.0120229694460283 0.0215439579157707 0.00797554059410754 0.971 0.912023336888841 230.2 0.029 1
"tree_27" 0.388888888888889 -37.2266666666667 0.884314967278868 0.361057131752818 0.317226678286435 0.0135596036083894 0.0410459497942043 0.0282501110125176 0.954 0.874193304118074 257.3 0.046 1
"tree_28" 0.611111111111111 3.46666666666666 0.938005770178031 0.513259668508287 0.000430674033672074 0.00961632022358062 0.00447666076437916 0.000117566029430272 0.997 0.98070369158706 181 0.003 1
"tree_29" 0.388888888888889 -21.3333333333333 0.905284638660193 0.408351648351648 0.317226678286435 0.0118784850462729 0.0200615084152819 0.00682993405138351 0.973 0.915792380744231 227.5 0.027 1
"tree_30" 0.388888888888889 -17.0133333333333 0.910984448666526 0.423427529626253 0.317226678286435 0.0114540332552458 0.0160569851390457 0.00412231197545434 0.98 0.927099512310401 219.4 0.02 1
"tree_31" 0.611111111111111 4.58666666666666 0.939483498698192 0.519284516489659 0.000430674033672074 0.00952370930100176 0.0041197775651465 8.94023205011686e-05 0.997 0.983635170141253 178.9 0.003 1
"tree_32" 0.5 -4.10666666666668 0.928013510660756 0.475922131147541 0.0284630063189672 0.010263453029317 0.00754076354357718 0.000579789504932215 0.99 0.960881312792046 195.2 0.01 1
"tree_33" 0.5 1.70666666666666 0.935683625360636 0.504069451980467 0.0284630063189672 0.00976344210706805 0.00508420950323587 0.00017694297696159 0.996 0.976097082430473 184.3 0.004 1
"tree_34" 0.5 -10.8266666666667 0.919147139539793 0.447064485081809 0.0284630063189672 0.01086914512269 0.011384098016467 0.00177327460206919 0.986 0.943292441466892 207.8 0.014 1
"tree_35" 0.555555555555556 -9.17333333333332 0.921328548307649 0.453834880312653 0.00447987037415508 0.0107173098623803 0.0103276111143572 0.00137621381023571 0.986 0.947619862189747 204.7 0.014 1
"tree_36" 0.611111111111111 -25.6533333333334 0.89958482865386 0.394312393887946 0.000430674033672074 0.0123165154846204 0.0247430730802917 0.0106824915410368 0.966 0.904485249178061 235.6 0.034 1
"tree_37" 0.444444444444444 -8.80000000000001 0.921821124481036 0.455392156862745 0.116205643179494 0.0106832812095999 0.0100995042470856 0.00129728558439499 0.986 0.948597021707811 204 0.014 1
"tree_38" 0.555555555555556 -12 0.917599042994863 0.442380952380952 0.00447987037415508 0.0109780317677011 0.0121810052693451 0.00210659744304998 0.984 0.940221368695834 210 0.016 1
"tree_39" 0.5 -4.58666666666667 0.92738019843783 0.473737888832228 0.0284630063189672 0.0103057192018306 0.00777731838972759 0.000633166101700063 0.99 0.959624964840249 196.1 0.01 1
