"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.529411764705882 -599.507846596713 0.579946561665026 0.206956060002655 0.00274753483487813 0.00323212025128214 0.0401891372674114 0.0127411435367036 0.974 0.771141701935187 753.3 0.026 1
"tree_2" 0.588235294117647 -256.764787816882 0.839474054282098 0.40577824049974 0.000229531027471133 0.00094218943433469 7.51189734104776e-06 2.84212102280352e-19 1 1 384.2 0 1
"tree_3" 0.647058823529412 -256.764787816882 0.839474054282098 0.40577824049974 1.08542822275259e-05 0.00094218943433469 7.51189734104776e-06 2.84212102280352e-19 1 1 384.2 0 1
"tree_4" 0.529411764705882 -332.630699229269 0.782027844185065 0.334621163339772 0.00274753483487813 0.00125249013581717 0.00011628723841656 1.5010983367104e-11 1 1 465.9 0 1
"tree_5" 0.470588235294118 -332.630699229269 0.782027844185065 0.334621163339772 0.0199653770641308 0.00125249013581717 0.00011628723841656 1.5010983367104e-11 1 1 465.9 0 1
"tree_6" 0.470588235294118 -299.387129724208 0.807200112501758 0.362473843292258 0.0199653770641308 0.00110652004579371 3.82234474070237e-05 2.3732769170907e-14 1 1 430.1 0 1
"tree_7" 0.529411764705882 -299.387129724208 0.807200112501758 0.362473843292258 0.00274753483487813 0.00110652004579371 3.82234474070237e-05 2.3732769170907e-14 1 1 430.1 0 1
"tree_8" 0.470588235294118 -314.616027486303 0.795668682323161 0.349160134378499 0.0199653770641308 0.00117133684646472 6.46083156421947e-05 5.6251046171243e-13 1 1 446.5 0 1
"tree_9" 0.470588235294118 -314.616027486303 0.795668682323161 0.349160134378499 0.0199653770641308 0.00117133684646472 6.46083156421947e-05 5.6251046171243e-13 1 1 446.5 0 1
"tree_10" 0.411764705882353 -359.374129445631 0.761777527773871 0.315140489185365 0.0921924770265504 0.00138247972408832 0.000262057592363755 9.18706806229956e-10 1 1 494.7 0 1
"tree_11" 0.529411764705882 -374.51016807503 0.750316411193925 0.305088062622309 0.00274753483487813 0.00146139995363088 0.00040322351895781 6.73998454231891e-09 1 1 511 0 1
"tree_12" 0.470588235294118 -347.859596991364 0.770496414006469 0.323242794940908 0.0199653770641308 0.00132507117867213 0.000186245287371613 1.7276882917222e-10 1 1 482.3 0 1
"tree_13" 0.470588235294118 -314.616027486303 0.795668682323161 0.349160134378499 0.0199653770641308 0.00117133684646472 6.46083156421947e-05 5.6251046171243e-13 1 1 446.5 0 1
"tree_14" 0.529411764705882 -314.616027486303 0.795668682323161 0.349160134378499 0.00274753483487813 0.00117133684646472 6.46083156421947e-05 5.6251046171243e-13 1 1 446.5 0 1
"tree_15" 0.470588235294118 -314.616027486303 0.795668682323161 0.349160134378499 0.0199653770641308 0.00117133684646472 6.46083156421947e-05 5.6251046171243e-13 1 1 446.5 0 1
"tree_16" 0.529411764705882 -347.859596991364 0.770496414006469 0.323242794940908 0.00274753483487813 0.00132507117867213 0.000186245287371613 1.7276882917222e-10 1 1 482.3 0 1
