"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.538461538461538 -295.77334809893 0.668710168258099 0.299398405073917 0.0426795489388977 0.0121109501731632 0.0321497702348476 0.0107557090984073 0.977 0.795864572679343 428.86 0.023 1
"tree_2" 0.461538461538462 -326.41196013289 0.632103557015899 0.277885988832619 0.182171919276034 0.01347541098867 0.0571206886654664 0.0333187746829785 0.961 0.749903676814141 462.06 0.039 1
"tree_3" 0.461538461538462 -218.253968253968 0.761329305135952 0.372325001449864 0.182171919276034 0.00918087145098937 0.00500508677961353 6.88213477283141e-05 0.995 0.912151176675639 344.86 0.005 1
"tree_4" 0.461538461538462 -287.65227021041 0.678413125454826 0.305670618483074 0.182171919276034 0.0117700151254106 0.0272376996613621 0.00749663436190502 0.981 0.808046978812289 420.06 0.019 1
"tree_5" 0.461538461538462 -240.77150239941 0.73442565109048 0.347722471970969 0.182171919276034 0.00996021905501545 0.00921111933409234 0.000465482206149827 0.993 0.878372686943381 369.26 0.00700000000000001 1
"tree_6" 0.384615384615385 -398.837209302326 0.545570820561448 0.237540237540238 0.466546187069681 0.0172381686728041 0.168869583506483 0.176039359027366 0.87 0.641258763937602 540.54 0.13 1
"tree_7" 0.538461538461538 -256.829088224437 0.715240258451496 0.332074690942947 0.0426795489388977 0.010550693329738 0.0137068293193554 0.00140762622533771 0.989 0.854284747544149 386.66 0.011 1
"tree_8" 0.538461538461538 -265.042451088963 0.705427040377533 0.324603094347254 0.0426795489388977 0.0108643403877746 0.0166139452320845 0.00231662574139171 0.986 0.841963904977875 395.56 0.014 1
"tree_9" 0.538461538461538 -248.892580287929 0.724722693893753 0.339628630376131 0.0426795489388977 0.0102551429322719 0.0113032893006693 0.000833895305542187 0.991 0.866190280810436 378.06 0.00900000000000001 1
"tree_10" 0.615384615384615 -138.335179032854 0.856815224821929 0.497173391156199 0.0054863364629517 0.00682906796604478 0.000293005756527835 1.64475227244756e-10 1 1 258.26 0 1
"tree_11" 0.461538461538462 -279.53119232189 0.688116082651553 0.312211253221806 0.182171919276034 0.0114374402305472 0.0229366040313665 0.00506876772160252 0.982 0.820229384945234 411.26 0.018 1
"tree_12" 0.538461538461538 -306.939830195644 0.655368602112598 0.291182873730043 0.0426795489388977 0.0125936956676055 0.0400010892886272 0.0168938251416483 0.975 0.779113764246544 440.96 0.025 1
"tree_13" 0.384615384615385 -318.290882244371 0.641806514212627 0.283281119004545 0.466546187069681 0.0131014038111625 0.0494165608838728 0.0254896841920424 0.967 0.762086082947086 453.26 0.033 1
"tree_14" 0.615384615384615 -215.023994093762 0.765188435839195 0.376142488868057 0.0054863364629517 0.00907357495463659 0.00456059222882551 5.02082989243263e-05 0.995 0.916996451842151 341.36 0.005 1
"tree_15" 0.615384615384615 -245.662606127723 0.728581824596996 0.34280222127296 0.0054863364629517 0.0101369436836452 0.0104291248530572 0.000665285142332643 0.992 0.871035555976949 374.56 0.00800000000000001 1
