"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 228.3 786.71 2364.11 130.7 0.5 -244.594831362243 0.706274262226819 0.166134916296984 0.999474019079255 0.103627499488174 0.103240393504038 0.102129598273943 0.894 0.688197897881487 0.106 1
"tree_2" 228.3 554.26 2364.11 130.7 0.576923076923077 -142.777047744196 0.810352778934454 0.235809908707105 0.983238471533245 0.000169125065973731 6.03288701888095e-05 2.98889299328783e-07 1 1 0 1
"tree_3" 228.3 383.61 2364.11 130.7 0.692307692307692 -68.0289093298291 0.886760603740469 0.340710617554287 0.631437653961958 6.13416040016721e-08 4.88826992617863e-10 1.23805114827832e-23 1 1 0 1
"tree_4" 228.3 418.16 2364.11 130.7 0.615384615384615 -83.1625054752518 0.871290985533332 0.312559785727951 0.938431533598268 3.8231842336005e-07 1.00180072743643e-08 2.14494832127349e-18 1 1 0 1
"tree_5" 228.3 371.36 2364.11 130.7 0.576923076923077 -62.6631625054752 0.892245490080191 0.351949590693666 0.983238471533245 3.11849333549105e-08 1.50921586450974e-10 6.88956243511398e-26 1 1 0 1
"tree_6" 228.3 390.51 2364.11 130.7 0.653846153846154 -71.0512483574244 0.883671157557278 0.334690532892884 0.828083413129568 8.92211178641241e-08 9.23971091884784e-10 1.8296652891495e-22 1 1 0 1
"tree_7" 228.3 455.46 2364.11 130.7 0.615384615384615 -99.5006570302234 0.854590066311157 0.286962631186054 0.938431533598268 2.4220007744431e-06 1.71161465047596e-07 3.75834227628453e-14 1 1 0 1
"tree_8" 228.3 404.81 2364.11 130.7 0.576923076923077 -77.3149364870784 0.877268392279071 0.322867518094909 0.983238471533245 1.91122105286858e-07 3.27357079035486e-09 3.03122549375379e-20 1 1 0 1
"tree_9" 228.3 315.01 2364.11 130.7 0.576923076923077 -37.9807271134472 0.917475967242916 0.414907463255135 0.983238471533245 1.15049871403231e-09 2.8382004176905e-13 3.32705361923165e-40 1 1 0 1
"tree_10" 228.3 348.21 2364.11 130.7 0.576923076923077 -52.5229960578186 0.902610805897708 0.37534820941386 0.983238471533245 8.34516712304028e-09 1.38029694697796e-11 7.0891884737607e-31 1 1 0 1
"tree_11" 228.3 341.81 2364.11 130.7 0.538461538461538 -49.7196671046868 0.905476379169073 0.382376173897779 0.996561299799397 5.74341590590079e-09 6.82481637006694e-12 1.88574807577454e-32 1 1 0 1
"tree_12" 228.3 347.81 2364.11 130.7 0.576923076923077 -52.3477879982479 0.902789904227168 0.375779879819442 0.983238471533245 8.15350153800922e-09 1.32161417801671e-11 5.68687710176236e-31 1 1 0 1
"tree_13" 228.3 368.56 2364.11 130.7 0.576923076923077 -61.43670608848 0.893499178386414 0.354623399175168 0.983238471533245 2.66624942487003e-08 1.14400998021382e-10 1.94216135748787e-26 1 1 0 1
"tree_14" 228.3 337.01 2364.11 130.7 0.538461538461538 -47.6171703898379 0.907625559122597 0.387822319812468 0.996561299799397 4.32848989362717e-09 3.97140894934915e-12 1.07270450750267e-33 1 1 0 1
"tree_15" 228.3 322.91 2364.11 130.7 0.576923076923077 -41.4410862899693 0.913938775236074 0.404756743365024 0.983238471533245 1.86157511769717e-09 7.55111275000762e-13 1.05456424099079e-37 1 1 0 1
"tree_16" 228.3 364.91 2364.11 130.7 0.615384615384615 -59.837932544897 0.895133450642739 0.358170507796443 0.938431533598268 2.17122307686612e-08 7.93342577002066e-11 3.55444468469595e-27 1 1 0 1
"tree_17" 228.3 416.11 2364.11 130.7 0.653846153846154 -82.2645641699518 0.872208864471817 0.314099637115186 0.828083413129568 3.440904332617e-07 8.4686831071766e-09 1.14855888786742e-18 1 1 0 1
"tree_18" 228.3 363.71 2364.11 130.7 0.615384615384615 -59.3123083661848 0.89567074563112 0.359352231173187 0.938431533598268 2.02888282912563e-08 7.02529009945228e-11 2.00930044186993e-27 1 1 0 1
"tree_19" 228.3 395.31 2364.11 130.7 0.653846153846154 -73.1537450722733 0.881521977603754 0.330626596848043 0.828083413129568 1.15472374147789e-07 1.42411735297245e-09 1.08859813396708e-21 1 1 0 1
