"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 233.77 842.83 2510.49 305.9 0.689655172413793 -260.538135774479 0.756449044947133 0.362943891413452 0.555919431976611 0.0901144716687463 0.09590495848214 0.112891820730684 0.935 0.48126832925404 0.0649999999999999 1
"tree_2" 233.77 697.15 2510.49 305.9 0.724137931034483 -198.2204731146 0.822529359200577 0.438786487843362 0.310770665521938 6.02984526666675e-05 3.5492459715369e-05 1.05379408392525e-05 0.986 0.8024960860841 0.014 1
"tree_3" 233.77 554.28 2510.49 305.9 0.586206896551724 -137.104846644137 0.887335060033839 0.55188713285704 0.974207373101659 1.47434267703196e-10 1.18494412134989e-12 1.60087105108955e-18 1 1 0 1
"tree_4" 233.77 540.31 2510.49 305.9 0.586206896551724 -131.128887367926 0.893671839208197 0.566156465732635 0.974207373101659 3.04205456096357e-11 1.03748324717632e-13 9.45135731930878e-21 1 1 0 1
"tree_5" 233.77 536.51 2510.49 305.9 0.586206896551724 -129.503358001454 0.895395515719476 0.570166446105385 0.974207373101659 1.96099983393388e-11 5.18983061712697e-14 2.10374842907425e-21 1 1 0 1
"tree_6" 233.77 550.51 2510.49 305.9 0.620689655172414 -135.492150404244 0.88904512857266 0.555666563731812 0.912522213943542 9.68369252829854e-11 6.2448371975916e-13 4.24652478900945e-19 1 1 0 1
"tree_7" 233.77 545.31 2510.49 305.9 0.586206896551724 -133.267741797493 0.89140384379862 0.560965322477123 0.974207373101659 5.38651379505398e-11 2.52991968765998e-13 6.35427742476574e-20 1 1 0 1
"tree_8" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_9" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_10" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_11" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_12" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_13" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_14" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_15" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_16" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_17" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_18" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_19" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_20" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_21" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_22" 233.77 550.51 2510.49 305.9 0.586206896551724 -135.492150404244 0.88904512857266 0.555666563731812 0.974207373101659 9.68369252829854e-11 6.2448371975916e-13 4.24652478900945e-19 1 1 0 1
"tree_23" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_24" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_25" 233.77 521.11 2510.49 305.9 0.517241379310345 -122.915686358386 0.902380941580974 0.587016177006774 0.999058892828993 3.17014500836453e-12 2.71952969386382e-15 2.83870012884587e-24 1 1 0 1
"tree_26" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_27" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_28" 233.77 526.31 2510.49 305.9 0.517241379310345 -125.140094965137 0.900022226355014 0.581216393380327 0.999058892828993 5.9107598874819e-12 7.5560024066485e-15 2.9143080417253e-23 1 1 0 1
"tree_29" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_30" 233.77 545.31 2510.49 305.9 0.586206896551724 -133.267741797493 0.89140384379862 0.560965322477123 0.974207373101659 5.38651379505398e-11 2.52991968765998e-13 6.35427742476574e-20 1 1 0 1
"tree_31" 233.77 526.31 2510.49 305.9 0.517241379310345 -125.140094965137 0.900022226355014 0.581216393380327 0.999058892828993 5.9107598874819e-12 7.5560024066485e-15 2.9143080417253e-23 1 1 0 1
"tree_32" 233.77 526.31 2510.49 305.9 0.517241379310345 -125.140094965137 0.900022226355014 0.581216393380327 0.999058892828993 5.9107598874819e-12 7.5560024066485e-15 2.9143080417253e-23 1 1 0 1
"tree_33" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_34" 233.77 536.51 2510.49 305.9 0.551724137931034 -129.503358001454 0.895395515719476 0.570166446105385 0.994288690739002 1.96099983393388e-11 5.18983061712697e-14 2.10374842907425e-21 1 1 0 1
"tree_35" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_36" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_37" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_38" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_39" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_40" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_41" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_42" 233.77 531.51 2510.49 305.9 0.517241379310345 -127.364503571887 0.897663511129054 0.575530093507178 0.999058892828993 1.09345969672607e-11 2.0435032576381e-14 2.70419211025889e-22 1 1 0 1
"tree_43" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_44" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_45" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_46" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_47" 233.77 521.14 2510.49 305.9 0.551724137931034 -122.928519484964 0.902367333608517 0.586982384771846 0.994288690739002 3.1816312453848e-12 2.73582649065418e-15 2.87796182056315e-24 1 1 0 1
"tree_48" 233.77 526.31 2510.49 305.9 0.517241379310345 -125.140094965137 0.900022226355014 0.581216393380327 0.999058892828993 5.9107598874819e-12 7.5560024066485e-15 2.9143080417253e-23 1 1 0 1
"tree_49" 233.77 531.31 2510.49 305.9 0.551724137931034 -127.278949394704 0.897754230945437 0.575746739191809 0.994288690739002 1.0680469747929e-11 1.96774408339573e-14 2.48662611943003e-22 1 1 0 1
"tree_50" 233.77 550.51 2510.49 305.9 0.586206896551724 -135.492150404244 0.88904512857266 0.555666563731812 0.974207373101659 9.68369252829854e-11 6.2448371975916e-13 4.24652478900945e-19 1 1 0 1
"tree_51" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_52" 233.77 537.58 2510.49 305.9 0.586206896551724 -129.961072849382 0.894910164701827 0.569031585996503 0.974207373101659 2.22001235804039e-11 6.31606791948595e-14 3.22725169833025e-21 1 1 0 1
"tree_53" 233.77 526.31 2510.49 305.9 0.517241379310345 -125.140094965137 0.900022226355014 0.581216393380327 0.999058892828993 5.9107598874819e-12 7.5560024066485e-15 2.9143080417253e-23 1 1 0 1
"tree_54" 233.77 526.11 2510.49 305.9 0.551724137931034 -125.054540787954 0.900112946171397 0.581437342000722 0.994288690739002 5.77164976976208e-12 7.26845494579284e-15 2.66969493459437e-23 1 1 0 1
"tree_55" 233.77 507.11 2510.49 305.9 0.482758620689655 -116.926893955597 0.908731328727791 0.603222180591982 0.99988589622164 5.69773532122542e-13 1.50709312169563e-16 3.10927957437797e-27 1 1 0 1
