"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 45.95 243.9 695.4 157.4 0.666666666666667 -430.794341675734 0.839219330855019 0.645346453464535 0.522786904662515 0.379238188815863 0.414639380506243 0.447040960476951 0.752 0.251381215469613 0.331 1
"tree_2" 45.95 180.1 695.4 157.4 0.5 -291.947769314472 0.957806691449814 0.873958911715713 0.909977379362475 0.000843243717555403 0.000240016822382886 8.49284330386237e-05 0.991 0.838858195211786 0.015 1
"tree_3" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_4" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_5" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_6" 45.95 189.9 695.4 157.4 0.5 -313.275299238302 0.939591078066914 0.82885729331227 0.909977379362475 0.0034116189838933 0.00231575821988044 0.00174105210300943 0.982 0.748618784530387 0.026 1
"tree_7" 45.95 189.9 695.4 157.4 0.5 -313.275299238302 0.939591078066914 0.82885729331227 0.909977379362475 0.0034116189838933 0.00231575821988044 0.00174105210300943 0.982 0.748618784530387 0.026 1
"tree_8" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_9" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_10" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
"tree_11" 45.95 189.9 695.4 157.4 0.5 -313.275299238302 0.939591078066914 0.82885729331227 0.909977379362475 0.0034116189838933 0.00231575821988044 0.00174105210300943 0.982 0.748618784530387 0.026 1
"tree_12" 45.95 207.4 695.4 157.4 0.666666666666667 -351.360174102285 0.907063197026022 0.758919961427194 0.522786904662515 0.0269111821226063 0.0319578977440167 0.0377257293874348 0.938 0.587476979742173 0.1 1
