"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_2" 0.5 -87.6288659793813 0.686635944700461 0.626373626373626 0.0842511270342222 0.120453861330805 0.121665807701833 0.0493769866960168 0.925 0.806098475836036 18.2 0.075 1
"tree_3" 0.333333333333333 -190.721649484536 0.225806451612903 0.404255319148936 0.295573281948621 0.15168399285014 0.699915700896103 0.665095585241876 0.405 0.436121138083379 28.2 0.595 1
"tree_4" 0.333333333333333 -117.525773195876 0.552995391705069 0.540284360189573 0.295573281948621 0.129004225638381 0.247785860873333 0.20032487407776 0.805 0.698805047887765 21.1 0.195 1
"tree_5" 0.5 -78.3505154639173 0.728110599078341 0.658959537572254 0.0842511270342222 0.117883344838575 0.0922782984023239 0.0246397387287147 0.957 0.839396436233775 17.3 0.043 1
"tree_6" 0.333333333333333 -210.309278350515 0.138248847926267 0.378737541528239 0.295573281948621 0.15817761804474 0.822582331803939 0.748175436453411 0.306 0.365825443910374 30.1 0.694 1
"tree_7" 0.5 -87.6288659793813 0.686635944700461 0.626373626373626 0.0842511270342222 0.120453861330805 0.121665807701833 0.0493769866960168 0.925 0.806098475836036 18.2 0.075 1
"tree_8" 0.5 -86.5979381443298 0.691244239631336 0.629834254143646 0.0842511270342222 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_9" 0.666666666666667 -67.0103092783504 0.778801843317972 0.703703703703703 0.0133153252320556 0.114794623884027 0.0625623031798345 0.00794394659236619 0.979 0.880093943386567 16.2 0.021 1
"tree_10" 0.666666666666667 -98.9690721649482 0.63594470046083 0.590673575129534 0.0133153252320556 0.12364888604291 0.163911379807593 0.0947893194353979 0.88 0.765400968683244 19.3 0.12 1
"tree_11" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_12" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_13" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_14" 0.333333333333333 -148.453608247422 0.414746543778801 0.473029045643153 0.295573281948621 0.138283020588542 0.423026813363004 0.414300232416285 0.651 0.587811846561968 24.1 0.349 1
"tree_15" 0.833333333333333 -37.1134020618555 0.912442396313364 0.857142857142857 0.000735239700866701 0.106928803045229 0.0139667366408934 1.63256861050355e-05 0.998 0.987387371334838 13.3 0.002 1
"tree_16" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_17" 0.666666666666667 -86.5979381443298 0.691244239631336 0.629834254143646 0.0133153252320556 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_18" 0.5 -97.9381443298967 0.640552995391705 0.59375 0.0842511270342222 0.12335600044111 0.159783374841286 0.0899858818160208 0.884 0.76910074206077 19.2 0.116 1
"tree_19" 0.5 -97.9381443298967 0.640552995391705 0.59375 0.0842511270342222 0.12335600044111 0.159783374841286 0.0899858818160208 0.884 0.76910074206077 19.2 0.116 1
"tree_20" 0.666666666666667 -97.9381443298967 0.640552995391705 0.59375 0.0133153252320556 0.12335600044111 0.159783374841286 0.0899858818160208 0.884 0.76910074206077 19.2 0.116 1
"tree_21" 0.666666666666667 -56.701030927835 0.824884792626728 0.75 0.0133153252320556 0.112037049083965 0.0412007293550934 0.00190524508065605 0.99 0.917091677161833 15.2 0.01 1
"tree_22" 0.666666666666667 -67.0103092783504 0.778801843317972 0.703703703703703 0.0133153252320556 0.114794623884027 0.0625623031798345 0.00794394659236619 0.979 0.880093943386567 16.2 0.021 1
"tree_23" 0.333333333333333 -117.525773195876 0.552995391705069 0.540284360189573 0.295573281948621 0.129004225638381 0.247785860873333 0.20032487407776 0.805 0.698805047887765 21.1 0.195 1
"tree_24" 0.666666666666667 -109.278350515464 0.589861751152074 0.561576354679803 0.0133153252320556 0.12660453792812 0.208305844525037 0.149430324589147 0.85 0.728403234907978 20.3 0.15 1
"tree_25" 0.666666666666667 -67.0103092783504 0.778801843317972 0.703703703703703 0.0133153252320556 0.114794623884027 0.0625623031798345 0.00794394659236619 0.979 0.880093943386567 16.2 0.021 1
"tree_26" 0.5 -86.5979381443298 0.691244239631336 0.629834254143646 0.0842511270342222 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_27" 1 -47.422680412371 0.866359447004608 0.797202797202797 7.24105880969079e-08 0.109596010845398 0.0262571457581539 0.00031676063862792 0.995 0.950389637559572 14.3 0.005 1
"tree_28" 0.5 -148.453608247422 0.414746543778801 0.473029045643153 0.0842511270342222 0.138283020588542 0.423026813363004 0.414300232416285 0.651 0.587811846561968 24.1 0.349 1
"tree_29" 0.5 -86.5979381443298 0.691244239631336 0.629834254143646 0.0842511270342222 0.120166314398545 0.118171069795992 0.0460800663532846 0.928 0.809798249213562 18.1 0.072 1
"tree_30" 0.5 -97.9381443298967 0.640552995391705 0.59375 0.0842511270342222 0.12335600044111 0.159783374841286 0.0899858818160208 0.884 0.76910074206077 19.2 0.116 1
"tree_31" 0.833333333333333 -37.1134020618555 0.912442396313364 0.857142857142857 0.000735239700866701 0.106928803045229 0.0139667366408934 1.63256861050355e-05 0.998 0.987387371334838 13.3 0.002 1
