"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.555555555555556 -35.1215644820296 0.823797503856402 0.508507725405829 0.0301134990501673 0.00827578428388625 0.0108643971738603 0.000188434313505796 1 1 51.13 0 1
"tree_2" 0.777777777777778 13.0285412262156 0.951549572290001 0.790033424491036 0.000172305800170499 0.00546903849285014 0.00016942308340203 7.0907503319706e-16 1 1 32.91 0 1
"tree_3" 0.333333333333333 -50.8192389006343 0.782148366288039 0.455580865603645 0.392278520057753 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_4" 0.333333333333333 -71.2473572938689 0.727948394334596 0.401234567901235 0.392278520057753 0.0111456586604838 0.0558677857679981 0.024563912482789 0.991 0.897106440807981 64.8 0.00900000000000001 1
"tree_5" 0.666666666666667 -27.8276955602537 0.843149628383116 0.537523258217904 0.00354757177033278 0.0077824205321909 0.0070725705510257 3.39840548865609e-05 1 1 48.37 0 1
"tree_6" 0.222222222222222 -71.2473572938689 0.727948394334596 0.401234567901235 0.730226010682192 0.0111456586604838 0.0558677857679981 0.024563912482789 0.991 0.897106440807981 64.8 0.00900000000000001 1
"tree_7" 0.555555555555556 -45.6923890063425 0.795750946571309 0.471612552149465 0.0301134990501673 0.00903951155650338 0.0189005566700956 0.00129517743237566 0.999 0.972274685178072 55.13 0.001 1
"tree_8" 0.444444444444444 -68.683932346723 0.734749684476231 0.407331975560082 0.138606257980195 0.0109166853992518 0.0507905135951556 0.0197517449765676 0.992 0.904646585279438 63.83 0.00800000000000001 1
"tree_9" 0.666666666666667 -7.39957716701907 0.897349600336559 0.639763779527559 0.00354757177033278 0.00653572394958666 0.00159920058529979 1.74246065560969e-08 1 1 40.64 0 1
"tree_10" 0.333333333333333 -50.8192389006343 0.782148366288039 0.455580865603645 0.392278520057753 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_11" 0.555555555555556 -50.8192389006343 0.782148366288039 0.455580865603645 0.0301134990501673 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_12" 0.444444444444444 -50.8192389006343 0.782148366288039 0.455580865603645 0.138606257980195 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_13" 0.444444444444444 -50.8192389006343 0.782148366288039 0.455580865603645 0.138606257980195 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_14" 0.444444444444444 -30.3911205073996 0.836348338241481 0.526955816781516 0.138606257980195 0.0079527815934258 0.00826474611534439 6.47394401036054e-05 1 1 49.34 0 1
"tree_15" 0.555555555555556 -48.2558139534884 0.788949656429674 0.463458110516934 0.0301134990501673 0.00923376327149546 0.0213892475815436 0.00191201956296476 0.999 0.964734540706615 56.1 0.001 1
"tree_16" 0.666666666666667 -25.2642706131079 0.849950918524751 0.548523206751055 0.00354757177033278 0.00761527896163795 0.00601760611395914 1.6933437369332e-05 1 1 47.4 0 1
"tree_17" 0.333333333333333 -50.8192389006343 0.782148366288039 0.455580865603645 0.392278520057753 0.00943165854450213 0.0241154798066017 0.00275147039652094 0.997 0.957194396235158 57.07 0.003 1
"tree_18" 0.333333333333333 -68.683932346723 0.734749684476231 0.407331975560082 0.392278520057753 0.0109166853992518 0.0507905135951556 0.0197517449765676 0.992 0.904646585279438 63.83 0.00800000000000001 1
"tree_19" 0.444444444444444 -48.2558139534884 0.788949656429674 0.463458110516934 0.138606257980195 0.00923376327149546 0.0213892475815436 0.00191201956296476 0.999 0.964734540706615 56.1 0.001 1
"tree_20" 0.444444444444444 -91.6754756871036 0.673748422381153 0.358472356266373 0.138606257980195 0.0131243336950552 0.109516336400347 0.0935953652790068 0.961 0.837018485380804 72.5299999999999 0.039 1
"tree_21" 0.444444444444444 -30.3911205073996 0.836348338241481 0.526955816781516 0.138606257980195 0.0079527815934258 0.00826474611534439 6.47394401036054e-05 1 1 49.34 0 1
"tree_22" 1 15.5919661733615 0.958350862431637 0.814026299311209 7.56287614407319e-13 0.00534675255784503 0.000114932230399779 1.77158971489534e-17 1 1 31.94 0 1
"tree_23" 0.444444444444444 -91.6754756871036 0.673748422381153 0.358472356266373 0.138606257980195 0.0131243336950552 0.109516336400347 0.0935953652790068 0.961 0.837018485380804 72.5299999999999 0.039 1
"tree_24" 0.666666666666667 -27.8276955602537 0.843149628383116 0.537523258217904 0.00354757177033278 0.0077824205321909 0.0070725705510257 3.39840548865609e-05 1 1 48.37 0 1
"tree_25" 0.444444444444444 -48.2558139534884 0.788949656429674 0.463458110516934 0.138606257980195 0.00923376327149546 0.0213892475815436 0.00191201956296476 0.999 0.964734540706615 56.1 0.001 1
"tree_26" 0.222222222222222 -91.6754756871036 0.673748422381153 0.358472356266373 0.730226010682192 0.0131243336950552 0.109516336400347 0.0935953652790068 0.961 0.837018485380804 72.5299999999999 0.039 1
