"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.333333333333333 -1525.06874427131 0.479143042280901 0.153698637863448 0.46167049570908 0.0171884879416481 0.28589553572399 0.324101486009688 0.736 0.578384706917244 1063.77 0.264 1
"tree_2" 0.444444444444444 -991.765963947449 0.681117076670292 0.228776918018106 0.0843346423803172 0.00861681329680362 0.0143053520992835 0.00228288842073418 0.982 0.850744715281529 714.67 0.018 1
"tree_3" 0.5 -712.05316223648 0.787050750966189 0.307579434505333 0.0227319039177747 0.00584721918423442 0.000853724966961878 2.21671602034195e-07 0.999 0.993595238144607 531.57 0.001 1
"tree_4" 0.388888888888889 -1198.15154292698 0.602954108907454 0.192405003706885 0.228214286121491 0.0113418588747634 0.061042550850345 0.0419912718972539 0.951 0.745342718346511 849.77 0.049 1
"tree_5" 0.444444444444444 -1274.18270699664 0.574159357570989 0.1817595660004 0.0843346423803172 0.0125198978507486 0.0941375782247341 0.0823879254414028 0.923 0.706513278024854 899.54 0.077 1
"tree_6" 0.5 -671.570424686832 0.802382495197982 0.323717504504326 0.0227319039177747 0.0055200067637387 0.000507478317467328 2.1225433487615e-08 1 1 505.07 0 1
"tree_7" 0.388888888888889 -1337.32050106936 0.550247622133253 0.173775335593653 0.228214286121491 0.0135772739535695 0.130094188313085 0.129245397044495 0.891 0.674268536845547 940.87 0.109 1
"tree_8" 0.388888888888889 -1200.18331805683 0.602184628913934 0.192104335565738 0.228214286121491 0.0113720408158145 0.061793490432895 0.0428471043328396 0.95 0.744305082107254 851.1 0.05 1
"tree_9" 0.5 -976.794989306446 0.686786929254125 0.231957665952587 0.0227319039177747 0.00844360894381356 0.0126491826222838 0.00169517918506272 0.984 0.858390455991841 704.87 0.016 1
"tree_10" 0.277777777777778 -1209.25756186984 0.598748003980468 0.19077289274713 0.719094486269174 0.0115076917634862 0.0652325326306711 0.0468144845122621 0.947 0.739670827023656 857.04 0.053 1
"tree_11" 0.388888888888889 -1152.21509318668 0.620351299437643 0.199463218250579 0.228214286121491 0.0106778113296742 0.0458394318908892 0.0256623857088262 0.954 0.768802659485193 819.7 0.046 1
"tree_12" 0.333333333333333 -1240.20776046441 0.587026451597973 0.18636726319389 0.46167049570908 0.0119809920969099 0.0780445794574947 0.0621756207264986 0.932 0.723864428371521 877.3 0.0679999999999999 1
"tree_13" 0.444444444444444 -1175.2367858234 0.611632454699035 0.195862333337326 0.0843346423803172 0.0110062516777995 0.0530431801054625 0.0331400831578478 0.952 0.757045382699029 834.77 0.048 1
"tree_14" 0.388888888888889 -885.441490986862 0.721384601143227 0.253460864712357 0.228214286121491 0.00745145092179825 0.00561741342225626 0.000190717756290172 0.992 0.905045077877215 645.07 0.00800000000000001 1
"tree_15" 0.444444444444444 -1134.6012832264 0.627022054569438 0.202308920152938 0.0843346423803172 0.0104323183536117 0.0408582569657043 0.0208295376349321 0.958 0.777798107484162 808.17 0.042 1
"tree_16" 0.5 -642.193706080049 0.813508134502789 0.336530545035403 0.0227319039177747 0.00529285235585588 0.000339972121635991 2.96820791136076e-09 1 1 485.84 0 1
