"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.666666666666667 -114.843233231909 0.990713224368499 0.969211822660099 0.0162100441291429 0.0148027616691925 0.000312044532122532 1.57479064125956e-14 1 1 162.4 0 1
"tree_2" 0.666666666666667 -150.959121576928 0.940007429420505 0.829731154454402 0.0162100441291429 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_3" 0.5 -150.959121576928 0.940007429420505 0.829731154454402 0.0997303475942662 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_4" 0.5 -150.959121576928 0.940007429420505 0.829731154454402 0.0997303475942662 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_5" 0.666666666666667 -114.843233231909 0.990713224368499 0.969211822660099 0.0162100441291429 0.0148027616691925 0.000312044532122532 1.57479064125956e-14 1 1 162.4 0 1
"tree_6" 0.666666666666667 -150.959121576928 0.940007429420505 0.829731154454402 0.0162100441291429 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_7" 0.666666666666667 -150.959121576928 0.940007429420505 0.829731154454402 0.0162100441291429 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_8" 0.833333333333333 -187.075009921947 0.889301634472511 0.725345622119816 0.000900001149898008 0.0182798780053886 0.0107298929932668 9.52361935963473e-05 1 1 217 0 1
"tree_9" 0.666666666666667 -187.075009921947 0.889301634472511 0.725345622119816 0.0162100441291429 0.0182798780053886 0.0107298929932668 9.52361935963473e-05 1 1 217 0 1
"tree_10" 0.833333333333333 -150.959121576928 0.940007429420505 0.829731154454402 0.000900001149898008 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_11" 0.833333333333333 -114.843233231909 0.990713224368499 0.969211822660099 0.000900001149898008 0.0148027616691925 0.000312044532122532 1.57479064125956e-14 1 1 162.4 0 1
"tree_12" 0.666666666666667 -150.959121576928 0.940007429420505 0.829731154454402 0.0162100441291429 0.0164628780805046 0.00322881584666566 2.44527737466843e-07 1 1 189.7 0 1
"tree_13" 0.666666666666667 -187.075009921947 0.889301634472511 0.725345622119816 0.0162100441291429 0.0182798780053886 0.0107298929932668 9.52361935963473e-05 1 1 217 0 1
