"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.25 -76.6261755485893 0.763563829787234 0.506932889628397 0.543047371272438 0.0170990471559394 0.00206860318588575 7.1568236583805e-07 0.998 0.935104658929021 180.3 0.002 1
"tree_2" 0.625 -39.253526645768 0.865026595744681 0.642982764685192 0.00667042826259897 0.0141674055616875 0.000130640600743253 8.91130785326512e-14 1 1 142.15 0 1
"tree_3" 0.375 -71.1892633228839 0.778324468085106 0.523032904148784 0.213824221949818 0.0166427220602683 0.00147895291769781 1.54946989414484e-07 0.998 0.950724752852645 174.75 0.002 1
"tree_4" 0.5 -30.1920062695924 0.889627659574468 0.687735139202408 0.0511420118952905 0.0135256126075995 5.34377709220761e-05 8.73914346348156e-17 1 1 132.9 0 1
"tree_5" 0.5 -53.4090909090908 0.826595744680851 0.583652618135377 0.0511420118952905 0.015222468370529 0.000428659488877722 2.17115070594493e-10 1 1 156.6 0 1
"tree_6" 0.5 -76.5282131661441 0.763829787234043 0.507214206437292 0.0511420118952905 0.0170907314295157 0.00205645255339049 6.97317368729445e-07 0.998 0.93538610206278 180.2 0.002 1
"tree_7" 0.375 -85.2468652037617 0.740159574468085 0.483342147012163 0.213824221949818 0.0178444990782848 0.00340320845728619 5.7743975868824e-06 0.996 0.910337663158229 189.1 0.004 1
"tree_8" 0.625 -71.1892633228839 0.778324468085106 0.523032904148784 0.00667042826259897 0.0166427220602683 0.00147895291769781 1.54946989414484e-07 0.998 0.950724752852645 174.75 0.002 1
"tree_9" 0.375 -25.2938871473354 0.902925531914894 0.714620797498046 0.213824221949818 0.0131892633072892 3.1098299922176e-05 8.22019604874842e-19 1 1 127.9 0 1
"tree_10" 0.25 -30.1920062695924 0.889627659574468 0.687735139202408 0.543047371272438 0.0135256126075995 5.34377709220761e-05 8.73914346348156e-17 1 1 132.9 0 1
"tree_11" 0.625 -16.0364420062695 0.928058510638298 0.77163360067539 0.00667042826259897 0.0125732662393225 9.59964008993434e-06 9.04789934169115e-24 1 1 118.45 0 1
"tree_12" 0.375 -30.1920062695924 0.889627659574468 0.687735139202408 0.213824221949818 0.0135256126075995 5.34377709220761e-05 8.73914346348156e-17 1 1 132.9 0 1
"tree_13" 0.5 -53.4090909090908 0.826595744680851 0.583652618135377 0.0511420118952905 0.015222468370529 0.000428659488877722 2.17115070594493e-10 1 1 156.6 0 1
"tree_14" 0.625 -2.07680250783693 0.965957446808511 0.877159309021113 0.00667042826259897 0.0116915082551452 8.51294764490221e-07 1.6495862768547e-36 1 1 104.2 0 1
"tree_15" 0.25 -53.4090909090908 0.826595744680851 0.583652618135377 0.543047371272438 0.015222468370529 0.000428659488877722 2.17115070594493e-10 1 1 156.6 0 1
"tree_16" 0.5 -16.1344043887147 0.927792553191489 0.770982707718262 0.0511420118952905 0.0125796520534353 9.73238250807836e-06 1.04472831535511e-23 1 1 118.55 0 1
"tree_17" 0.5 -25.2938871473354 0.902925531914894 0.714620797498046 0.0511420118952905 0.0131892633072892 3.1098299922176e-05 8.22019604874842e-19 1 1 127.9 0 1
"tree_18" 0.375 -39.3514890282131 0.864760638297872 0.642530755711775 0.213824221949818 0.0141744848114413 0.000131823776405349 9.51061223485142e-14 1 1 142.25 0 1
"tree_19" 0.625 -53.3111285266457 0.82686170212766 0.584025559105431 0.00667042826259897 0.0152149410834872 0.000425447414752951 2.07647783582955e-10 1 1 156.5 0 1
"tree_20" 0.375 -53.3111285266457 0.82686170212766 0.584025559105431 0.213824221949818 0.0152149410834872 0.000425447414752951 2.07647783582955e-10 1 1 156.5 0 1
"tree_21" 0.625 -16.1344043887147 0.927792553191489 0.770982707718262 0.00667042826259897 0.0125796520534353 9.73238250807836e-06 1.04472831535511e-23 1 1 118.55 0 1
"tree_22" 0.5 -30.0940438871473 0.889893617021277 0.688253012048193 0.0511420118952905 0.0135188137380934 5.28858223885862e-05 8.01829608160414e-17 1 1 132.8 0 1
"tree_23" 0.5 -76.6261755485893 0.763563829787234 0.506932889628397 0.0511420118952905 0.0170990471559394 0.00206860318588575 7.1568236583805e-07 0.998 0.935104658929021 180.3 0.002 1
"tree_24" 0.5 -30.1920062695924 0.889627659574468 0.687735139202408 0.0511420118952905 0.0135256126075995 5.34377709220761e-05 8.73914346348156e-17 1 1 132.9 0 1
"tree_25" 0.5 -53.3111285266457 0.82686170212766 0.584025559105431 0.0511420118952905 0.0152149410834872 0.000425447414752951 2.07647783582955e-10 1 1 156.5 0 1
"tree_26" 0.25 -76.6261755485893 0.763563829787234 0.506932889628397 0.543047371272438 0.0170990471559394 0.00206860318588575 7.1568236583805e-07 0.998 0.935104658929021 180.3 0.002 1
"tree_27" 0.625 -16.1344043887147 0.927792553191489 0.770982707718262 0.00667042826259897 0.0125796520534353 9.73238250807836e-06 1.04472831535511e-23 1 1 118.55 0 1
"tree_28" 0.375 -85.7856583072099 0.738696808510638 0.481940416556815 0.213824221949818 0.0178919963842396 0.00350624881340693 6.50021320830233e-06 0.996 0.908789725922554 189.65 0.004 1
"tree_29" 0.5 -30.1920062695924 0.889627659574468 0.687735139202408 0.0511420118952905 0.0135256126075995 5.34377709220761e-05 8.73914346348156e-17 1 1 132.9 0 1
"tree_30" 0.25 -85.2468652037617 0.740159574468085 0.483342147012163 0.543047371272438 0.0178444990782848 0.00340320845728619 5.7743975868824e-06 0.996 0.910337663158229 189.1 0.004 1
"tree_31" 0.625 -16.1344043887147 0.927792553191489 0.770982707718262 0.00667042826259897 0.0125796520534353 9.73238250807836e-06 1.04472831535511e-23 1 1 118.55 0 1
