"SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "MIG" "p.Wills" "Bayes"
"tree_1" 0.394736842105263 -104.371106600406 0.861597791769211 0.223812867099337 0.00333153464907706 9.94474731764985e-05 2.07310279064893e-05 6.49737008795568e-18 1 1 583.97 0 1
"tree_2" 0.421052631578947 -117.669909708126 0.849994809192005 0.210138752672959 0.000561432067980169 0.000109831236049829 3.85635824923741e-05 1.24416337388727e-15 1 1 621.97 0 1
"tree_3" 0.447368421052632 -96.9517743403094 0.868071034680704 0.232244078397925 7.30209664757193e-05 9.40626822196535e-05 1.43925171255495e-05 2.22757452315637e-19 1 1 562.77 0 1
"tree_4" 0.394736842105263 -126.349128578428 0.842422336352144 0.202081110750344 0.00333153464907706 0.000117147984379011 5.66088378543024e-05 2.41866851734789e-14 1 1 646.77 0 1
"tree_5" 0.421052631578947 -172.929936305732 0.801781363167248 0.167592034569864 0.000561432067980169 0.00016487843277382 0.000349551487388242 2.47729169480308e-09 1 1 779.87 0 1
"tree_6" 0.394736842105263 -105.910968012879 0.860254288523429 0.222139130139198 0.00333153464907706 0.000100600776407033 2.23234147954588e-05 1.25419935720564e-17 1 1 588.37 0 1
"tree_7" 0.368421052631579 -107.293343599076 0.859048189018693 0.220657752566181 0.0152968750044867 0.000101646820400881 2.38451403303062e-05 2.23728354649469e-17 1 1 592.32 0 1
"tree_8" 0.447368421052632 -112.210401063904 0.854758138881595 0.215544964295727 7.30209664757193e-05 0.00010545095482712 3.0037916494361e-05 1.60955778018546e-16 1 1 606.37 0 1
"tree_9" 0.447368421052632 -102.411282984531 0.863307704991115 0.225979909054757 7.30209664757193e-05 9.79975949766163e-05 1.88515744863563e-05 2.75651351458512e-18 1 1 578.37 0 1
"tree_10" 0.394736842105263 -105.910968012879 0.860254288523429 0.222139130139198 0.00333153464907706 0.000100600776407033 2.23234147954588e-05 1.25419935720564e-17 1 1 588.37 0 1
