"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills" "Bayes"
"tree_1" 136.92 216.08 341.28 28.5 0.75 -57.8147823546596 0.400281347912271 0.131895594224361 0.734753087292706 0.651542445453471 0.636620410291913 0.693678279869949 0.36 0.436382754994742 0.659 1
"tree_2" 136.92 204.96 341.28 28.5 0.875 -49.6932515337423 0.435833493190102 0.139051522248244 0.101688608096649 0.567118134927311 0.555816260520577 0.632238103182604 0.427 0.478143307796305 0.578 1
"tree_3" 136.92 211.84 341.28 28.5 0.875 -54.7180835524393 0.413837201867127 0.134535498489426 0.101688608096649 0.619981824909056 0.606197353834228 0.671369274982441 0.383 0.452305843473036 0.619 1
"tree_4" 136.92 140.64 341.28 28.5 0.625 -2.71691498685362 0.641473239976981 0.202645051194539 0.98655357788605 0.134350837437794 0.143509098289004 0.151685560876457 0.859 0.719693555655701 0.148 1
"tree_5" 136.92 186.96 341.28 28.5 0.75 -36.5468886941279 0.493381929790907 0.152439024390244 0.734753087292706 0.425518429498149 0.4229212503705 0.512748925826826 0.563 0.545741324921136 0.443 1
"tree_6" 136.92 156.52 341.28 28.5 0.875 -14.3149284253578 0.590702730353603 0.182085356503961 0.101688608096649 0.214399803025576 0.223091345934808 0.271344363707015 0.771 0.660057082770017 0.231 1
"tree_7" 136.92 153.08 341.28 28.5 0.6875 -11.8025124160093 0.60170087601509 0.186177162268095 0.925358556581346 0.195048061341424 0.204176000111533 0.243895051121831 0.796 0.672975814931651 0.217 1
"tree_8" 136.92 165.52 341.28 28.5 0.8125 -20.888109845165 0.5619285120532 0.172184630256162 0.397531302042611 0.269994801143986 0.276621909789083 0.344669802234472 0.726 0.626258074207601 0.283 1
"tree_9" 136.92 94.32 341.28 28.5 0.875 31.1130587204207 0.789564550163054 0.302162849872774 0.101688608096649 0.0214686611951116 0.0214874064181799 0.00196619739146423 0.987 0.893645786390266 0.017 1
"tree_10" 136.92 119.2 341.28 28.5 0.8125 12.9418638621093 0.710019822239274 0.239093959731544 0.397531302042611 0.0628735157904591 0.0681279568836658 0.0411203495811911 0.94 0.800210304942166 0.0669999999999999 1
